#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Upravi trgovske družbe Mercator se je z letom 2010 iztekel mandat in s 1 . januarjem je nov petletni mandat nastopila nova uprava , v kateri sta se dosedanjim štirim članom Žigi Debeljaku , Veri Aljančič Falež , Mateji Jesenek in Petru Zavrlu pridružili dve novi članici : Melita Kolbezen in Stanka Čurović . Novo Mercatorjevo upravo je nadzorni svet družbe imenoval konec lanskega marca , ko so pojasnili , da število članov uprave in razdelitev delovnih področij ustreza novi makro - organizacijski strukturi skupine Mercator , ki je bila uveljavljena v začetku leta 2010 . Upravo tako sestavljajo predsednik Žiga Debeljak ter članica uprave za strateško trženje in globalno nabavo Mateja Jesenek , članica uprave za strateške finance in informatiko Melita Kolbezen , članica uprave za strateški razvoj kadrov in organizacijo Vera Aljančič Falež , član uprave za poslovno področje Mercator trgovina Slovenija Peter Zavrl in članica uprave za poslovno področje Mercator trgovina jugovzhodna Evropa Stanka Čurović . Nepremičninsko dejavnost bo v upravi neposredno pokrival predsednik uprave skupaj s pomočnikom predsednika uprave za poslovno področje Mercator nepremičnine Alešem Resnikom , so danes sporočili iz Mercatorja . Dosedanji pomočnik predsednika uprave Stanislav Brodnjak je s 1 . januarjem 2011 prevzel funkcijo predsednika uprave družbe Mercator - H , hkrati pa bo opravljal tudi funkcijo svetovalca predsednika uprave za mednarodne zadeve
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-18	Upravi	_	_	_	_	
1-4	19-27	trgovske	_	_	*->2-1	*[2]	
1-5	28-34	družbe	_	_	*->2-1	*[2]	
1-6	35-43	Mercator	LOC	_	*->2-1	*[2]	
1-7	44-46	se	_	_	_	_	
1-8	47-49	je	_	_	_	_	
1-9	50-51	z	_	_	_	_	
1-10	52-57	letom	_	_	_	_	
1-11	58-62	2010	_	_	_	_	
1-12	63-70	iztekel	_	_	_	_	
1-13	71-77	mandat	_	_	_	_	
1-14	78-80	in	_	_	_	_	
1-15	81-82	s	_	_	_	_	
1-16	83-84	1	_	_	_	_	
1-17	85-86	.	_	_	_	_	
1-18	87-96	januarjem	_	_	_	_	
1-19	97-99	je	_	_	_	_	
1-20	100-103	nov	_	_	_	_	
1-21	104-112	petletni	_	_	_	_	
1-22	113-119	mandat	_	_	_	_	
1-23	120-129	nastopila	_	_	_	_	
1-24	130-134	nova	_	_	_	_	
1-25	135-141	uprava	_	_	_	_	
1-26	142-143	,	_	_	_	_	
1-27	144-145	v	_	_	_	_	
1-28	146-152	kateri	_	_	_	_	
1-29	153-156	sta	_	_	_	_	
1-30	157-159	se	_	_	_	_	
1-31	160-170	dosedanjim	_	_	_	_	
1-32	171-177	štirim	_	_	_	_	
1-33	178-184	članom	_	_	_	_	
1-34	185-189	Žigi	PER[1]	_	*->3-1	*[3]	
1-35	190-199	Debeljaku	PER[1]	_	*->3-1	*[3]	
1-36	200-201	,	_	_	_	_	
1-37	202-206	Veri	PER[2]	_	*->4-1	*[4]	
1-38	207-215	Aljančič	PER[2]	_	*->4-1	*[4]	
1-39	216-221	Falež	PER[2]	_	*->4-1	*[4]	
1-40	222-223	,	_	_	_	_	
1-41	224-230	Mateji	PER[3]	_	*->5-1	*[5]	
1-42	231-238	Jesenek	PER[3]	_	*->5-1	*[5]	
1-43	239-241	in	_	_	_	_	
1-44	242-247	Petru	PER[4]	_	*->6-1	*[6]	
1-45	248-254	Zavrlu	PER[4]	_	*->6-1	*[6]	
1-46	255-265	pridružili	_	_	_	_	
1-47	266-269	dve	_	_	_	_	
1-48	270-274	novi	_	_	_	_	
1-49	275-282	članici	_	_	_	_	
1-50	283-284	:	_	_	_	_	
1-51	285-291	Melita	PER[5]	_	*->7-1	*[7]	
1-52	292-300	Kolbezen	PER[5]	_	*->7-1	*[7]	
1-53	301-303	in	_	_	_	_	
1-54	304-310	Stanka	PER[6]	_	*->8-1	*[8]	
1-55	311-318	Čurović	PER[6]	_	*->8-1	*[8]	
1-56	319-320	.	_	_	_	_	
1-57	321-325	Novo	_	_	_	_	
1-58	326-338	Mercatorjevo	ORG	_	*->2-2	*[2]	
1-59	339-345	upravo	_	_	_	_	
1-60	346-348	je	_	_	_	_	
1-61	349-357	nadzorni	_	_	_	_	
1-62	358-362	svet	_	_	_	_	
1-63	363-369	družbe	_	_	_	_	
1-64	370-378	imenoval	_	_	_	_	
1-65	379-384	konec	_	_	_	_	
1-66	385-393	lanskega	_	_	_	_	
1-67	394-399	marca	_	_	_	_	
1-68	400-401	,	_	_	_	_	
1-69	402-404	ko	_	_	_	_	
1-70	405-407	so	_	_	_	_	
1-71	408-417	pojasnili	_	_	_	_	
