#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Zveza društev upokojencev Slovenije ( ZDUS ) je na danes sporočila , da bo večji del njihovega članstva že v sredo po pošti prejel pooblastilo za glasovanje na izredni skupščini Vzajemne zdravstvene zavarovalnice . Člane prosijo , da ga podpišejo in čim prej vrnejo . Podpisana pooblastila nameravajo na vložišču Vzajemne oddati 28 . oktobra . Tudi če bo Agencija za zavarovalni nadzor nadaljevala svoje aktivnosti , si bodo v zvezi prizadevali , da " skupščino speljemo do konca " , je dejal podpredsednik zveze Mirko Miklavčič in dodal , da imajo legitimno pravico za to . Sicer pa se bodo s predstavniki agencije sestali v petek , je dejal . Zapletov pri svojih prizadevanjih ne pričakujejo , " če pa se bo zapletlo , bomo skušali uporabiti tudi pravna sredstva " , je opozoril . Miklavčič je spomnil , da naj bi na izredni skupščini 6 . novembra v Laškem zamenjali nadzorni svet . Ta po mnenju zveze namreč do zdaj ni dobro opravljal svoje vloge . V Laškem pa naj bi tudi spremenili in dopolnili statut Vzajemne . Spremembe se nanašajo na sklic in izvedbo skupščin . Na skupščini naj bi iz nadzornega sveta Vzajemne odpoklicali Gregorja Primica , Jožeta Benčino , Ivana Sepaherja ter Dejana Rituperja . V naslednjem štiriletnem mandatu pa naj bi interese približno 900.000 zavarovancev v nadzornem svetu zavarovalnice zastopali predsednica Zveze društev upokojencev Slovenije Mateja Kožuh Novak ter Jože Bučer , Frančiška Ćetković in Tomaž Banovec . Na izredni skupščini bodo lahko podani in izglasovani tudi nasprotni predlogi , ki jih " lahko da vsak " , je pojasnil Miklavčič . Sam v predlaganem besedilu ni naveden , je pa pripravljen sodelovati , če bo " članstvo tako želelo " , je dejal . Nov nadzorni svet bo po njegovih predvidevanjih najbrž postavil prokurista in se morda odločil za izredno revizijo . Poleg tega naj bi po njegovih besedah " postavil zaupne , modre ljudi , ki bodo izvajali poslanstvo Vzajemne " . Na vprašanje o ceni celotne akcije je dejal , da znesek še ni znan . " Še ne vemo , koliko bo stalo . Ni poceni , ni pa tak denar , da ne bi zmogli , " je dejal . ZDUS financira akcijo glede na svoj finančni načrt , je pojasnil . Predstavniki Zveze društev upokojencev Slovenije so v vložišču Vzajemne 28 . septembra oddali 15.000 pooblastil za sklic izredne skupščine Vzajemne . Uprava Vzajemne je nato sklic izredne skupščine objavila v uradnem listu 9 . oktobra . Agencija za zavarovalni nadzor je Vzajemni oktobra napovedala možnost imenovanja izredne uprave . Kot so sporočili iz Vzajemne , se napovedani ukrepi nanašajo pretežno na pomanjkljivosti pri delovanju nadzornega sveta . Nadzorni svet Vzajemne je 9 . oktobra na izredni seji odpoklical predsednika uprave družbe Boštjana Averja , njegove zadolžitve pa je začasno prevzel član uprave Davor Hvala
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-17	Zveza	ORG[1]	_	*->2-1	*[2]	
1-4	18-25	društev	ORG[1]	_	*->2-1	*[2]	
1-5	26-37	upokojencev	ORG[1]	_	*->2-1	*[2]	
1-6	38-47	Slovenije	ORG[1]|LOC[2]	_	*->2-1|*->3-1	*[2]|*[3]	
1-7	48-49	(	_	_	_	_	
1-8	50-54	ZDUS	ORG	_	*->2-2	*[2]	
1-9	55-56	)	_	_	_	_	
1-10	57-59	je	_	_	_	_	
1-11	60-62	na	_	_	_	_	
1-12	63-68	danes	_	_	_	_	
1-13	69-78	sporočila	_	_	_	_	
1-14	79-80	,	_	_	_	_	
1-15	81-83	da	_	_	_	_	
1-16	84-86	bo	_	_	_	_	
1-17	87-92	večji	_	_	_	_	
1-18	93-96	del	_	_	_	_	
1-19	97-106	njihovega	_	_	*->2-3	*[2]	
1-20	107-115	članstva	_	_	_	_	
1-21	116-118	že	_	_	_	_	
1-22	119-120	v	_	_	_	_	
1-23	121-126	sredo	_	_	_	_	
1-24	127-129	po	_	_	_	_	
1-25	130-135	pošti	_	_	_	_	
1-26	136-142	prejel	_	_	_	_	
1-27	143-154	pooblastilo	_	_	_	_	
1-28	155-157	za	_	_	_	_	
1-29	158-168	glasovanje	_	_	_	_	
1-30	169-171	na	_	_	_	_	
1-31	172-179	izredni	_	_	_	_	
1-32	180-189	skupščini	_	_	_	_	
1-33	190-198	Vzajemne	ORG[3]	_	*->4-1	*[4]	
1-34	199-210	zdravstvene	ORG[3]	_	*->4-1	*[4]	
1-35	211-224	zavarovalnice	ORG[3]	_	*->4-1	*[4]	
1-36	225-226	.	_	_	_	_	
1-37	227-232	Člane	_	_	_	_	
1-38	233-240	prosijo	_	_	*->2-4	*[2]	
1-39	241-242	,	_	_	_	_	
1-40	243-245	da	_	_	_	_	
1-41	246-248	ga	_	_	_	_	
1-42	249-258	podpišejo	_	_	_	_	
1-43	259-261	in	_	_	_	_	
1-44	262-265	čim	_	_	_	_	
1-45	266-270	prej	_	_	_	_	
1-46	271-277	vrnejo	_	_	_	_	
1-47	278-279	.	_	_	_	_	
1-48	280-289	Podpisana	_	_	_	_	
1-49	290-301	pooblastila	_	_	_	_	
1-50	302-312	nameravajo	_	_	_	_	
1-51	313-315	na	_	_	_	_	
1-52	316-324	vložišču	_	_	_	_	
1-53	325-333	Vzajemne	ORG	_	*->4-2	*[4]	
1-54	334-340	oddati	_	_	_	_	
1-55	341-343	28	_	_	_	_	
1-56	344-345	.	_	_	_	_	
1-57	346-353	oktobra	_	_	_	_	
1-58	354-355	.	_	_	_	_	
1-59	356-360	Tudi	_	_	_	_	
1-60	361-363	če	_	_	_	_	
1-61	364-366	bo	_	_	_	_	
1-62	367-375	Agencija	ORG[4]	_	*->5-1	*[5]	
1-63	376-378	za	ORG[4]	_	*->5-1	*[5]	
1-64	379-390	zavarovalni	ORG[4]	_	*->5-1	*[5]	
1-65	391-397	nadzor	ORG[4]	_	*->5-1	*[5]	
