#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Ekvilib inštitut , nosilec certifikata Družini prijazno podjetje , je danes podelil certifikate 14 podjetjem . Od tega je 11 podjetij prejelo osnovni , 3 pa polni certifikat . Do danes se je v projekt certificiranja priključilo že prek 160 slovenskih podjetij in organizacij , ki skupaj zaposlujejo več kot 50.000 zaposlenih . Prejemniki certifikatov so Center za usposabljanje , delo in varstvo Črna na Koroškem , ELRAD INTERNATIONAL d.o.o . , HIT d.d . Nova Gorica , Javni holding Ljubljana d.o.o . , Javno podjetje Ljubljanska parkirišča in tržnice , d.o.o . , MAKOM TRGOVINA , d.o.o . , Spekter d.o.o . , Splošna bolnišnica Izola , Splošna bolnišnica Novo mesto , Stelkom d.o.o . in Združenje delodajalcev Slovenije . Polne certifikate so prejeli ABANKA VIPA d.d . , IOLAR informatika v besedi , d.o.o . in CIMOS TAM Ai , d.o.o . . Ministrica za delo , družino , socialne zadeve in enake možnosti dr . Anja Kopač Mrak je ob dogodku poudarila , da » lahko neravnovesje med lastnimi cilji in zahtevami okolja močno vpliva na zdravje in učinkovitost posameznika in v času , ko se zdi , da sta vrednoti medsebojne solidarnosti in občutka za skupnost vse redkejši , je vrednost podjetij , ki si prizadevajo za zadovoljstvo svojih zaposlenih , toliko večja . « Ministrica je ob tej priložnosti tudi dodala , da zaključujejo s pripravo sprememb Zakona o starševskem varstvu in družinskih prejemkih in da pri spremembah izhajajo iz sedanjega položaja žensk in moških na trgu dela ter dajejo velik poudarek usklajevanju poklicnega in družinskega življenja . Petra Hartman , strokovna sodelavka na projektu certifikata Družini prijazno podjetje , je ob slavnostni podelitvi pojasnila : » Kljub trenutnim gospodarskim razmeram se v postopek pridobivanja certifikata vsako leto vključujejo vedno nova podjetja in organizacije , ki dokazujejo , da poslovanje načrtujejo dolgoročno in strateško , pri čemer je načrtno vlaganje v zaposlene ključnega pomena . Vlaganje v zaposlene se jim namreč povrne v obliki zadovoljnih , zanesljivih zaposlenih , ki radi opravljajo svoje delo in so ponosni na podjetje , v katerem delajo . Ta podjetja so svetli zgledi , kakršne slovensko gospodarstvo potrebuje , če želi krizo premagati .
1-1	0-9	Ljubljana	LOC	_	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-19	Ekvilib	ORG[1]	_	*->2-1	*[2]	
1-4	20-28	inštitut	ORG[1]	_	*->2-1	*[2]	
1-5	29-30	,	_	_	_	_	
1-6	31-38	nosilec	_	4 - Pozitivno[24]	*->2-2	*[2]	
1-7	39-50	certifikata	_	4 - Pozitivno[24]	*->2-2	*[2]	
1-8	51-58	Družini	_	4 - Pozitivno[24]	*->2-2	*[2]	
1-9	59-67	prijazno	_	4 - Pozitivno[24]	*->2-2	*[2]	
1-10	68-76	podjetje	_	4 - Pozitivno[24]	*->2-2	*[2]	
1-11	77-78	,	_	_	_	_	
1-12	79-81	je	_	_	_	_	
1-13	82-87	danes	_	_	_	_	
1-14	88-95	podelil	_	_	_	_	
1-15	96-107	certifikate	_	_	_	_	
1-16	108-110	14	_	_	_	_	
1-17	111-120	podjetjem	_	_	_	_	
1-18	121-122	.	_	_	_	_	
1-19	123-125	Od	_	_	_	_	
1-20	126-130	tega	_	_	_	_	
1-21	131-133	je	_	_	_	_	
1-22	134-136	11	_	_	_	_	
1-23	137-145	podjetij	_	_	_	_	
1-24	146-153	prejelo	_	_	_	_	
1-25	154-161	osnovni	_	_	_	_	
1-26	162-163	,	_	_	_	_	
1-27	164-165	3	_	_	_	_	
1-28	166-168	pa	_	_	_	_	
1-29	169-174	polni	_	_	_	_	
1-30	175-185	certifikat	_	_	_	_	
1-31	186-187	.	_	_	_	_	
1-32	188-190	Do	_	_	_	_	
1-33	191-196	danes	_	_	_	_	
1-34	197-199	se	_	_	_	_	
1-35	200-202	je	_	_	_	_	
1-36	203-204	v	_	_	_	_	
1-37	205-212	projekt	_	_	_	_	
1-38	213-227	certificiranja	_	_	_	_	
1-39	228-239	priključilo	_	_	_	_	
1-40	240-242	že	_	_	_	_	
1-41	243-247	prek	_	_	_	_	
1-42	248-251	160	_	_	_	_	
1-43	252-262	slovenskih	_	_	_	_	
1-44	263-271	podjetij	_	_	_	_	
1-45	272-274	in	_	_	_	_	
1-46	275-286	organizacij	_	_	_	_	
1-47	287-288	,	_	_	_	_	
1-48	289-291	ki	_	_	_	_	
1-49	292-298	skupaj	_	_	_	_	
1-50	299-310	zaposlujejo	_	_	_	_	
1-51	311-314	več	_	_	_	_	
1-52	315-318	kot	_	_	_	_	
1-53	319-325	50.000	_	_	_	_	
1-54	326-336	zaposlenih	_	_	_	_	
1-55	337-338	.	_	_	_	_	
1-56	339-349	Prejemniki	_	_	_	_	
1-57	350-362	certifikatov	_	_	_	_	
1-58	363-365	so	_	_	_	_	
1-59	366-372	Center	ORG[2]	4 - Pozitivno[25]	*->3-1	*[3]	
1-60	373-375	za	ORG[2]	4 - Pozitivno[25]	*->3-1	*[3]	
1-61	376-389	usposabljanje	ORG[2]	4 - Pozitivno[25]	*->3-1	*[3]	
1-62	390-391	,	ORG[2]	4 - Pozitivno[25]	*->3-1	*[3]	
1-63	392-396	delo	ORG[2]	4 - Pozitivno[25]	*->3-1	*[3]	
1-64	397-399	in	ORG[2]	4 - Pozitivno[25]	*->3-1	*[3]	
1-65	400-407	varstvo	ORG[2]	4 - Pozitivno[25]	*->3-1	*[3]	
1-66	408-412	Črna	ORG[2]|LOC[3]	4 - Pozitivno[25]|3 - Nevtralno[26]	*->3-1|*->4-1	*[3]|*[4]	
1-67	413-415	na	ORG[2]|LOC[3]	4 - Pozitivno[25]|3 - Nevtralno[26]	*->3-1|*->4-1	*[3]|*[4]	
