#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Na čelu Hotelov Otočec , poslovne enote Krkinega hčerinskega podjetja Terme Krka , je v zadnjega pol leta prišlo že do druge spremembe . Dosedanjega direktorja Tadeja Kapšo je namreč zamenjal Gorazd Šoster , ki sicer vodi poslovne enoto Terme Šmarješke toplice . Pred Kapšo je Hotele Otočec vodila Sintija Vrstovšek , ki je bila po neuradnih podatkih zaradi slabih rezultatov prisiljena zapustiti direktorsko mesto . Šoster naj bi se omenjal tudi kot novi direktor Term Krka , ki že tri leta zapored poslujejo z izgubo . Po neuradnih podatkih namreč predsednik uprave Krke Jože Colarič ni zadovoljen z generalnim direktorjem Term Krka Jožetom Berusom , zato naj bi mu že odvzel določena pooblastila . V Krki pravijo , da , tako kot na ostalih področjih v okviru skupine Krka , prihaja tudi v Termah Krka do kadrovskih zamenjav ( tudi zaradi odhoda posameznikov ) , " s katerimi želimo v čim večji meri izkoristiti strokovne in vodstvene potenciale posameznikov in na ključna mesta kadrovati motivirane in usposobljene posameznike . " Na vprašanje , ali bo Šoster zamenjal Berusa , v Krki niso odgovorili . Pojasnili pa so , da bodo poslovno enoto na Otočcu tako zaradi širitve njihove obstoječe ponudbe kot tudi zaradi stroškovne racionalizacije v prihodnje organizacijsko in kadrovsko v večji meri povezovali z enoto Šmarješke Toplice . Pred leti so Terme Krka že prejele evropska sredstva za gradnjo projekta Terme Otočec 2000 . Čeprav so nastali precejšnji stroški , da bi termalno vodo po cevovodu prepeljali do Otočca iz Šmarjeških Toplic , projekt ni bil izveden do konca , prejeta evropska sredstva pa je Krka vrnila . Na vprašanje , zakaj projekt Terme Otočec 2000 ni bil zaključen , v Krki niso odgovorili . Poleg Hotelov Otočec in Term Šmarješke toplice Terme Krka združujejo še poslovne enote Terme Dolenjske toplice , Talaso Strunjan in Hotel Krka . V lanskem letu so Terme Krka ustvarile 31,3 milijona evrov prihodkov od prodaje , kar je bilo sedem odstotkov manj kot leta 2009 in 11 odstotkov manj od načrtov . Podjetje je lani pridelalo 2,86 milijona evrov izgube iz poslovanja , medtem ko je bil v letu 2009 ustvarjen dobiček iz poslovanja v višini 982.000 evrov ( po načrtu bi moralo podjetje lani doseči 269.000 evrov dobička iz poslovanja ) . Čeprav so načrtovali , da bodo pridelali dobra dva milijona evrov izgube , je ta lani znašala 4,6 milijona evrov . To je bilo za 248 odstotkov oziroma za 3,3 milijona evrov več od načrtov . V Krki razlagajo , da je na lansko poslovanje hčerinskega podjetja Terme Krka v precejšnji meri vplival nekajmesečni izpad poslovanja hotela v Strunjanu , ki je bil zaprt zaradi obsežnih obnovitvenih del . Po drugi strani pa so v prvem polletju letošnjega leta v primerjavi z enakim obdobjem lani zabeležili ugodne prodajne trende . Tako so prodali za približno 17 milijonov evrov storitev . To je bilo za več kot 21 odstotkov več kot v prvih šestih mesecih lanskega leta . sebastjan.morozov @
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-14	Na	_	_	_	_	
1-4	15-19	čelu	_	_	_	_	
1-5	20-27	Hotelov	ORG[1]	_	*->2-1	*[2]	
1-6	28-34	Otočec	ORG[1]|LOC[2]	_	*->2-1|*->3-1	*[2]|*[3]	
1-7	35-36	,	_	_	_	_	
1-8	37-45	poslovne	_	_	_	_	
1-9	46-51	enote	_	_	_	_	
1-10	52-60	Krkinega	ORG	_	*->4-1|*->18-1	*[4]|*[18]	
1-11	61-72	hčerinskega	_	_	*->4-1	*[4]	
1-12	73-81	podjetja	_	_	*->4-1	*[4]	
1-13	82-87	Terme	ORG[3]	_	*->4-2	*[4]	
1-14	88-92	Krka	ORG[3]	_	*->4-2	*[4]	
1-15	93-94	,	_	_	_	_	
1-16	95-97	je	_	_	_	_	
1-17	98-99	v	_	_	_	_	
1-18	100-108	zadnjega	_	_	_	_	
1-19	109-112	pol	_	_	_	_	
1-20	113-117	leta	_	_	_	_	
1-21	118-124	prišlo	_	_	_	_	
1-22	125-127	že	_	_	_	_	
1-23	128-130	do	_	_	_	_	
1-24	131-136	druge	_	_	_	_	
1-25	137-146	spremembe	_	_	_	_	
1-26	147-148	.	_	_	_	_	
1-27	149-160	Dosedanjega	_	_	*->5-1	*[5]	
1-28	161-171	direktorja	_	_	*->5-1	*[5]	
1-29	172-178	Tadeja	PER[4]	_	*->5-1	*[5]	
1-30	179-184	Kapšo	PER[4]	_	*->5-1	*[5]	
1-31	185-187	je	_	_	_	_	
1-32	188-194	namreč	_	_	_	_	
1-33	195-203	zamenjal	_	_	_	_	
1-34	204-210	Gorazd	PER[5]	_	*->6-1	*[6]	
1-35	211-217	Šoster	PER[5]	_	*->6-1	*[6]	
1-36	218-219	,	_	_	_	_	
1-37	220-222	ki	_	_	_	_	
1-38	223-228	sicer	_	_	_	_	
1-39	229-233	vodi	_	_	_	_	
1-40	234-242	poslovne	_	_	_	_	
1-41	243-248	enoto	_	_	_	_	
1-42	249-254	Terme	ORG[6]	_	*->7-1	*[7]	
1-43	255-264	Šmarješke	ORG[6]|LOC[7]	_	*->7-1|*->8-1	*[7]|*[8]	
1-44	265-272	toplice	ORG[6]|LOC[7]	_	*->7-1|*->8-1	*[7]|*[8]	
1-45	273-274	.	_	_	_	_	
1-46	275-279	Pred	_	_	_	_	
1-47	280-285	Kapšo	PER	3 - Nevtralno	*->5-2	*[5]	
1-48	286-288	je	_	_	_	_	
1-49	289-295	Hotele	ORG[8]	_	*->2-2	*[2]	
1-50	296-302	Otočec	ORG[8]|LOC[9]	_	*->2-2|*->3-2	*[2]|*[3]	
1-51	303-309	vodila	_	_	_	_	
1-52	310-317	Sintija	PER[10]	_	*->9-1	*[9]	
1-53	318-327	Vrstovšek	PER[10]	_	*->9-1	*[9]	
1-54	328-329	,	_	_	_	_	
1-55	330-332	ki	_	_	_	_	
1-56	333-335	je	_	_	_	_	
1-57	336-340	bila	_	_	_	_	
1-58	341-343	po	_	_	_	_	
1-59	344-353	neuradnih	_	_	_	_	
1-60	354-362	podatkih	_	_	_	_	
1-61	363-369	zaradi	_	_	_	_	
1-62	370-376	slabih	_	_	_	_	
