#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Škofijsko podjetje Betnava , ki je vodilo sporno naložbo v revitalizacijo istoimenskega mariborskega dvorca , vse bliže pa je tudi stečajnemu postopku , ima novega direktorja . Na ta položaj se je prejšnji ponedeljek zavihtel Simon Zdolšek , ki sicer ostaja predsednik uprave družbe Zvon Ena Holding . Zanjo bo v nekaj dneh znano , ali bo končala v stečaju , tudi Betnavi pa ne kaže nič bolje , saj ima več kot mesec dni blokirane račune , sooča pa se tudi z milijonsko tožbo družbe Prvi faktor . " Soglasje k imenovanju za direktorja Betnave sem podal na prošnjo družbenikov , saj je dosedanja direktorica Dragica Marinič odstopila , " nam je včeraj pojasnil Zdolšek . " V najkrajšem možnem času bom poskušal ugotoviti stanje in v skladu s ( pozitivno ) zakonodajo tudi ukrepati , " je dodal . Več Zdolšek ni hotel povedati , po neuradnih informacijah pa je preživetje Betnave v rokah upnikov , ki bi se morali strinjati s konverzijo svojih terjatev v kapital . Trenutno so lastniki podjetja duhovniki mariborske nadškofije - Janez Lesnika , Bernard Geršak , Alojz Krašovec , Anton Majc in Jožef Goličnik . Ti so deleže Betnave kupili šele januarja lani , ko so lastništva " odrešili " Andreja Mesarca , Iztoka Čegovnika , Zmaga Potočnika , Danico Ozvaldič , Franca Ješovnika in Antona Ekarta . Slednji so ustanovitelji Betnave in so leta 2008 vanjo vložili vsak po 380.000 evrov , do denarja pa so prišli prav z blagoslovom nadškofije oziroma je poroštvene pogodbe za posojila podpisal takratni mariborski nadškof Franc Kramberger . " Zasebno " podjetje je zatem prišlo do 1,7 milijona evrov evropskih sredstev , vendar se je pozneje izkazalo , da je ministrstvu izstavilo račune za dela , ki niso bila nikoli opravljena . Omenjena sredstva pa so , kot smo razkrili , takoj po prejemu jeseni 2009 poniknila na računih Vegrada , ki je izvajal gradbena dela na dvorcu in tudi vodil računovodstvo Betnave . Ta evropskega denarja zaradi poznejšega stečaja Vegrada ni nikoli več videla , isti znesek pa skuša od nje iztožiti tudi faktoring družba , ki ji je Vegrad odstopil terjatev . Iz internih listin Nadškofije Maribor , ki smo jih pridobili , je razvidno , da je njeno vodstvo konec leta 2009 Vegrad prosilo , da bi ta odkupil deleže vsaj Potočnika ( predsednik nadzornega sveta Zvona Dva Holdinga ) in Ekarta ( vodja službe za investicije in vzdrževanja v nadškofiji ) . Vseeno se je dogovor izjalovil , nadškofija , ki je morala v imenu Betnave vrniti evropska sredstva , pa je " našla " druge kupce . tomaz.modic @
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-21	Škofijsko	_	_	*->2-1	*[2]	
1-4	22-30	podjetje	_	_	*->2-1	*[2]	
1-5	31-38	Betnava	ORG	_	*->2-1	*[2]	
1-6	39-40	,	_	_	_	_	
1-7	41-43	ki	_	_	_	_	
1-8	44-46	je	_	_	_	_	
1-9	47-53	vodilo	_	_	*->2-2	*[2]	
1-10	54-60	sporno	_	_	_	_	
1-11	61-68	naložbo	_	_	_	_	
1-12	69-70	v	_	_	_	_	
1-13	71-85	revitalizacijo	_	_	_	_	
1-14	86-99	istoimenskega	_	_	_	_	
1-15	100-112	mariborskega	_	_	_	_	
1-16	113-119	dvorca	_	_	_	_	
1-17	120-121	,	_	_	_	_	
1-18	122-125	vse	_	_	_	_	
1-19	126-131	bliže	_	_	_	_	
1-20	132-134	pa	_	_	_	_	
1-21	135-137	je	_	_	_	_	
1-22	138-142	tudi	_	_	_	_	
1-23	143-153	stečajnemu	_	_	_	_	
1-24	154-162	postopku	_	_	_	_	
1-25	163-164	,	_	_	_	_	
1-26	165-168	ima	_	_	_	_	
1-27	169-175	novega	_	_	*->22-1	*[22]	
1-28	176-186	direktorja	_	_	*->22-1	*[22]	
1-29	187-188	.	_	_	_	_	
1-30	189-191	Na	_	_	_	_	
1-31	192-194	ta	_	_	_	_	
1-32	195-202	položaj	_	_	_	_	
1-33	203-205	se	_	_	_	_	
1-34	206-208	je	_	_	_	_	
1-35	209-217	prejšnji	_	_	_	_	
1-36	218-228	ponedeljek	_	_	_	_	
1-37	229-237	zavihtel	_	_	_	_	
1-38	238-243	Simon	PER[1]	_	*->22-2	*[22]	
1-39	244-251	Zdolšek	PER[1]	_	*->22-2	*[22]	
1-40	252-253	,	_	_	_	_	
1-41	254-256	ki	_	_	_	_	
1-42	257-262	sicer	_	_	_	_	
1-43	263-269	ostaja	_	_	_	_	
1-44	270-280	predsednik	_	_	*->22-3	*[22]	
1-45	281-287	uprave	_	_	*->22-3	*[22]	
1-46	288-294	družbe	_	_	*->22-3|*->5-1	*[22]|*[5]	
1-47	295-299	Zvon	ORG[2]	_	*->22-3|*->5-1	*[22]|*[5]	
1-48	300-303	Ena	ORG[2]	_	*->22-3|*->5-1	*[22]|*[5]	
1-49	304-311	Holding	ORG[2]	_	*->22-3|*->5-1	*[22]|*[5]	
1-50	312-313	.	_	_	_	_	
1-51	314-319	Zanjo	_	_	*->5-2	*[5]	
1-52	320-322	bo	_	_	_	_	
1-53	323-324	v	_	_	_	_	
1-54	325-330	nekaj	_	_	_	_	
1-55	331-335	dneh	_	_	_	_	
1-56	336-341	znano	_	_	_	_	
1-57	342-343	,	_	_	_	_	
1-58	344-347	ali	_	_	_	_	
1-59	348-350	bo	_	_	_	_	
1-60	351-358	končala	_	2 - Negativno	*->5-3	*[5]	
1-61	359-360	v	_	_	_	_	
1-62	361-368	stečaju	_	_	_	_	
1-63	369-370	,	_	_	_	_	
1-64	371-375	tudi	_	_	_	_	
1-65	376-383	Betnavi	ORG	_	*->2-3	*[2]	
1-66	384-386	pa	_	_	_	_	
1-67	387-389	ne	_	_	_	_	
1-68	390-394	kaže	_	_	_	_	
1-69	395-398	nič	_	_	_	_	
1-70	399-404	bolje	_	_	_	_	
1-71	405-406	,	_	_	_	_	
1-72	407-410	saj	_	_	_	_	
1-73	411-414	ima	_	_	_	_	
1-74	415-418	več	_	_	_	_	
1-75	419-422	kot	_	_	_	_	
1-76	423-428	mesec	_	_	_	_	
1-77	429-432	dni	_	_	_	_	
1-78	433-442	blokirane	_	_	_	_	
1-79	443-449	račune	_	_	_	_	
1-80	450-451	,	_	_	_	_	
1-81	452-457	sooča	_	_	*->2-4	*[2]	
1-82	458-460	pa	_	_	_	_	
1-83	461-463	se	_	_	_	_	
1-84	464-468	tudi	_	_	_	_	
1-85	469-470	z	_	_	_	_	
1-86	471-481	milijonsko	_	_	_	_	
1-87	482-487	tožbo	_	_	_	_	
1-88	488-494	družbe	_	3 - Nevtralno[20]	*->3-1	*[3]	
1-89	495-499	Prvi	ORG[3]	3 - Nevtralno[20]	*->3-1	*[3]	
1-90	500-506	faktor	ORG[3]	3 - Nevtralno[20]	*->3-1	*[3]	
1-91	507-508	.	_	_	_	_	
