#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Nadzorni svet Nove Ljubljanske banke ( NLB ) je odločanje o imenovanju nove uprave preložil na sejo 19 . oktobra . Predsednik uprave Božo Jašovič , ki je včeraj nastopil položaj v NLB , je predlagal svojo kandidatno listo , ki jo je uskladil z delom nadzornega sveta z vplivnim Markom Simonetijem na čelu , prvo nadzornico Stanislavo Zadravec Caprirolo in Gregorjem Dolencem . Toda glasovanja ni bilo . Po naših informacijah se je zataknilo že pri vprašanju razrešitve sedanjih članov uprave , v ozadju zapleta pa gre brez dvoma tudi za vse večje nezadovoljstvo nad delovanjem nekaterih članov nadzornega sveta , ki imajo odločilni vpliv na novega predsednika uprave . Tako kot smo napovedali , je Jašovič predlagal , naj nadzorniki v upravo imenujejo sedanja člana uprave Davida Benedeka in Clauda Deroosa ter Darka Tisaja ( nekdanji pooblaščenec uprave NKBM , zadnji dve leti je vodil svoje podjetje za svetovanje ) in Marka Jazbeca ( zadnje tri mesece član uprave Intereurope , pred tem od leta 2007 ni imel vidne službe ) . Prve tri je na ponedeljkovi seji potrdila tudi kadrovska komisija nadzornega sveta , medtem ko je Jašovič Jazbeca na kandidatno listo uvrstil pozneje , ko je Jazbec dal soglasje na kandidaturo . Tako nekatere nadzornike kot ministre je zadnje dni motilo zlasti , da v predlogu ekipe ni sedanjega člana uprave Mateja Narata , ki uživa podporo vidnih gospodarstvenikov . Ključni pomislek Jašoviča in skupine nadzornikov naj bi bil , da je Narat preveč vpliven . Zato so želeli sestaviti ekipo do zdaj manj izpostavljenih ljudi , tudi za ceno tega , da bi bila uprava premalo izkušena in neuigrana . Pri tem po trditvah naših virov poleg Zadravec - Caprirolove , Simonetija in Dolenca pomembno vlogo igra tudi minister za evropske zadeve in razvoj Mitja Gaspari , čeprav to ves čas vztrajno zanika . Zaradi nezadovoljstva , ki ga sproža takšno kadrovanje , je vprašanje tudi , kako bi se danes izšlo morebitno glasovanje o predlagani kandidatni listi . Toda zataknilo se je že pri tem , da se predsednica nadzornega sveta s sedanjimi člani uprave predhodno ni dogovorila za sporazumno razrešitev . Njihovega odstopa ni mogoče pričakovati , imenovanje novih članov pa ni možno , dokler sedanji niso razrešeni , saj ima lahko uprava NLB po statutu le šest članov , kolikor jih ima že zdaj ( poleg Jašoviča , Benedeka , Deroosa in Narata še Alojza Jamnika in Mirana Vičiča ) . Še več , po obstoječih pogodbah je treba sedanje člane uprave o razrešitvi iz poslovnih razlogov obvestiti pol leta prej . Da bi sedanji člani uprave ob imenovanju nove uprave na svojih mestih vztrajali še pol leta , ni pričakovati . Toda za njihov umik bo moral nadzorni svet z njimi skleniti dogovor o sporazumni razrešitvi . Ob tem je treba omeniti , da po naših informacijah sedanjim članom uprave pripadajo odpravnine v znesku okoli deset mesečnih plač in služba v NLB . Kako uspešna bo Stanislava Zadravec Caprirolo pri pogajanjih , je težko ugibati , brez dvoma pa si vlada v sedanjih razmerah težko privošči izplačilo visokih odpravnin . Zato ne presenečajo informacije , da so nadzorniki na koncu odločili , da bodo pridobili pravno mnenje , ki bo pokazalo , koliko manevrskega prostora imajo pri pogajanjih s sedanjo upravo . suzana.rankov @
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-20	Nadzorni	_	_	_	_	
1-4	21-25	svet	_	_	_	_	
1-5	26-30	Nove	ORG[1]	_	*->2-1	*[2]	
1-6	31-42	Ljubljanske	ORG[1]	_	*->2-1	*[2]	
1-7	43-48	banke	ORG[1]	_	*->2-1	*[2]	
1-8	49-50	(	_	_	_	_	
1-9	51-54	NLB	ORG	_	*->2-2	*[2]	
1-10	55-56	)	_	_	_	_	
1-11	57-59	je	_	_	_	_	
1-12	60-69	odločanje	_	_	_	_	
1-13	70-71	o	_	_	_	_	
1-14	72-82	imenovanju	_	_	_	_	
1-15	83-87	nove	_	_	_	_	
1-16	88-94	uprave	_	_	_	_	
1-17	95-103	preložil	_	_	_	_	
1-18	104-106	na	_	_	_	_	
1-19	107-111	sejo	_	_	_	_	
1-20	112-114	19	_	_	_	_	
1-21	115-116	.	_	_	_	_	
1-22	117-124	oktobra	_	_	_	_	
1-23	125-126	.	_	_	_	_	
1-24	127-137	Predsednik	_	_	*->3-1	*[3]	
1-25	138-144	uprave	_	_	*->3-1	*[3]	
1-26	145-149	Božo	PER[2]	_	*->3-1	*[3]	
1-27	150-157	Jašovič	PER[2]	_	*->3-1	*[3]	
1-28	158-159	,	_	_	_	_	
1-29	160-162	ki	_	_	_	_	
1-30	163-165	je	_	_	_	_	
1-31	166-172	včeraj	_	_	_	_	
1-32	173-181	nastopil	_	_	*->3-2	*[3]	
1-33	182-189	položaj	_	_	_	_	
1-34	190-191	v	_	_	_	_	
1-35	192-195	NLB	ORG	_	*->2-3	*[2]	
1-36	196-197	,	_	_	_	_	
1-37	198-200	je	_	_	_	_	
1-38	201-210	predlagal	_	_	*->3-3	*[3]	
1-39	211-216	svojo	_	_	_	_	
1-40	217-227	kandidatno	_	_	_	_	
1-41	228-233	listo	_	_	_	_	
1-42	234-235	,	_	_	_	_	
1-43	236-238	ki	_	_	_	_	
1-44	239-241	jo	_	_	_	_	
1-45	242-244	je	_	_	_	_	
1-46	245-253	uskladil	_	_	*->3-4	*[3]	
1-47	254-255	z	_	_	_	_	
1-48	256-261	delom	_	_	_	_	
1-49	262-272	nadzornega	_	_	_	_	
1-50	273-278	sveta	_	_	_	_	
1-51	279-280	z	_	_	_	_	
1-52	281-289	vplivnim	_	_	_	_	
1-53	290-296	Markom	PER[3]	_	*->4-1	*[4]	
1-54	297-308	Simonetijem	PER[3]	_	*->4-1	*[4]	
1-55	309-311	na	_	_	_	_	
1-56	312-316	čelu	_	_	_	_	
1-57	317-318	,	_	_	_	_	
1-58	319-323	prvo	_	_	*->5-1	*[5]	
1-59	324-334	nadzornico	_	_	*->5-1	*[5]	
1-60	335-345	Stanislavo	PER[4]	_	*->5-1	*[5]	
1-61	346-354	Zadravec	PER[4]	_	*->5-1	*[5]	
1-62	355-364	Caprirolo	PER[4]	_	*->5-1	*[5]	
1-63	365-367	in	_	_	_	_	
1-64	368-377	Gregorjem	PER[5]	_	*->6-1	*[6]	
1-65	378-386	Dolencem	PER[5]	_	*->6-1	*[6]	
1-66	387-388	.	_	_	_	_	
1-67	389-393	Toda	_	_	_	_	
1-68	394-404	glasovanja	_	_	_	_	
1-69	405-407	ni	_	_	_	_	
1-70	408-412	bilo	_	_	_	_	
1-71	413-414	.	_	_	_	_	
1-72	415-417	Po	_	_	_	_	
1-73	418-423	naših	_	_	_	_	
1-74	424-436	informacijah	_	_	_	_	
