#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=London / Washington / New Orleans - Britanski naftni velikan BP zaradi finančnih posledic okoljske katastrofe po razlitju nafte na globokomorski naftni ploščadi v Mehiškem zalivu po poročanju več britanskih medijev najverjetneje ne bo delil dividend za drugo letošnje četrtletje . S tem naj bi popustil pod pritiski ameriških oblasti , da v celoti poplača nastalo škodo . Po pisanju časnika Financial Times ( FT ) ocene škode , ki jo je povzročilo uhajanje nafte po aprilski eksploziji na ploščadi Deepwater Horizon , segajo od petih pa vse do 40 milijard dolarjev . Ameriške oblasti so v zadnjih dneh okrepile pritisk na britanskega naftnega velikana . Notranji minister Ken Salazar je tako izrazil pričakovanje , da bo BP poleg škode , ki so jo zaradi okoljske katastrofe utrpeli ljudje in okolje v regiji , plačal tudi gospodarsko škodo zaradi šestmesečnega moratorija na raziskovanje in vrtanje novih naftnih vrtin v globokem morju , ki ga je razglasil ameriški predsednik Barack Obama . BP je že napovedal , da bo plačal vse legitimne zahteve , medtem ko je Salazarjeve pozive že zavrnil . Tako naj bi po pisanju FT uprava BP ta teden vodilnim delničarjem sporočila , da ima družba dovolj denarja za dolgoročno zagotavljanje dividend lastnikom kapitala , da pa bi lahko prišlo do izpada izplačila v nekaj četrtletjih " iz političnih razlogov " . BP naj bi si na ta način želel doseči premirje z ameriškimi oblastmi in se izogniti nadaljnjemu pogromu Washingtona in oblasti prizadetih zveznih držav . Nekateri delničarji naj bi se s takim pristopom strinjali , drugi pa se bojijo , da tudi to ne bo dovolj za izboljšanje odnosov z Washingtonom . Katastrofa v Mehiškem zalivu , ena največjih v zgodovini ZDA , je namreč zaradi po mnenju mnogih počasnega in nezadostnega odziva zveznih oblasti občutno prizadela priljubljenost Obame . Ker pred novembrskimi kongresnimi volitvami demokratom ne kaže ravno najbolje , se mora demokratska administracija sedaj izkazati s čim bolj jasno in odločno politiko . Končne odločitve o dividendi zaenkrat še ni , padla pa naj bi šele po prvem srečanju ameriškega predsednika s predsednikom uprave BP Carl - Henricom Svanbergom v sredo v Washingtonu . Zaenkrat še ni jasno , ali bo na srečanju tudi izvršni direktor družbe Tony Hayward , ki je bil v zadnjih dneh tarča ostrih Obamovih kritik . Obama je BP očital , da namerava letos razdeliti za deset milijard dolarjev dividend , medtem ko je razlitje nafte , ki ga BP tedne ni uspel zajeziti , ogrozilo ekonomski obstoj številnih prebivalcev v prizadeti regiji , okoljsko škodo pa bodo odpravljali še leta . Dividenda v drugem četrtletju naj bi sicer po pisanju britanskih medijev dosegla okoli 1,7 milijarde evrov , o delitvi dobička pa naj bi BP odločal 27 . julija . BP je eno največjih podjetij na Otoku , njegov dobiček pa predstavlja več kot desetino vsega dobička družb , ki kotirajo na londonski borzi . BP je tudi izjemno pomembna naložba britanskih pokojninskih skladov . Razlitje nafte in kampanja ameriških oblasti proti družbi so v zadnjih tednih močno najedle vrednost delnic BP , zaradi česar se je v zgodbo vpletla tudi britanska vlada . Obama in britanski premier David Cameron naj bi se tako v današnjem telefonskem pogovoru dotaknila tudi posledic dogajanja v povezavi s katastrofo v Mehiškem zalivu na britansko gospodarstvo
1-1	0-6	London	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	7-8	/	_	_	_	_	
1-3	9-19	Washington	LOC	_	*->2-1	*[2]	
1-4	20-21	/	_	_	_	_	
1-5	22-25	New	LOC[1]	3 - Nevtralno[8]	*->3-1	*[3]	
1-6	26-33	Orleans	LOC[1]	3 - Nevtralno[8]	*->3-1	*[3]	
1-7	34-35	-	_	_	_	_	
1-8	36-45	Britanski	_	_	*->12-1	*[12]	
1-9	46-52	naftni	_	_	*->12-1	*[12]	
1-10	53-60	velikan	_	_	*->12-1	*[12]	
1-11	61-63	BP	ORG	_	*->12-1	*[12]	
1-12	64-70	zaradi	_	_	_	_	
1-13	71-80	finančnih	_	_	_	_	
1-14	81-89	posledic	_	_	_	_	
1-15	90-98	okoljske	_	_	_	_	
1-16	99-109	katastrofe	_	_	_	_	
1-17	110-112	po	_	_	_	_	
1-18	113-121	razlitju	_	_	_	_	
1-19	122-127	nafte	_	_	_	_	
1-20	128-130	na	_	_	_	_	
1-21	131-144	globokomorski	_	_	_	_	
1-22	145-151	naftni	_	_	_	_	
1-23	152-160	ploščadi	_	_	_	_	
1-24	161-162	v	_	_	_	_	
1-25	163-171	Mehiškem	_	_	_	_	
1-26	172-178	zalivu	_	_	_	_	
1-27	179-181	po	_	_	_	_	
1-28	182-191	poročanju	_	_	_	_	
1-29	192-195	več	_	_	_	_	
1-30	196-206	britanskih	_	_	_	_	
1-31	207-214	medijev	_	_	_	_	
1-32	215-228	najverjetneje	_	_	_	_	
1-33	229-231	ne	_	_	_	_	
1-34	232-234	bo	_	_	_	_	
1-35	235-240	delil	_	_	_	_	
1-36	241-249	dividend	_	_	_	_	
1-37	250-252	za	_	_	_	_	
1-38	253-258	drugo	_	_	_	_	
1-39	259-267	letošnje	_	_	_	_	
1-40	268-278	četrtletje	_	_	_	_	
1-41	279-280	.	_	_	_	_	
1-42	281-282	S	_	_	_	_	
1-43	283-286	tem	_	_	_	_	
1-44	287-290	naj	_	_	_	_	
1-45	291-293	bi	_	_	_	_	
1-46	294-302	popustil	_	_	*->12-2	*[12]	
1-47	303-306	pod	_	_	_	_	
1-48	307-315	pritiski	_	_	_	_	
1-49	316-325	ameriških	_	_	_	_	
1-50	326-333	oblasti	_	_	_	_	
1-51	334-335	,	_	_	_	_	
1-52	336-338	da	_	_	_	_	
1-53	339-340	v	_	_	_	_	
1-54	341-347	celoti	_	_	_	_	
1-55	348-355	poplača	_	_	*->12-3	*[12]	
1-56	356-363	nastalo	_	_	_	_	
1-57	364-369	škodo	_	_	_	_	
1-58	370-371	.	_	_	_	_	
1-59	372-374	Po	_	_	_	_	
1-60	375-382	pisanju	_	_	_	_	
1-61	383-390	časnika	_	_	_	_	
1-62	391-400	Financial	ORG[2]	_	*->11-1	*[11]	
1-63	401-406	Times	ORG[2]	_	*->11-1	*[11]	
1-64	407-408	(	ORG[2]	_	*->11-1	*[11]	
1-65	409-411	FT	ORG[2]	_	*->11-1	*[11]	
1-66	412-413	)	ORG[2]	_	*->11-1	*[11]	
1-67	414-419	ocene	_	_	_	_	
1-68	420-425	škode	_	_	_	_	
1-69	426-427	,	_	_	_	_	
1-70	428-430	ki	_	_	_	_	
1-71	431-433	jo	_	_	_	_	
1-72	434-436	je	_	_	_	_	
1-73	437-447	povzročilo	_	_	_	_	
1-74	448-456	uhajanje	_	_	_	_	
1-75	457-462	nafte	_	_	_	_	
