#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Odstavitev Uroša Rotnika z vrha TEŠ je zopet sprožila razmišljanja o interpelaciji o delu ministrice za gospodarstvo Darje Radić oziroma odprla vprašanje , ali ne bo glavni akter morebitne interpelacije kar največja koalicijska stranka SD . Vendar je včeraj vodja poslanske skupine in velenjski župan Bojan Kontič zanikal , da bi se poslanci SD o tem pogovarjali . Je pa v SD tudi mogoče slišati , da vodja poslanske skupine za kakšno interpelacijsko akcijo med poslanci največje vladne stranke tudi ne bi dobil prav močne podpore . Na vprašanje , ali je zamenjava Rotnika še en kazalec , da vlado vodi prvak Zares Gregor Golobič , kot so prepričani v velenjskem podmladku SD , pa je Kontič dejal , da še vedno verjame , da je predsednik vlade Borut Pahor in da ta svojo funkcijo opravlja odgovorno . Tako kot glede samega projekta TEŠ 6 so tudi glede Rotnikove zamenjave v Zares različna stališča . Vodja poslanske skupine Cveta Zalokar Oražem je , denimo , prepričana , da bi pred odločitvijo za takšno potezo morala biti izdelana mednarodna neodvisna revizija , ki bi pokazala , ali je bilo ravnanje resnično negospodarno , skorumpirano . . . Tudi ministrica Radićeva si po njenem mnenju ni pridobila dovolj različnih informacij , da bi sestavila resnično sliko oziroma je informacije " v preveliki meri črpala samo od prvega moža direktorata za energijo Janeza Kopača , ki pa očitno stvari okoli te zgodbe vidi samo skozi svojo perspektivo " . Nasprotno pa je prvak Zares Gregor Golobič vesel , če se stranko Zares , ker gospodarski resor vodi njihova ministrica , povezuje s povečevanjem transparentnosti na področju energetike . Meni , da poskušajo močni lobiji z agresivnimi medijskimi kampanjami in lobističnimi akcijami promovirati projekt , ki mora biti utemeljen strokovno . Za te lobije pa ni imuna nobena stranka . Opozicija se nad spori znotraj koalicije in posameznih vladnih strank nasmiha . Tako je prvak SLS Radovan Žerjav povedal , da to " zagotovo ni tista nova kadrovska paradigma , o kateri smo poslušali zadnji dve leti " . " Dogajanje , povezano s TEŠ 6 , zahteva zresnitev znotraj koalicije . Ljudje , ki so odgovorni za eno največjih naložb v zgodovini Slovenije , se obtožujejo med sabo , menjujejo kadre znotraj samih koalicijskih strank , zato slovenska javnost ne ve , kaj je tukaj resnica , " pa je dejal prvak SDS Janez Janša
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-22	Odstavitev	_	_	_	_	
1-4	23-28	Uroša	PER[1]	_	*->2-1	*[2]	
1-5	29-36	Rotnika	PER[1]	_	*->2-1	*[2]	
1-6	37-38	z	_	_	_	_	
1-7	39-43	vrha	_	_	_	_	
1-8	44-47	TEŠ	ORG	_	*->3-1	*[3]	
1-9	48-50	je	_	_	_	_	
1-10	51-56	zopet	_	_	_	_	
1-11	57-65	sprožila	_	_	_	_	
1-12	66-78	razmišljanja	_	_	_	_	
1-13	79-80	o	_	_	_	_	
1-14	81-94	interpelaciji	_	_	_	_	
1-15	95-96	o	_	_	_	_	
1-16	97-101	delu	_	_	_	_	
1-17	102-112	ministrice	_	_	*->4-1	*[4]	
1-18	113-115	za	_	_	*->4-1	*[4]	
1-19	116-128	gospodarstvo	_	_	*->4-1	*[4]	
1-20	129-134	Darje	PER[2]	_	*->4-1	*[4]	
1-21	135-140	Radić	PER[2]	_	*->4-1	*[4]	
1-22	141-148	oziroma	_	_	_	_	
1-23	149-155	odprla	_	_	_	_	
1-24	156-165	vprašanje	_	_	_	_	
1-25	166-167	,	_	_	_	_	
1-26	168-171	ali	_	_	_	_	
1-27	172-174	ne	_	_	_	_	
1-28	175-177	bo	_	_	_	_	
1-29	178-184	glavni	_	_	_	_	
1-30	185-190	akter	_	_	_	_	
1-31	191-200	morebitne	_	_	_	_	
1-32	201-214	interpelacije	_	_	_	_	
1-33	215-218	kar	_	_	_	_	
1-34	219-227	največja	_	_	_	_	
1-35	228-239	koalicijska	_	_	_	_	
1-36	240-247	stranka	_	_	_	_	
1-37	248-250	SD	ORG	_	*->5-1	*[5]	
1-38	251-252	.	_	_	_	_	
1-39	253-259	Vendar	_	_	_	_	
1-40	260-262	je	_	_	_	_	
1-41	263-269	včeraj	_	_	_	_	
1-42	270-275	vodja	_	_	*->6-1	*[6]	
1-43	276-285	poslanske	_	_	*->6-1	*[6]	
1-44	286-293	skupine	_	_	*->6-1	*[6]	
1-45	294-296	in	_	_	*->6-1	*[6]	
1-46	297-306	velenjski	_	_	*->6-1	*[6]	
1-47	307-312	župan	_	_	*->6-1	*[6]	
1-48	313-318	Bojan	PER[3]	_	*->6-1	*[6]	
1-49	319-325	Kontič	PER[3]	_	*->6-1	*[6]	
1-50	326-333	zanikal	_	_	_	_	
1-51	334-335	,	_	_	_	_	
1-52	336-338	da	_	_	_	_	
1-53	339-341	bi	_	_	_	_	
1-54	342-344	se	_	_	_	_	
