#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Nova Ljubljanska banka ( NLB ) bo svojim komitentom nadomestila za dvige gotovine na bančnih avtomatih drugih bank v Sloveniji , opravljene v obdobju od 20 . februarja 2006 do vključno 1 . aprila 2007 , skupaj z zamudnimi obrestmi začela vračati novembra , so danes sporočili iz banke . Strankam , ki še uporabljajo osebni račun NLB , s katerim so v tem obdobju dvigovale gotovino , bodo nadomestila in obresti avtomatično vrnili na ta račun . Vračilo nadomestil in obresti bodo stranke videle na izpiskih osebnega računa za november , ki jih bodo prejele v začetku decembra . Uporabniki NLB Klika pa bodo to videli v svoji spletni banki . Če osebnega računa NLB , s katerim so komitenti v tem obdobju opravljali dvige na tujih bankomatih , ne uporabljajo več , pa jih bo banka o postopku izplačila naknadno obvestila . Izplačilo ne velja za stranke , ki so od 20 . februarja 2006 do 1 . aprila 2007 imele račun v NLB Banki Domžale , NLB Koroški banki in NLB Banki Zasavje . V obdobju , za katerega bo NLB vračala nadomestila , so bile namreč te banke samostojne pravne osebe , so dodatno pojasnili v NLB . " Proti njim urad za varstvo konkurence ni nikoli začel niti vodil nobenega postopka v zvezi z usklajenim ravnanjem uvedbe provizij na isti dan v enakem znesku , " pravijo v NLB . Nadomestila za dvige na bančnih avtomatih drugih bank v Sloveniji je v soboto že vrnila Abanka Vipa , od petka naprej pa jih bo začela vračati tudi Banka Celje . Abanka , NLB , NKBM in Banka Celje so 20 . februarja 2006 na isti dan in v istem znesku ( 80 tolarjev oz . 33 centov ) uvedle nadomestilo za dvig gotovine na bankomatu druge banke . Urad za varstvo konkurence je nato leto dni zatem presodil , da so ravnale usklajeno in da so takšni sklepi organov bank prepovedani in nični . Odločba urada je po sodbi Vrhovnega sodišča RS postala pravnomočna šele letos . V Abanki Vipa in v NLB so takoj napovedali , da bodo takšno odločitev spoštovali . V NKBM in v Banki Celje pa so zoper odločitev Vrhovnega sodišča RS vložili revizijski zahtevek . Medtem ko so v Banki Celje svojo odločitev zaradi dolgotrajnosti postopka spremenili in bodo prvotno odločitev prav tako kot Abanka in NLB spoštovali , pa so v NKBM napovedali , da bodo počakali na odločitev sodišča o vloženem revizijskem zahtevku
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-16	Nova	ORG[1]	_	*->2-1	*[2]	
1-4	17-28	Ljubljanska	ORG[1]	_	*->2-1	*[2]	
1-5	29-34	banka	ORG[1]	_	*->2-1	*[2]	
1-6	35-36	(	_	_	_	_	
1-7	37-40	NLB	ORG	_	*->2-2	*[2]	
1-8	41-42	)	_	_	_	_	
1-9	43-45	bo	_	_	_	_	
1-10	46-52	svojim	_	_	_	_	
1-11	53-63	komitentom	_	_	_	_	
1-12	64-75	nadomestila	_	_	_	_	
1-13	76-78	za	_	_	_	_	
1-14	79-84	dvige	_	_	_	_	
1-15	85-93	gotovine	_	_	_	_	
1-16	94-96	na	_	_	_	_	
1-17	97-104	bančnih	_	_	_	_	
1-18	105-114	avtomatih	_	_	_	_	
1-19	115-121	drugih	_	_	_	_	
1-20	122-126	bank	_	_	_	_	
1-21	127-128	v	_	_	_	_	
1-22	129-138	Sloveniji	LOC	_	*->3-1	*[3]	
1-23	139-140	,	_	_	_	_	
1-24	141-151	opravljene	_	_	_	_	
1-25	152-153	v	_	_	_	_	
1-26	154-161	obdobju	_	_	_	_	
1-27	162-164	od	_	_	_	_	
1-28	165-167	20	_	_	_	_	
1-29	168-169	.	_	_	_	_	
1-30	170-179	februarja	_	_	_	_	
1-31	180-184	2006	_	_	_	_	
1-32	185-187	do	_	_	_	_	
1-33	188-196	vključno	_	_	_	_	
1-34	197-198	1	_	_	_	_	
1-35	199-200	.	_	_	_	_	
1-36	201-207	aprila	_	_	_	_	
1-37	208-212	2007	_	_	_	_	
1-38	213-214	,	_	_	_	_	
1-39	215-221	skupaj	_	_	_	_	
1-40	222-223	z	_	_	_	_	
1-41	224-233	zamudnimi	_	_	_	_	
1-42	234-242	obrestmi	_	_	_	_	
1-43	243-249	začela	_	_	_	_	
1-44	250-257	vračati	_	_	_	_	
1-45	258-266	novembra	_	_	_	_	
1-46	267-268	,	_	_	_	_	
1-47	269-271	so	_	_	_	_	
1-48	272-277	danes	_	_	_	_	
1-49	278-287	sporočili	_	_	_	_	
1-50	288-290	iz	_	_	_	_	
1-51	291-296	banke	_	_	*->2-3	*[2]	
1-52	297-298	.	_	_	_	_	
1-53	299-307	Strankam	_	_	_	_	
1-54	308-309	,	_	_	_	_	
1-55	310-312	ki	_	_	_	_	
1-56	313-315	še	_	_	_	_	
1-57	316-327	uporabljajo	_	_	_	_	
1-58	328-334	osebni	_	_	_	_	
1-59	335-340	račun	_	_	_	_	
1-60	341-344	NLB	ORG	_	*->2-4	*[2]	
1-61	345-346	,	_	_	_	_	
1-62	347-348	s	_	_	_	_	
1-63	349-356	katerim	_	_	_	_	
1-64	357-359	so	_	_	_	_	
1-65	360-361	v	_	_	_	_	
1-66	362-365	tem	_	_	_	_	
1-67	366-373	obdobju	_	_	_	_	
1-68	374-383	dvigovale	_	_	_	_	
1-69	384-392	gotovino	_	_	_	_	
1-70	393-394	,	_	_	_	_	
1-71	395-399	bodo	_	_	_	_	
1-72	400-411	nadomestila	_	_	_	_	
1-73	412-414	in	_	_	_	_	
1-74	415-422	obresti	_	_	_	_	
1-75	423-434	avtomatično	_	_	_	_	
1-76	435-441	vrnili	_	_	_	_	
1-77	442-444	na	_	_	_	_	
1-78	445-447	ta	_	_	_	_	
1-79	448-453	račun	_	_	_	_	
1-80	454-455	.	_	_	_	_	
1-81	456-463	Vračilo	_	_	_	_	
1-82	464-474	nadomestil	_	_	_	_	
1-83	475-477	in	_	_	_	_	
1-84	478-485	obresti	_	_	_	_	
1-85	486-490	bodo	_	_	_	_	
1-86	491-498	stranke	_	_	_	_	
1-87	499-505	videle	_	_	_	_	
1-88	506-508	na	_	_	_	_	
1-89	509-517	izpiskih	_	_	_	_	
1-90	518-526	osebnega	_	_	_	_	
1-91	527-533	računa	_	_	_	_	
1-92	534-536	za	_	_	_	_	
1-93	537-545	november	_	_	_	_	
1-94	546-547	,	_	_	_	_	
1-95	548-550	ki	_	_	_	_	
1-96	551-554	jih	_	_	_	_	
1-97	555-559	bodo	_	_	_	_	
1-98	560-567	prejele	_	_	_	_	
1-99	568-569	v	_	_	_	_	
1-100	570-577	začetku	_	_	_	_	
1-101	578-586	decembra	_	_	_	_	
1-102	587-588	.	_	_	_	_	
1-103	589-599	Uporabniki	_	_	_	_	
1-104	600-603	NLB	ORG	_	*->2-5	*[2]	
1-105	604-609	Klika	_	_	_	_	
1-106	610-612	pa	_	_	_	_	
1-107	613-617	bodo	_	_	_	_	
1-108	618-620	to	_	_	_	_	
1-109	621-627	videli	_	_	_	_	
1-110	628-629	v	_	_	_	_	
1-111	630-635	svoji	_	_	_	_	
1-112	636-643	spletni	_	_	_	_	
1-113	644-649	banki	_	_	_	_	
1-114	650-651	.	_	_	_	_	
1-115	652-654	Če	_	_	_	_	
1-116	655-663	osebnega	_	_	_	_	
1-117	664-670	računa	_	_	_	_	
1-118	671-674	NLB	ORG	_	*->2-6	*[2]	
1-119	675-676	,	_	_	_	_	
1-120	677-678	s	_	_	_	_	
1-121	679-686	katerim	_	_	_	_	
1-122	687-689	so	_	_	_	_	
1-123	690-699	komitenti	_	_	_	_	
1-124	700-701	v	_	_	_	_	
1-125	702-705	tem	_	_	_	_	
1-126	706-713	obdobju	_	_	_	_	
1-127	714-724	opravljali	_	_	_	_	
1-128	725-730	dvige	_	_	_	_	
1-129	731-733	na	_	_	_	_	
1-130	734-739	tujih	_	_	_	_	
1-131	740-750	bankomatih	_	_	_	_	
1-132	751-752	,	_	_	_	_	
1-133	753-755	ne	_	_	_	_	
1-134	756-767	uporabljajo	_	_	_	_	
1-135	768-771	več	_	_	_	_	
1-136	772-773	,	_	_	_	_	
1-137	774-776	pa	_	_	_	_	
1-138	777-780	jih	_	_	_	_	
1-139	781-783	bo	_	_	_	_	
1-140	784-789	banka	_	_	*->2-7	*[2]	
1-141	790-791	o	_	_	_	_	
1-142	792-800	postopku	_	_	_	_	
1-143	801-810	izplačila	_	_	_	_	
1-144	811-819	naknadno	_	_	_	_	
1-145	820-829	obvestila	_	_	_	_	
1-146	830-831	.	_	_	_	_	
1-147	832-841	Izplačilo	_	_	_	_	
1-148	842-844	ne	_	_	_	_	
1-149	845-850	velja	_	_	_	_	
1-150	851-853	za	_	_	_	_	
1-151	854-861	stranke	_	_	_	_	
1-152	862-863	,	_	_	_	_	
1-153	864-866	ki	_	_	_	_	
1-154	867-869	so	_	_	_	_	
1-155	870-872	od	_	_	_	_	
1-156	873-875	20	_	_	_	_	
1-157	876-877	.	_	_	_	_	
1-158	878-887	februarja	_	_	_	_	
1-159	888-892	2006	_	_	_	_	
1-160	893-895	do	_	_	_	_	
1-161	896-897	1	_	_	_	_	
1-162	898-899	.	_	_	_	_	
1-163	900-906	aprila	_	_	_	_	
1-164	907-911	2007	_	_	_	_	
1-165	912-917	imele	_	_	_	_	
1-166	918-923	račun	_	_	_	_	
1-167	924-925	v	_	_	_	_	
1-168	926-929	NLB	ORG[2]|ORG[3]	2 - Negativno[24]	*->6-1|*->2-8	*[6]|*[2]	
1-169	930-935	Banki	ORG[2]	2 - Negativno[24]	*->6-1	*[6]	
1-170	936-943	Domžale	ORG[2]|LOC[4]	2 - Negativno[24]|3 - Nevtralno[25]	*->6-1|*->4-1	*[6]|*[4]	
1-171	944-945	,	_	_	_	_	
1-172	946-949	NLB	ORG[5]|ORG[6]	2 - Negativno[26]	*->5-1|*->2-9	*[5]|*[2]	
1-173	950-957	Koroški	ORG[5]	2 - Negativno[26]	*->5-1	*[5]	
1-174	958-963	banki	ORG[5]	2 - Negativno[26]	*->5-1	*[5]	
1-175	964-966	in	_	_	_	_	
1-176	967-970	NLB	ORG[7]|ORG[8]	2 - Negativno[27]	*->7-1|*->2-10	*[7]|*[2]	
1-177	971-976	Banki	ORG[7]	2 - Negativno[27]	*->7-1	*[7]	
1-178	977-984	Zasavje	ORG[7]|LOC[9]	2 - Negativno[27]|3 - Nevtralno[28]	*->7-1|*->8-1	*[7]|*[8]	
1-179	985-986	.	_	_	_	_	
1-180	987-988	V	_	_	_	_	
1-181	989-996	obdobju	_	_	_	_	
1-182	997-998	,	_	_	_	_	
1-183	999-1001	za	_	_	_	_	
1-184	1002-1010	katerega	_	_	_	_	
1-185	1011-1013	bo	_	_	_	_	
1-186	1014-1017	NLB	ORG	_	*->2-11	*[2]	
1-187	1018-1025	vračala	_	_	_	_	
1-188	1026-1037	nadomestila	_	_	_	_	
1-189	1038-1039	,	_	_	_	_	
1-190	1040-1042	so	_	_	_	_	
1-191	1043-1047	bile	_	_	_	_	
1-192	1048-1054	namreč	_	_	_	_	
1-193	1055-1057	te	_	_	_	_	
1-194	1058-1063	banke	_	_	_	_	
1-195	1064-1074	samostojne	_	_	_	_	
1-196	1075-1081	pravne	_	_	_	_	
1-197	1082-1087	osebe	_	_	_	_	
1-198	1088-1089	,	_	_	_	_	
1-199	1090-1092	so	_	_	_	_	
1-200	1093-1100	dodatno	_	_	_	_	
1-201	1101-1110	pojasnili	_	_	_	_	
1-202	1111-1112	v	_	_	_	_	
1-203	1113-1116	NLB	ORG	_	*->2-12	*[2]	
1-204	1117-1118	.	_	_	_	_	
