#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Nadzorni svet Abanke Vipe je na današnji seji za novega predsednika uprave imenoval Jožeta Leniča . Ta bo vodilno mesto v upravi prevzel po pridobitvi dovoljena Banke Slovenije , vendar ne pred 1 . januarjem 2011 . Člana uprave ostajata Radovan Jereb in Gregor Hudobivnik . Nadzorniki so tako zaključili postopek za dopolnitev uprave banke , so prek spletnih strani Ljubljanske borze sporočili iz tretje največje banke v Sloveniji . Ta postopek so nadzorniki sprožili , potem ko Matej Narat iz NLB , njihov kandidat za prvega moža banke , ni dobil dovoljenja Banke Slovenije za opravljanje te funkcije . Abanko od konca aprila vodi dvočlanska uprava pod Jerebovim vodstvom , saj je takrat dotedanji prvi mož Abanke Aleš Žajdela tragično preminil v prometni nesreči . Jože Lenič , magister mednarodne ekonomije , univerzitetni diplomirani geograf in profesor geologije , je poslovno pot začel v zasebnem podjetju Oikos in jo nadaljeval kot predsednik izvršnega sveta Občine Domžale . Od decembra 1992 do januarja 2000 je bil poslanec DZ . Deloval je kot svetovalec uprave SKB banke in več let kot predsednik uprave vodil Kapitalsko družbo . Od decembra 2003 do junija 2005 je bil predsednik uprave Zavarovalnice Triglav , nato pa se je zaposlil kot svetovalec uprave pozavarovalnice Triglav Reinsurance . Trenutno je zaposlen v družbi Aksum . Sedaj je predsednik nadzornega sveta novomeške Krke , bil pa je tudi član nadzornih svetov Leka , Save , NLB , Intereurope , Dela in Slovenskega zavarovalnega združenja ter nekaterih odvisnih družb Zavarovalnice Triglav , je razvidno iz spletnih strani družbe Krka
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-20	Nadzorni	_	_	_	_	
1-4	21-25	svet	_	_	_	_	
1-5	26-32	Abanke	ORG[1]	_	*->2-1	*[2]	
1-6	33-37	Vipe	ORG[1]	_	*->2-1	*[2]	
1-7	38-40	je	_	_	_	_	
1-8	41-43	na	_	_	_	_	
1-9	44-52	današnji	_	_	_	_	
1-10	53-57	seji	_	_	_	_	
1-11	58-60	za	_	_	_	_	
1-12	61-67	novega	_	_	_	_	
1-13	68-79	predsednika	_	_	_	_	
1-14	80-86	uprave	_	_	_	_	
1-15	87-95	imenoval	_	_	_	_	
1-16	96-102	Jožeta	PER[2]	_	*->3-1	*[3]	
1-17	103-109	Leniča	PER[2]	_	*->3-1	*[3]	
1-18	110-111	.	_	_	_	_	
1-19	112-114	Ta	_	_	*->3-2	*[3]	
1-20	115-117	bo	_	_	_	_	
1-21	118-125	vodilno	_	_	_	_	
1-22	126-131	mesto	_	_	_	_	
1-23	132-133	v	_	_	_	_	
1-24	134-140	upravi	_	_	_	_	
1-25	141-148	prevzel	_	_	_	_	
1-26	149-151	po	_	_	_	_	
1-27	152-162	pridobitvi	_	_	_	_	
1-28	163-172	dovoljena	_	_	_	_	
1-29	173-178	Banke	ORG[3]	_	*->4-1	*[4]	
1-30	179-188	Slovenije	ORG[3]|LOC[4]	_	*->4-1|*->5-1	*[4]|*[5]	
1-31	189-190	,	_	_	_	_	
1-32	191-197	vendar	_	_	_	_	
1-33	198-200	ne	_	_	_	_	
1-34	201-205	pred	_	_	_	_	
1-35	206-207	1	_	_	_	_	
1-36	208-209	.	_	_	_	_	
1-37	210-219	januarjem	_	_	_	_	
1-38	220-224	2011	_	_	_	_	
1-39	225-226	.	_	_	_	_	
1-40	227-232	Člana	_	_	_	_	
1-41	233-239	uprave	_	_	_	_	
