#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Slovensko turistično gospodarstvo v prvih devetih mesecih letošnjega leta beleži za dva odstotka več prenočitev kot v enakem obdobju lani , pozitiven trend prenočitev je predvsem zasluga domačih gostov , ki so opravili za pet odstotkov več nočitev . Kot so sporočili s Slovenske turistične organizacije ( STO ) , je število prenočitev tujih turistov ostalo na enakem nivoju kot v enakem obdobju lani , ko so beležili rekordno turistično leto . Po začasnih podatkih Statističnega urada RS je bilo do konca septembra v turističnih nastanitvenih objektih v Sloveniji evidentiranih 2.229.570 prihodov turistov in 6.914.892 prenočitev . Skupno število prihodov je v devetih mesecih glede na lani poraslo za tri odstotke . Na prvem mestu se med tujimi gosti v prvih treh mesecih ponovno nahajajo italijanski gosti s 17 odstotki , sledijo jim turisti iz Nemčije s 13 odstotki , na tretjem mesto so turisti iz Avstrije z 12 odstotki , sledijo pa gosti s Hrvaške s šestimi odstotki . S tradicionalnih trgov Nemčije , Italije in Avstrije ob koncu sezone beležijo manjši upad obiska glede na enako obdobje lani , za kar so najverjetnejši vzrok povečane cene hrane in naftnih derivatov na trgu Evropske unije kot tudi na svetovnih trgih . Zaznati pa je tudi previdnost pri trošenju denarja , na kar zagotovo vpliva gospodarsko dogajanje v ZDA , ki se postopoma širi v Evropo . Pozitivno rast števila gostov v višini dvomestnih števil pa še vedno beležijo s trgov , kjer je STO v letošnjem letu izvedla več trženjsko - komunikacijskih akcij slovenske turistične ponudbe . Tako je na primer v devetih mesecih Slovenijo obiskalo za 61 odstotkov več japonskih gostov , število turistov iz Ruske federacije je poraslo za 36 odstotkov . Pozitivni trend števila prihodov pa beležijo tudi iz Skandinavskih držav , in sicer z Norveške ( 30 odstotkov ) , Danske ( 20 odstotkov ) , Finske ( 12 odstotkov ) in držav Beneluksa , ki tako ostajajo med najpomembnejšimi perspektivnimi trgi slovenskega turizma tudi v prihodnje . Kljub temu da turistični sektor že čuti upad povpraševanja , pa so na Slovenski turistični organizaciji prepričani , da bodo ob zaključku letošnje turistične sezone beležili pozitivno bilanco
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-21	Slovensko	_	_	_	_	
1-4	22-32	turistično	_	_	_	_	
1-5	33-45	gospodarstvo	_	_	_	_	
1-6	46-47	v	_	_	_	_	
1-7	48-53	prvih	_	_	_	_	
1-8	54-61	devetih	_	_	_	_	
1-9	62-69	mesecih	_	_	_	_	
1-10	70-80	letošnjega	_	_	_	_	
1-11	81-85	leta	_	_	_	_	
1-12	86-92	beleži	_	_	_	_	
1-13	93-95	za	_	_	_	_	
1-14	96-99	dva	_	_	_	_	
1-15	100-108	odstotka	_	_	_	_	
1-16	109-112	več	_	_	_	_	
1-17	113-123	prenočitev	_	_	_	_	
1-18	124-127	kot	_	_	_	_	
1-19	128-129	v	_	_	_	_	
1-20	130-136	enakem	_	_	_	_	
1-21	137-144	obdobju	_	_	_	_	
1-22	145-149	lani	_	_	_	_	
1-23	150-151	,	_	_	_	_	
1-24	152-161	pozitiven	_	_	_	_	
1-25	162-167	trend	_	_	_	_	
1-26	168-178	prenočitev	_	_	_	_	
1-27	179-181	je	_	_	_	_	
1-28	182-190	predvsem	_	_	_	_	
1-29	191-198	zasluga	_	_	_	_	
1-30	199-206	domačih	_	_	_	_	
1-31	207-213	gostov	_	_	_	_	
1-32	214-215	,	_	_	_	_	
1-33	216-218	ki	_	_	_	_	
1-34	219-221	so	_	_	_	_	
1-35	222-230	opravili	_	_	_	_	
1-36	231-233	za	_	_	_	_	
1-37	234-237	pet	_	_	_	_	
1-38	238-247	odstotkov	_	_	_	_	
1-39	248-251	več	_	_	_	_	
1-40	252-259	nočitev	_	_	_	_	
1-41	260-261	.	_	_	_	_	
1-42	262-265	Kot	_	_	_	_	
1-43	266-268	so	_	_	_	_	
1-44	269-278	sporočili	_	_	_	_	
1-45	279-280	s	_	_	_	_	
1-46	281-290	Slovenske	ORG[1]	_	*->16-1	*[16]	
1-47	291-301	turistične	ORG[1]	_	*->16-1	*[16]	
1-48	302-314	organizacije	ORG[1]	_	*->16-1	*[16]	
1-49	315-316	(	_	_	_	_	
1-50	317-320	STO	ORG	_	*->16-2	*[16]	
1-51	321-322	)	_	_	_	_	
1-52	323-324	,	_	_	_	_	
1-53	325-327	je	_	_	_	_	
1-54	328-335	število	_	_	_	_	
1-55	336-346	prenočitev	_	_	_	_	
1-56	347-352	tujih	_	_	_	_	
1-57	353-361	turistov	_	_	_	_	
1-58	362-368	ostalo	_	_	_	_	
1-59	369-371	na	_	_	_	_	
1-60	372-378	enakem	_	_	_	_	
1-61	379-385	nivoju	_	_	_	_	
1-62	386-389	kot	_	_	_	_	
1-63	390-391	v	_	_	_	_	
1-64	392-398	enakem	_	_	_	_	
1-65	399-406	obdobju	_	_	_	_	
1-66	407-411	lani	_	_	_	_	
1-67	412-413	,	_	_	_	_	
1-68	414-416	ko	_	_	_	_	
