#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Koper - Luka Koper je izstopila iz lastništva romunske družbe Trade Trans Terminal iz Arada , ki upravlja s tamkajšnjim terminalom za generalne tovore . Obenem je Luka Koper ponovno postala edina lastnica družbe Adria Terminali , ki upravlja s sežanskim logističnim centrom , so sporočili iz Luke Koper . Za prodajo 17 - odstotnega deleža v romunski družbi Trade Trans Terminal so se odločili , ker terminal ni izpolnjeval pričakovanj , so pojasnili v Luki Koper . Svoj delež je Luka Koper prodala družbi Trade Trans Log , odvisni družbi slovaške družbe Trade Trans Invest ( TTI ) , ki je tudi delna lastnica omenjenega terminala . Sočasno s prodajo deleža v romunski družbi je Luka Koper od slovaške družbe Spedition Trade Trans Holding ponovno odkupila 49 - odstotni delež v svoji odvisni družbi Adria Terminali . " Za ta korak smo se odločili zaradi strateške usmeritve uprave po samostojnem obvladovanju in razvijanju terminala v Sežani , ki ima v strategiji zalednih terminalov osrednjo vlogo , " pojasnjujejo iz Luke Koper . Družbo Adria Terminali je Luka Koper sicer ustanovila leta 2007 . Po odkupu 10 - odstotnega deleža v slovaški TTI je 49 - odstotni delež Adrie Terminali prodala slovaški družbi Spedition Trade Trans Holding , ki naj bi bila lastniško tudi povezani s TTI . Po navedbah iz Luke Koper so posel takrat sklenili zaradi pričakovanih sinergijskih učinkov , ki naj bi jih pripeljal nov lastnik . Koliko so v Luki Koper odšteli za odkup 49 - odstotnega deleža Adrie Terminali in koliko so iztržili od prodaje deleža v romunski Trade Trans Terminal , je po navedbah iz Luke Koper poslovna skrivnost . So pa pojasnili , da je cenitve opravila neodvisna revizijska hiša in da naj bi bila deleža podobno ocenjena . Pogodbe o nakupu in prodaji so podpisali v ponedeljek . Za nakup 10 - odstotnega deleža v TTI je Luka Koper odštela 25,8 milijona evrov , po opravljeni cenitvi pa je trenutna vrednost naložbe le 5 milijonov evrov . Po oceni vodstva Luke Koper naj bi bila Luka Koper zaradi nakupa tako oškodovana za približno 20 milijonov evrov . Pač pa Luka Koper ostaja tretjinski lastnik družbe Rail Port Arad , ki upravlja s terminalom za kontejnerske tovore v romunskem Aradu . Po navedbah iz Luke Koper gre za perspektivno naložbo , zato o izstopu iz te družbe ne razmišljajo
1-1	0-5	Koper	LOC	_	*->1-1	*[1]	
1-2	6-7	-	_	_	_	_	
1-3	8-12	Luka	ORG[1]	_	*->2-1	*[2]	
1-4	13-18	Koper	ORG[1]|LOC[2]	_	*->2-1|*->1-2	*[2]|*[1]	
1-5	19-21	je	_	_	_	_	
1-6	22-31	izstopila	_	_	_	_	
1-7	32-34	iz	_	_	_	_	
1-8	35-45	lastništva	_	_	_	_	
1-9	46-54	romunske	_	_	*->4-1	*[4]	
1-10	55-61	družbe	_	_	*->4-1	*[4]	
1-11	62-67	Trade	ORG[3]	_	*->4-1	*[4]	
1-12	68-73	Trans	ORG[3]	_	*->4-1	*[4]	
1-13	74-82	Terminal	ORG[3]	_	*->4-1	*[4]	
1-14	83-85	iz	_	_	_	_	
1-15	86-91	Arada	LOC	_	*->5-1	*[5]	
1-16	92-93	,	_	_	_	_	
1-17	94-96	ki	_	_	_	_	
1-18	97-105	upravlja	_	_	*->4-2	*[4]	
1-19	106-107	s	_	_	_	_	
1-20	108-119	tamkajšnjim	_	_	_	_	
1-21	120-130	terminalom	_	_	_	_	
1-22	131-133	za	_	_	_	_	
1-23	134-143	generalne	_	_	_	_	
1-24	144-150	tovore	_	_	_	_	
1-25	151-152	.	_	_	_	_	
1-26	153-159	Obenem	_	_	_	_	
1-27	160-162	je	_	_	_	_	
1-28	163-167	Luka	ORG[4]	_	*->2-2	*[2]	
1-29	168-173	Koper	ORG[4]|LOC[5]	_	*->2-2|*->1-3	*[2]|*[1]	
1-30	174-181	ponovno	_	_	_	_	
1-31	182-189	postala	_	_	_	_	
1-32	190-195	edina	_	_	*->2-3	*[2]	
1-33	196-204	lastnica	_	_	*->2-3	*[2]	
1-34	205-211	družbe	_	_	*->2-3|*->3-1	*[2]|*[3]	
1-35	212-217	Adria	ORG[6]	_	*->2-3|*->3-1	*[2]|*[3]	
1-36	218-227	Terminali	ORG[6]	_	*->2-3|*->3-1	*[2]|*[3]	
1-37	228-229	,	_	_	_	_	
1-38	230-232	ki	_	_	_	_	
1-39	233-241	upravlja	_	_	*->3-2	*[3]	
1-40	242-243	s	_	_	_	_	
1-41	244-253	sežanskim	_	_	_	_	
1-42	254-265	logističnim	_	_	_	_	
1-43	266-273	centrom	_	_	_	_	
1-44	274-275	,	_	_	_	_	
1-45	276-278	so	_	_	_	_	
1-46	279-288	sporočili	_	_	_	_	
1-47	289-291	iz	_	_	_	_	
1-48	292-296	Luke	ORG[7]	_	*->2-4	*[2]	
