#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Sevnica - Lisca je na ravni matične družbe do konca septembra ustvarila 15 milijonov evrov prihodkov , kar je sedem odstotkov manj kot v enakem obdobju lani . Do konca leta bo Lisca ustvarila 20 milijonov evrov prihodkov , na ravni skupine pa 30 milijonov evrov . Čisti dobiček naj bi ob koncu leta dosegel pol milijona evrov . Kot so za STA povedali v Lisci , se je prodaja v prvih devetih mesecih zmanjšala na trgih nekdanje Jugoslavije , povečala pa na trgih zahodne Evrope , predvsem v Nemčiji in Rusiji , ki sta za Lisco - ta letos praznuje 55 let obstoja , kar bodo danes obeležili tudi na modni reviji - strateška trga . Lisca vse prihodke ustvari izključno pod lastnima blagovnima znamkama Lisca in Cheek by Lisca . Petino prodaje ustvari v Sloveniji , ostalo pa v evropskih državah in na Bližnjem vzhodu . Največ blaga je Lisca prodala v Sloveniji , na Hrvaškem in v Nemčiji . Lisca tudi letos nadaljuje z odpiranjem novih prodajnih mest , samo v oktobru so oz . še bodo odprli tri nova , in sicer v Pragi , Zagrebu in v Cityparku v Ljubljani . Glavni izziv za leto 2011 za Lisco predstavlja vstop na kitajski trg . S kitajskimi partnerji , ki bodo danes prišli tudi na modno revijo , bodo predvidoma novembra podpisali pogodbo o sodelovanju . Lisca bo ob 55 . rojstnem dnevu danes v Ljubljani pripravila tradicionalni modni dogodek , na katerem bodo med drugim predstavili ekskluzivno linijo prestige , ki jih je Liscina oblikovalka Suzana Gorišek oblikovala posebej za to priložnost , in linijo perila lisca selection s kristali Swarovski . Modne kolekcije so ustvarjale Liscine kreatorke Suzana Gorišek , Melita Letnar , Marjana Češnjevar , Ksenja Dermelj in Maja Ratajc pod vodstvom direktorice razvoja Lisce , Dragice Gantar . Na modni brvi bodo tudi tokrat znane slovenske in hrvaške manekenke , med drugimi Iris Mulej , Natalija Osolnik , Nika Globokar , Nadija Byčkova , Tina Katanić , Antea Kodžoman in druge
1-1	0-7	Sevnica	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	8-9	-	_	_	_	_	
1-3	10-15	Lisca	ORG	_	*->2-1	*[2]	
1-4	16-18	je	_	_	_	_	
1-5	19-21	na	_	_	_	_	
1-6	22-27	ravni	_	_	_	_	
1-7	28-35	matične	_	_	_	_	
1-8	36-42	družbe	_	_	_	_	
1-9	43-45	do	_	_	_	_	
1-10	46-51	konca	_	_	_	_	
1-11	52-61	septembra	_	_	_	_	
1-12	62-71	ustvarila	_	_	_	_	
1-13	72-74	15	_	_	_	_	
1-14	75-84	milijonov	_	_	_	_	
1-15	85-90	evrov	_	_	_	_	
1-16	91-100	prihodkov	_	_	_	_	
1-17	101-102	,	_	_	_	_	
1-18	103-106	kar	_	_	_	_	
1-19	107-109	je	_	_	_	_	
1-20	110-115	sedem	_	_	_	_	
1-21	116-125	odstotkov	_	_	_	_	
1-22	126-130	manj	_	_	_	_	
1-23	131-134	kot	_	_	_	_	
1-24	135-136	v	_	_	_	_	
1-25	137-143	enakem	_	_	_	_	
1-26	144-151	obdobju	_	_	_	_	
1-27	152-156	lani	_	_	_	_	
1-28	157-158	.	_	_	_	_	
1-29	159-161	Do	_	_	_	_	
1-30	162-167	konca	_	_	_	_	
1-31	168-172	leta	_	_	_	_	
1-32	173-175	bo	_	_	_	_	
1-33	176-181	Lisca	ORG	_	*->2-2	*[2]	
1-34	182-191	ustvarila	_	_	_	_	
1-35	192-194	20	_	_	_	_	
1-36	195-204	milijonov	_	_	_	_	
1-37	205-210	evrov	_	_	_	_	
1-38	211-220	prihodkov	_	_	_	_	
1-39	221-222	,	_	_	_	_	
1-40	223-225	na	_	_	_	_	
1-41	226-231	ravni	_	_	_	_	
1-42	232-239	skupine	_	_	_	_	
1-43	240-242	pa	_	_	_	_	
1-44	243-245	30	_	_	_	_	
1-45	246-255	milijonov	_	_	_	_	
1-46	256-261	evrov	_	_	_	_	
1-47	262-263	.	_	_	_	_	
1-48	264-269	Čisti	_	_	_	_	
1-49	270-277	dobiček	_	_	_	_	
1-50	278-281	naj	_	_	_	_	
1-51	282-284	bi	_	_	_	_	
1-52	285-287	ob	_	_	_	_	
1-53	288-293	koncu	_	_	_	_	
1-54	294-298	leta	_	_	_	_	
1-55	299-306	dosegel	_	_	_	_	
1-56	307-310	pol	_	_	_	_	
1-57	311-319	milijona	_	_	_	_	
1-58	320-325	evrov	_	_	_	_	
1-59	326-327	.	_	_	_	_	
1-60	328-331	Kot	_	_	_	_	
1-61	332-334	so	_	_	_	_	
1-62	335-337	za	_	_	_	_	
1-63	338-341	STA	ORG	3 - Nevtralno	*->3-1	*[3]	
1-64	342-350	povedali	_	_	_	_	
1-65	351-352	v	_	_	_	_	
1-66	353-358	Lisci	ORG	_	*->2-3	*[2]	
1-67	359-360	,	_	_	_	_	
1-68	361-363	se	_	_	_	_	
1-69	364-366	je	_	_	_	_	
1-70	367-374	prodaja	_	_	_	_	
1-71	375-376	v	_	_	_	_	
1-72	377-382	prvih	_	_	_	_	
1-73	383-390	devetih	_	_	_	_	
1-74	391-398	mesecih	_	_	_	_	
1-75	399-408	zmanjšala	_	_	_	_	
1-76	409-411	na	_	_	_	_	
1-77	412-417	trgih	_	_	_	_	
1-78	418-426	nekdanje	_	_	_	_	
1-79	427-438	Jugoslavije	LOC	3 - Nevtralno	*->4-1	*[4]	
1-80	439-440	,	_	_	_	_	
1-81	441-449	povečala	_	_	_	_	
1-82	450-452	pa	_	_	_	_	
1-83	453-455	na	_	_	_	_	
1-84	456-461	trgih	_	_	_	_	
1-85	462-469	zahodne	_	_	_	_	
1-86	470-476	Evrope	LOC	3 - Nevtralno	*->5-1	*[5]	
1-87	477-478	,	_	_	_	_	
1-88	479-487	predvsem	_	_	_	_	
1-89	488-489	v	_	_	_	_	
1-90	490-497	Nemčiji	LOC	_	*->6-1	*[6]	
1-91	498-500	in	_	_	_	_	
1-92	501-507	Rusiji	LOC	4 - Pozitivno	*->7-1	*[7]	
1-93	508-509	,	_	_	_	_	
1-94	510-512	ki	_	_	_	_	
1-95	513-516	sta	_	_	_	_	
1-96	517-519	za	_	_	_	_	
1-97	520-525	Lisco	ORG	_	*->2-4	*[2]	
1-98	526-527	-	_	_	_	_	
1-99	528-530	ta	_	_	_	_	
