#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Bruselj - Prodaja avtomobilov v Evropi se je povečala tudi februarja . V 28 evropskih državah ( brez Cipra in Malte , a vključujoč Islandijo , Norveško in Švico ) so drugi letošnji mesec prodali 1.000.754 osebnih avtomobilov , kar je 3,2 odstotka več kot februarja lani . V državah članicah EU , brez upoštevanja Cipra in Malte , je bilo februarja prodanih 974.346 novih avtomobilov , kar je tri odstotke več kot februarja lani , je danes objavilo Združenje evropskih avtomobilskih proizvajalcev ( ACEA ) . Kot navaja ACEA , se podatki po posameznih državah zelo razlikujejo . Tako se je februarja močno zmanjšala prodaja avtomobilov v Nemčiji , in sicer za 29,8 odstotka na 194.846 . Padec je pripisati koncu sheme subvencioniranja nakupa novih avtomobilov . V drugih evropskih državah se je prodaja avtomobilov povečala : v Španiji za 47 odstotkov na 91.281 , v Veliki Britaniji za 26,4 odstotka na 68.686 , v Italiji za 20,6 odstotka na 200.560 in v Franciji za 18,2 odstotka na 180,535 avtomobilov . V Sloveniji se je prodaja novih avtomobilov februarja na letni ravni povečala za 1,8 odstotka na 4803 avtomobilov , v prvih dveh mesecih letos pa za 6,1 odstotka na 9853 avtomobilov . S februarsko prodajo se lahko najbolj pohvalijo francoski avtomobilski proizvajalci . Skupina Renault ( Renault in Dacia ) je na letni ravni prodajo povečala za 30 odstotkov na 109.663 avtomobilov , skupina PSA ( Peugeot in Citroen ) pa za 18,4 odstotka na 149.128 avtomobilov . Evropski avtomobilski proizvajalec številka ena , nemški Volkswagen ( Volkswagen , Audi , Seat in Škoda ) je prodajo na letni ravni zmanjšal za 1,7 odstotka na 207.969 avtomobilov . V prvih dveh mesecih letos se je prodaja avtomobilov v Evropi povečala za 8,1 odstotka na približno 2,09 milijona . Skupina Volkswagen je v prvih dveh mesecih letos ohranila položaj največjega evropskega proizvajalca avtomobilov , tržni delež skupine znaša 20,1 odstotka , medtem ko je ta v enakem obdobju lani dosegal 21,3 odstotka . Sledijo PSA Peugeot Citroen s 14,4 - odstotnim deležem , Renault z 10,8 - odstotnim in Ford z 10,1 - odstotnim deležem
1-1	0-7	Bruselj	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	8-9	-	_	_	_	_	
1-3	10-17	Prodaja	_	_	_	_	
1-4	18-29	avtomobilov	_	_	_	_	
1-5	30-31	v	_	_	_	_	
1-6	32-38	Evropi	LOC	_	*->2-1	*[2]	
1-7	39-41	se	_	_	_	_	
1-8	42-44	je	_	_	_	_	
1-9	45-53	povečala	_	_	_	_	
1-10	54-58	tudi	_	_	_	_	
1-11	59-68	februarja	_	_	_	_	
1-12	69-70	.	_	_	_	_	
1-13	71-72	V	_	_	_	_	
1-14	73-75	28	_	_	_	_	
1-15	76-85	evropskih	_	_	_	_	
1-16	86-93	državah	_	_	_	_	
1-17	94-95	(	_	_	_	_	
1-18	96-100	brez	_	_	_	_	
1-19	101-106	Cipra	LOC	_	*->3-1	*[3]	
1-20	107-109	in	_	_	_	_	
1-21	110-115	Malte	LOC	_	*->4-1	*[4]	
1-22	116-117	,	_	_	_	_	
1-23	118-119	a	_	_	_	_	
1-24	120-130	vključujoč	_	_	_	_	
1-25	131-140	Islandijo	LOC	3 - Nevtralno	*->5-1	*[5]	
1-26	141-142	,	_	_	_	_	
1-27	143-151	Norveško	LOC	3 - Nevtralno	*->6-1	*[6]	
1-28	152-154	in	_	_	_	_	
1-29	155-160	Švico	LOC	3 - Nevtralno	*->7-1	*[7]	
1-30	161-162	)	_	_	_	_	
1-31	163-165	so	_	_	_	_	
1-32	166-171	drugi	_	_	_	_	
1-33	172-180	letošnji	_	_	_	_	
1-34	181-186	mesec	_	_	_	_	
1-35	187-194	prodali	_	_	_	_	
1-36	195-204	1.000.754	_	_	_	_	
1-37	205-212	osebnih	_	_	_	_	
1-38	213-224	avtomobilov	_	_	_	_	
1-39	225-226	,	_	_	_	_	
1-40	227-230	kar	_	_	_	_	
1-41	231-233	je	_	_	_	_	
1-42	234-237	3,2	_	_	_	_	
1-43	238-246	odstotka	_	_	_	_	
1-44	247-250	več	_	_	_	_	
1-45	251-254	kot	_	_	_	_	
1-46	255-264	februarja	_	_	_	_	
1-47	265-269	lani	_	_	_	_	
1-48	270-271	.	_	_	_	_	
1-49	272-273	V	_	_	_	_	
1-50	274-281	državah	_	_	_	_	
1-51	282-290	članicah	_	_	_	_	
1-52	291-293	EU	ORG	3 - Nevtralno	*->27-1	*[27]	
1-53	294-295	,	_	_	_	_	
1-54	296-300	brez	_	_	_	_	
