#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Velenje - S podatkom o prevzemu stoodstotnega lastniškega deleža v švedski družbi Asko Appliances Group je prvi mož Gorenja Franjo Bobinac napovedal začetek delovne jeseni in poudaril , da gre za nov zgodovinski mejnik v razvoju podjetja . Gorenje , ki je 27 . julija podpisalo pogodbo o prevzemu , s tem mejnikom zapolnjuje zadnje sive lise v Evropi , z lastno proizvodnjo širi in krepi svoj trg v skandinavskih državah , Severni Ameriki in Avstraliji , obenem pa prevzema blagovni znamki Asko v najvišjem tržnem segmentu in Upo v srednjem , ki bosta dopolnjevali program Gorenja . Kupnina prevzema od italijanskega lastnika , skupine Antonio Merloni Group , je znašala 4,5 milijona evra , kar je po besedah predsednika uprave Gorenja Franja Bobinca manj , kot so ocenjevali analitiki ( Antonio Merloni Group je pred desetimi leti za Asko odštel okoli 75 milijonov evrov ) . Gorenje je financiranje zagotovilo iz svežega kapitala , ki ga je v ta namen v junijski dokapitalizaciji zagotovil IFC ( International Finance Corporation ) , ki je del skupine Svetovne banke . Predvideni učinki prevzema bodo tako na letošnji poslovni načrt Gorenja kot tudi na strateški načrt Skupine Gorenje pozitivni , so prepričani v podjetju , z nakupom pa bodo prodrli tako na skandinavski , na katerem nameravajo doseči 10 - odstotni tržni delež , kot tudi na severnoameriški in avstralski trg . Kdo ali kaj je Asko ? Švedska družba Asko je stara 60 let in je ena največjih proizvajalcev in prodajalcev velikih gospodinjskih aparatov s sedežem v Vari na Švedskem . Svojo lastno proizvodnjo pomivalnih , pralnih in sušilnih strojev ima v Vari , proizvodnjo kuhalnih aparatov , pečic in likalnih sistemov pa v Lahtiju na Finskem . Prva finančnica Gorenja Mirjana Dimc Perko je predstavila podatke o poslovanju švedske družbe . Lani je Asko ustvaril 173 milijonov evrov prihodkov , za letos pa načrtuje 176 milijonov prihodkov in EBITDA v višini 7,2 milijona evrov . Kapital podjetja je konec junija znašal 26,5 milijona evrov . " Med Gorenjem in Askom vidim številne sinergije na področju prodaje in marketinga , raziskav in razvoja , nabave in proizvodnje , " je pojasnil Bobinac in dodal , da bo Gorenje v Asko vlagalo od štiri do pet milijonov evrov na leto , prvo večjo finančno injekcijo pa naj bi družba dobila morda že konec letošnjega leta
1-1	0-7	Velenje	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	8-9	-	_	_	_	_	
1-3	10-11	S	_	_	_	_	
1-4	12-20	podatkom	_	_	_	_	
1-5	21-22	o	_	_	_	_	
1-6	23-31	prevzemu	_	_	_	_	
1-7	32-45	stoodstotnega	_	_	_	_	
1-8	46-57	lastniškega	_	_	_	_	
1-9	58-64	deleža	_	_	_	_	
1-10	65-66	v	_	_	_	_	
1-11	67-74	švedski	_	_	*->2-1	*[2]	
1-12	75-81	družbi	_	_	*->2-1	*[2]	
1-13	82-86	Asko	ORG[1]	_	*->2-1	*[2]	
1-14	87-97	Appliances	ORG[1]	_	*->2-1	*[2]	
1-15	98-103	Group	ORG[1]	_	*->2-1	*[2]	
1-16	104-106	je	_	_	_	_	
1-17	107-111	prvi	_	_	*->3-1	*[3]	
1-18	112-115	mož	_	_	*->3-1	*[3]	
1-19	116-123	Gorenja	LOC	_	*->3-1|*->17-1	*[3]|*[17]	
1-20	124-130	Franjo	PER[2]	_	*->3-1	*[3]	
1-21	131-138	Bobinac	PER[2]	_	*->3-1	*[3]	
1-22	139-148	napovedal	_	_	_	_	
1-23	149-156	začetek	_	_	_	_	
1-24	157-164	delovne	_	_	_	_	
1-25	165-171	jeseni	_	_	_	_	
1-26	172-174	in	_	_	_	_	
1-27	175-183	poudaril	_	_	*->3-2	*[3]	
1-28	184-185	,	_	_	_	_	
1-29	186-188	da	_	_	_	_	
1-30	189-192	gre	_	_	_	_	
1-31	193-195	za	_	_	_	_	
1-32	196-199	nov	_	_	_	_	
1-33	200-211	zgodovinski	_	_	_	_	
1-34	212-218	mejnik	_	_	_	_	
1-35	219-220	v	_	_	_	_	
1-36	221-228	razvoju	_	_	_	_	
1-37	229-237	podjetja	_	_	*->17-2	*[17]	
1-38	238-239	.	_	_	_	_	
1-39	240-247	Gorenje	ORG	_	*->17-3	*[17]	
1-40	248-249	,	_	_	_	_	
1-41	250-252	ki	_	_	_	_	
1-42	253-255	je	_	_	_	_	
1-43	256-258	27	_	_	_	_	
1-44	259-260	.	_	_	_	_	
1-45	261-267	julija	_	_	_	_	
1-46	268-277	podpisalo	_	_	*->17-4	*[17]	
1-47	278-285	pogodbo	_	_	_	_	
1-48	286-287	o	_	_	_	_	
1-49	288-296	prevzemu	_	_	_	_	
1-50	297-298	,	_	_	_	_	
1-51	299-300	s	_	_	_	_	
1-52	301-304	tem	_	_	_	_	
1-53	305-313	mejnikom	_	_	_	_	
1-54	314-324	zapolnjuje	_	_	_	_	
1-55	325-331	zadnje	_	_	_	_	
1-56	332-336	sive	_	_	_	_	
1-57	337-341	lise	_	_	_	_	
1-58	342-343	v	_	_	_	_	
1-59	344-350	Evropi	LOC	3 - Nevtralno	*->4-1	*[4]	
1-60	351-352	,	_	_	_	_	
1-61	353-354	z	_	_	_	_	
1-62	355-361	lastno	_	_	*->17-5	*[17]	
1-63	362-373	proizvodnjo	_	_	_	_	
1-64	374-378	širi	_	_	*->17-6	*[17]	
1-65	379-381	in	_	_	_	_	
1-66	382-387	krepi	_	_	*->17-7	*[17]	
1-67	388-392	svoj	_	_	*->17-8	*[17]	
1-68	393-396	trg	_	_	_	_	
1-69	397-398	v	_	_	_	_	
1-70	399-412	skandinavskih	_	_	_	_	
1-71	413-420	državah	_	_	_	_	
1-72	421-422	,	_	_	_	_	
1-73	423-430	Severni	LOC[3]	3 - Nevtralno[11]	*->5-1	*[5]	
