#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Nemški avtomobilski koncern Daimler je vstopil v lastništvo ameriškega proizvajalca električnih avtomobilov Tesla Motors . Proizvajalec avtomobilskih znamk Mercedes - Benz in Smart je za okoli 50 milijonov evrov kupil desetodstotni delež v ameriškem podjetju , ki je med drugim razvilo električni športni avtomobil za dolge proge . Daimler se želi na ta način utrditi na trgu električnih avtomobilov , ki se mu v prihodnosti obeta razmah . " Naše strateško partnerstvo je pomemben korak k pospešitvi globalne komercializacije električnih motorjev , " je v torek zvečer v izjavi povedal član uprave Daimlerja in vodja oddelka za raziskave in razvoj Thomas Weber . Cilj strateškega dogovora med podjetjema je po navedbah Daimlerja tesnejše sodelovanje pri razvoju električnih motorjev , akumulatorjev in nekaterih vozil na električni pogon . Tesla Motors iz San Carlosa v Kaliforniji je po navedbah Daimlerja trenutno edini proizvajalec , ki s svojim športnim avtomobilom tesla roadster in limuzino model S lahko ponudi za dolge proge primerni električni vozilo . Model S ima z enim polnjenjem domet 480 kilometrov . Tesla Motros sicer že od leta 2004 razvija električne avtomobile . Podjetji sta že sklenili , da bo Tesla Motors razvil litij - ionske akumulatorje za prvih 1000 električnih vozil smart druge generacije , ki naj bi na trg prišli konec leta . Poleg tega naj bi Tesla Motors z elektromotorji opremil tudi vozila mercedes A nove generacije , ki jih bo Daimler predstavil leta 2011 . To so sicer zaenkrat v nemškem koncernu zanikali . Z letom 2012 želi Daimler vozila mercedes - benz in smart opremljati z lastnimi litij - ionskimi akumulatorji . V ta namen je Daimler pred kratkim kupil delež v nemškem podjetju Li - tec , ki se ukvarja z razvojem tovrstne tehnologije . Daimler je septembra lani sklenil tudi partnerstvo z nemškim elektroenergetskim koncernom RWE , s katerim naj bi razvili mrežo polnilnih postaj v Berlinu . To naj bi bilo največje tovrstno omrežje na svetu in naj bi začelo delovati prihodnje leto
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-18	Nemški	_	_	*->2-1	*[2]	
1-4	19-31	avtomobilski	_	_	*->2-1	*[2]	
1-5	32-39	koncern	_	_	*->2-1	*[2]	
1-6	40-47	Daimler	ORG	_	*->2-1	*[2]	
1-7	48-50	je	_	_	_	_	
1-8	51-58	vstopil	_	_	_	_	
1-9	59-60	v	_	_	_	_	
1-10	61-71	lastništvo	_	_	_	_	
1-11	72-82	ameriškega	_	_	*->11-1	*[11]	
1-12	83-95	proizvajalca	_	_	*->11-1	*[11]	
1-13	96-107	električnih	_	_	*->11-1	*[11]	
1-14	108-119	avtomobilov	_	_	*->11-1	*[11]	
1-15	120-125	Tesla	ORG[1]	_	*->11-1	*[11]	
1-16	126-132	Motors	ORG[1]	_	*->11-1	*[11]	
1-17	133-134	.	_	_	_	_	
1-18	135-147	Proizvajalec	_	_	*->2-2	*[2]	
1-19	148-161	avtomobilskih	_	_	*->2-2	*[2]	
1-20	162-167	znamk	_	_	*->2-2	*[2]	
1-21	168-176	Mercedes	ORG[2]	3 - Nevtralno[10]	*->2-2|*->3-1	*[2]|*[3]	
1-22	177-178	-	ORG[2]	3 - Nevtralno[10]	*->2-2|*->3-1	*[2]|*[3]	
1-23	179-183	Benz	ORG[2]	3 - Nevtralno[10]	*->2-2|*->3-1	*[2]|*[3]	
1-24	184-186	in	_	_	*->2-2	*[2]	
1-25	187-192	Smart	ORG	3 - Nevtralno	*->2-2|*->4-1	*[2]|*[4]	
1-26	193-195	je	_	_	_	_	
1-27	196-198	za	_	_	_	_	
1-28	199-204	okoli	_	_	_	_	
1-29	205-207	50	_	_	_	_	
1-30	208-217	milijonov	_	_	_	_	
1-31	218-223	evrov	_	_	_	_	
1-32	224-229	kupil	_	_	_	_	
1-33	230-243	desetodstotni	_	_	_	_	
1-34	244-249	delež	_	_	_	_	
1-35	250-251	v	_	_	_	_	
1-36	252-261	ameriškem	_	_	*->11-2	*[11]	
1-37	262-270	podjetju	_	_	*->11-2	*[11]	
1-38	271-272	,	_	_	_	_	
1-39	273-275	ki	_	_	_	_	
1-40	276-278	je	_	_	_	_	
