#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - - Medtem ko se bližajo novoletni prazniki , ko bo minilo leto dni od plinskega spora med Rusijo in Ukrajino , zaradi katerega je Evropa za dva tedna ostala brez ruskega zemeljskega plina , v Gazpromu letos krize ne pričakujejo . Po oceni podpredsednika Gazproma Aleksandra Medvedjeva ni razlogov , da bi se kriza ponovila . Če bo Ukrajina pravočasno poravnavala obveznosti do Rusije , se kriza ne bo ponovila , je nedavno v pogovoru z novinarji z jugovzhodne Evrope v Moskvi dejal Medvedjev , ki sicer o zgodovini plinskih sporov z Ukrajino ni želel govoriti . Poudaril je , da je bila januarska plinska kriza , zaradi katere je Evropa ostala brez ruskega zemeljskega plina , rojena v Ukrajini . Gazprom je s svoje strani naredil po Medvedjevih besedah storil veliko , med drugim so Ukrajini v naprej plačali za tranzit , hkrati pa so opustili tudi globe . " V tem trenutku ni poslovnih nevarnosti za krizo , obstajajo le politični , " je izpostavil Medvedjev in izrazil upanje , da bo letošnje novoletne praznike preživel doma . Upanje , da to zimo ne bi bilo težav z Ukrajino , sta izrazila tudi predsednik duminega odbora za energetiko Jurij Lipatov ter podpredsednik ruske dume in predsednik ruskega združenja plina Valerij Jazev . Jazev je sicer poudaril , da je kriza možna , vendar le zaradi monopola ukrajinskega tranzitnega sistema , nestabilnega političnega in družbenega okolja v Ukrajini ter pomanjkanja mednarodnih poti na vplivanje takšnih razmer . Januarska plinska kriza pa ni prizadela le Evrope , temveč tudi Gazprom . Po besedah prvega moža Gazpromove podružnice v Orenburgu Sergeja Ivanova je moral Gazprom v Orenburgu zaradi zaustavitve tranzita zmanjšati proizvodnjo za 25 odstotkov . Proizvodnjo so v tistem času skrčili v več tovarnah , je še dodal Ivanov , ki je prepričan , da se kriza ne bo ponovila . Iz Orenburga , ki leži na robu Urala na meji Evrope z Azijo , je v Evropo pritekel prvi zemeljski plin iz Rusije . Gazprom je v Orenburg , kjer ima med drugim tovarno , ki proizvaja helij , prišel leta 1968 . Tovarna helija , edina v evroazijski regiji in ena izmed štirih na svetu ( dve sta še v ZDA in ena v Alžriji ) , letno proizvede okoli šest milijonov kubičnih metrov helija , z njim pa oskrbujejo 500 kupcev . Gazprom bo v prihodnje zaradi vse večjih potreb po heliju gradil nove tovarne . Te bodo gradili v Sibiriji , kjer imajo dovolj rezerv . Sicer pa v Gazpromu upajo , da bo do leta 2030 Rusija " glavni igralec " na trgu proizvodnje helija , je pojasnil direktor tovarne Sergej Molčanov
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-13	-	_	_	_	_	
1-4	14-20	Medtem	_	_	_	_	
1-5	21-23	ko	_	_	_	_	
1-6	24-26	se	_	_	_	_	
1-7	27-34	bližajo	_	_	_	_	
1-8	35-44	novoletni	_	_	_	_	
1-9	45-53	prazniki	_	_	_	_	
1-10	54-55	,	_	_	_	_	
1-11	56-58	ko	_	_	_	_	
1-12	59-61	bo	_	_	_	_	
1-13	62-68	minilo	_	_	_	_	
1-14	69-73	leto	_	_	_	_	
1-15	74-77	dni	_	_	_	_	
1-16	78-80	od	_	_	_	_	
1-17	81-90	plinskega	_	_	_	_	
1-18	91-96	spora	_	_	_	_	
1-19	97-100	med	_	_	_	_	
1-20	101-107	Rusijo	ORG	_	*->2-1	*[2]	
1-21	108-110	in	_	_	_	_	
1-22	111-119	Ukrajino	ORG	_	*->3-1	*[3]	
1-23	120-121	,	_	_	_	_	
1-24	122-128	zaradi	_	_	_	_	
1-25	129-137	katerega	_	_	_	_	
1-26	138-140	je	_	_	_	_	
1-27	141-147	Evropa	ORG	_	*->4-1	*[4]	
1-28	148-150	za	_	_	_	_	
1-29	151-154	dva	_	_	_	_	
1-30	155-160	tedna	_	_	_	_	
1-31	161-167	ostala	_	_	_	_	
1-32	168-172	brez	_	_	_	_	
1-33	173-180	ruskega	_	_	_	_	
1-34	181-192	zemeljskega	_	_	_	_	
1-35	193-198	plina	_	_	_	_	
1-36	199-200	,	_	_	_	_	
1-37	201-202	v	_	_	_	_	
1-38	203-211	Gazpromu	ORG	_	*->17-1	*[17]	
1-39	212-217	letos	_	_	_	_	
1-40	218-223	krize	_	_	_	_	
1-41	224-226	ne	_	_	_	_	
1-42	227-238	pričakujejo	_	_	_	_	
1-43	239-240	.	_	_	_	_	
1-44	241-243	Po	_	_	_	_	
1-45	244-249	oceni	_	_	_	_	
1-46	250-264	podpredsednika	_	_	*->5-1	*[5]	
1-47	265-273	Gazproma	ORG	_	*->5-1|*->17-2	*[5]|*[17]	
1-48	274-284	Aleksandra	PER[1]	_	*->5-1	*[5]	
1-49	285-295	Medvedjeva	PER[1]	_	*->5-1	*[5]	
1-50	296-298	ni	_	_	_	_	
1-51	299-307	razlogov	_	_	_	_	
1-52	308-309	,	_	_	_	_	
1-53	310-312	da	_	_	_	_	
1-54	313-315	bi	_	_	_	_	
1-55	316-318	se	_	_	_	_	
1-56	319-324	kriza	_	_	_	_	
1-57	325-333	ponovila	_	_	_	_	
1-58	334-335	.	_	_	_	_	
1-59	336-338	Če	_	_	_	_	
1-60	339-341	bo	_	_	_	_	
1-61	342-350	Ukrajina	ORG	_	*->3-2	*[3]	
1-62	351-361	pravočasno	_	_	_	_	
1-63	362-373	poravnavala	_	_	_	_	
1-64	374-384	obveznosti	_	_	_	_	
1-65	385-387	do	_	_	_	_	
1-66	388-394	Rusije	ORG	_	*->2-2	*[2]	
1-67	395-396	,	_	_	_	_	
1-68	397-399	se	_	_	_	_	
1-69	400-405	kriza	_	_	_	_	
1-70	406-408	ne	_	_	_	_	
1-71	409-411	bo	_	_	_	_	
1-72	412-420	ponovila	_	_	_	_	
1-73	421-422	,	_	_	_	_	
1-74	423-425	je	_	_	_	_	
1-75	426-433	nedavno	_	_	_	_	
1-76	434-435	v	_	_	_	_	
1-77	436-444	pogovoru	_	_	_	_	
1-78	445-446	z	_	_	_	_	
1-79	447-456	novinarji	_	_	_	_	
1-80	457-458	z	_	_	_	_	
1-81	459-470	jugovzhodne	_	_	_	_	
1-82	471-477	Evrope	LOC	_	*->4-2	*[4]	
1-83	478-479	v	_	_	_	_	
1-84	480-486	Moskvi	LOC	3 - Nevtralno	*->6-1	*[6]	
1-85	487-492	dejal	_	_	_	_	
1-86	493-502	Medvedjev	PER	_	*->5-2	*[5]	
1-87	503-504	,	_	_	_	_	
1-88	505-507	ki	_	_	_	_	
1-89	508-513	sicer	_	_	_	_	
1-90	514-515	o	_	_	_	_	
