#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - SCT pod vodstvom Ivana Zidarja za dodatna elektrostrojna dela v predoru Šentvid na avtocestnem odseku Koseze - Šentvid na prvotnih pogodbeno sklenjenih 11 milijonov evrov zahteva še 7 milijonov evrov . Celoten 5,5 - kilometrski odsek naj bi po napovedih presegel 263 milijonov evrov . Zahtevek SCT so včeraj obravnavali nadzorniki državne družbe za avtoceste ( Dars ) pod vodstvom Francija Slaka , a ga niso odobrili , temveč so se z njim le seznanili . Od uprave Darsa , ki jo vodi Tomislav Nemec , pričakujejo , da se bo z izvajalcem dogovorila tako , da bo cena del ostala v okviru 11 milijonov evrov , čeprav se strinjajo z dodatnimi deli , povezanimi z evropsko direktivo o prometni varnosti , je pojasnil Slak . Gre za podvojitev števila prečnikov in odstavnih niš v predoru ter dodatno razsvetljavo in prezračevanje zaradi zamenjave betonskega vozišča z asfaltnim ter dodatno signalizacijo . Slak je prepričan , da je zaradi prihrankov , ker ne bo zgrajen poln priključek na Celovško cesto , kot je bilo predvideno s pogodbo , mogoče elektrostrojna dela v predoru dokončati po sklenjeni ceni . Upravi Darsa se z odločitvijo mudi , saj mora biti predor končan do 30 . junija . Za Slaka možnost , da predor ne bi bil dokončan do roka , ne pride v poštev , tudi zaradi pritiska javnosti . Zato tudi ne pričakuje , da bo SCT Dars izsiljeval s kratkim rokom . " Uprava naj se odloči , kaj bo storila . Jasno pa je , da zahtevek krepko presega 30 odstotkov pogodbene vrednosti ( 3,3 milijona evrov ) , kar bi SCT sploh še lahko odobrili v skladu z zakonodajo , " je pojasnil član nadzornega sveta Uroš Rožič . Odločitev uprave o Šentvidu Rožič pričakuje v nekaj dneh , v 10 do 14 dnevih pa tudi odločitev o usodi razpisa za gradnjo predora Markovec . Dars je , kot je znano , za posel izbral konzorcij na čelu z italijanskim Vidonijem , a je državna revizijska komisija po pritožbi drugega ponudnika SCT in Primorja odločitev razveljavila . " Uprava nam še ni sporočila , h kakšni odločitvi se nagiba , " je dejal Rožič . Nadzorniki so se seznanili tudi z zahtevo Prekmurcev , da mora biti prekmurski krak avtoceste zgrajen do konca avgusta . Strinjajo se , da to ni uresničljivo , vendar uprava Darsa še preučuje zahteve in predloge , zaradi katerih je minister za promet Radovan Žerjav že zagrozil z odstopom
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->5-1	*[5]	
1-2	10-11	-	_	_	_	_	
1-3	12-15	SCT	ORG	_	*->2-1	*[2]	
1-4	16-19	pod	_	_	_	_	
1-5	20-28	vodstvom	_	_	_	_	
1-6	29-34	Ivana	PER[1]	3 - Nevtralno[7]	*->11-1	*[11]	
1-7	35-42	Zidarja	PER[1]	3 - Nevtralno[7]	*->11-1	*[11]	
1-8	43-45	za	_	_	_	_	
1-9	46-53	dodatna	_	_	_	_	
1-10	54-68	elektrostrojna	_	_	_	_	
1-11	69-73	dela	_	_	_	_	
1-12	74-75	v	_	_	_	_	
1-13	76-83	predoru	_	_	_	_	
1-14	84-91	Šentvid	LOC	_	*->12-1	*[12]	
1-15	92-94	na	_	_	_	_	
1-16	95-106	avtocestnem	_	_	_	_	
1-17	107-113	odseku	_	_	_	_	
1-18	114-120	Koseze	LOC	3 - Nevtralno	*->13-1	*[13]	
1-19	121-122	-	_	_	_	_	
1-20	123-130	Šentvid	LOC	_	*->12-2	*[12]	
1-21	131-133	na	_	_	_	_	
1-22	134-142	prvotnih	_	_	_	_	
1-23	143-152	pogodbeno	_	_	_	_	
1-24	153-163	sklenjenih	_	_	_	_	
1-25	164-166	11	_	_	_	_	
1-26	167-176	milijonov	_	_	_	_	
1-27	177-182	evrov	_	_	_	_	
1-28	183-190	zahteva	_	_	_	_	
1-29	191-193	še	_	_	_	_	
1-30	194-195	7	_	_	_	_	
1-31	196-205	milijonov	_	_	_	_	
1-32	206-211	evrov	_	_	_	_	
1-33	212-213	.	_	_	_	_	
1-34	214-221	Celoten	_	_	_	_	
1-35	222-225	5,5	_	_	_	_	
1-36	226-227	-	_	_	_	_	
1-37	228-239	kilometrski	_	_	_	_	
1-38	240-245	odsek	_	_	_	_	
1-39	246-249	naj	_	_	_	_	
1-40	250-252	bi	_	_	_	_	
1-41	253-255	po	_	_	_	_	
1-42	256-265	napovedih	_	_	_	_	
1-43	266-274	presegel	_	_	_	_	
1-44	275-278	263	_	_	_	_	
1-45	279-288	milijonov	_	_	_	_	
1-46	289-294	evrov	_	_	_	_	
1-47	295-296	.	_	_	_	_	
1-48	297-305	Zahtevek	_	_	_	_	
1-49	306-309	SCT	ORG	_	*->2-2	*[2]	
1-50	310-312	so	_	_	_	_	
1-51	313-319	včeraj	_	_	_	_	
1-52	320-331	obravnavali	_	_	_	_	
1-53	332-342	nadzorniki	_	_	_	_	
1-54	343-350	državne	_	_	*->1-1	*[1]	
1-55	351-357	družbe	_	_	*->1-1	*[1]	
1-56	358-360	za	_	_	*->1-1	*[1]	
