#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Telekom Slovenije je podpisal pogodbo z vodilnim grškim mobilnim operaterjem Cosmonote o nakupu makedonskega mobilnega operaterja Cosmofon in GTS . Posel je vreden 190 milijonov evrov . Telekom Slovenije Telekom Slovenije je danes s Cosmote in Germanos podpisal pogodbo o nakupu 100 - odstotnega deleža družbe Cosmofon Mobile Telecommunications in 100 - odstotnega deleža v družbi Germanos Telecom GTS . Skupna vrednost transakcije znaša 190 milijonov evrov , so sporočili iz Telekoma . Pogodbo o nakupu oziroma prodaji sta podpisala predsednik uprave Telekoma Bojan Dremelj in namestnik glavnega izvršnega direktorja Cosmonote Group Michael Tsamaz . Grško družbo OTE Hellenic Telecommunications Organization so v prodajo Cosmofona prisilile makedonske oblasti , potem ko je v njo investiral Deutsche Telekom . Deutsche Telekom ima namreč pomembne deleže tudi v drugih dveh konkurenčnih mobilnih operaterjih v Makedoniji . Bojan Dremelj je ob tem dejal Zelo smo zadovoljni , da smo podpisali dogovor o nakupu 100 - odstotnega deleža v Cosmofonu in družbi GTS . Ta nakup zaokroža in dopolnjuje naše dosedanje aktivnosti v Makedoniji , hkrati pa predstavlja pomemben korak v naši strategiji postati eden najpomembnejših telekomunikacijskih ponudnikov v JV Evropi . Predsednik uprave Telekoma Bojan Dremelj Foto Kanal A Michael Tsamaz pa je ob podpisu povedal Zelo smo veseli , da lahko objavimo uspešno zaključeno prodajo Cosmofona in GTS , in zanimanje za nakup , ki ga je pokazalo več telekomunikacijskih skupin . Radi bi se zahvalili in čestitali Telekomu Slovenje , kot tudi vsem drugim sodelujočim v tem procesu . V nadaljevanju želimo Cosmofonu , GTS in vsem zaposlenim , s katerimi smo sodelovali kot člani Cosmonote Group , veliko uspeha v prihodnje . Prepričan sem , da bo Telekom Slovenije nadaljeval uspešno začrtano pot na makedonskem trgu . Cosmofon je začel s svojo komercialno dejavnostjo junija 2003 in ima drugo mobilno licenco v Makedoniji . Cosmofon je Avgusta 2005 kupil največji grški mobilni operater Cosmonote Group , sicer del grškega nacionalnega telefonskega operaterja Hellenic Telecomunications Organization OTE . Cosmofon ima danes približno 30 - odstotni tržni delež v Makedoniji . Germanos Telecom pa je distributer Cosmofonovih storitev v državi , s 66 prodajnimi mesti . Pogodbo o nakupu mora potrditi še makedonska regulatorna agencija
1-1	0-7	Telekom	ORG[1]	_	*->13-1	*[13]	
1-2	8-17	Slovenije	ORG[1]|LOC[2]	_	*->13-1|*->1-1	*[13]|*[1]	
1-3	18-20	je	_	_	_	_	
1-4	21-29	podpisal	_	_	_	_	
1-5	30-37	pogodbo	_	_	_	_	
1-6	38-39	z	_	_	_	_	
1-7	40-48	vodilnim	_	_	*->15-1	*[15]	
1-8	49-55	grškim	_	_	*->15-1	*[15]	
1-9	56-64	mobilnim	_	_	*->15-1	*[15]	
1-10	65-76	operaterjem	_	_	*->15-1	*[15]	
1-11	77-86	Cosmonote	ORG	_	*->15-1	*[15]	
1-12	87-88	o	_	_	_	_	
1-13	89-95	nakupu	_	_	_	_	
1-14	96-108	makedonskega	_	_	*->12-1	*[12]	
1-15	109-118	mobilnega	_	_	*->12-1	*[12]	
1-16	119-129	operaterja	_	_	*->12-1	*[12]	
1-17	130-138	Cosmofon	ORG	_	*->12-1	*[12]	
1-18	139-141	in	_	_	_	_	
1-19	142-145	GTS	ORG	_	*->3-1	*[3]	
1-20	146-147	.	_	_	_	_	
1-21	148-153	Posel	_	_	_	_	
1-22	154-156	je	_	_	_	_	
1-23	157-163	vreden	_	_	_	_	
1-24	164-167	190	_	_	_	_	
1-25	168-177	milijonov	_	_	_	_	
1-26	178-183	evrov	_	_	_	_	
1-27	184-185	.	_	_	_	_	
1-28	186-193	Telekom	ORG[3]	_	*->13-2	*[13]	
1-29	194-203	Slovenije	ORG[3]|LOC[4]	_	*->13-2|*->1-2	*[13]|*[1]	
1-30	204-211	Telekom	ORG[5]	_	*->13-3	*[13]	
1-31	212-221	Slovenije	ORG[5]|LOC[6]	_	*->13-3|*->1-3	*[13]|*[1]	
1-32	222-224	je	_	_	_	_	
1-33	225-230	danes	_	_	_	_	
1-34	231-232	s	_	_	_	_	
1-35	233-240	Cosmote	ORG	_	*->2-1	*[2]	
1-36	241-243	in	_	_	_	_	
1-37	244-252	Germanos	ORG	_	*->3-2	*[3]	
1-38	253-261	podpisal	_	_	_	_	
1-39	262-269	pogodbo	_	_	_	_	
1-40	270-271	o	_	_	_	_	
1-41	272-278	nakupu	_	_	_	_	
1-42	279-282	100	_	_	_	_	
1-43	283-284	-	_	_	_	_	
1-44	285-295	odstotnega	_	_	_	_	
1-45	296-302	deleža	_	_	_	_	
1-46	303-309	družbe	_	_	*->12-2	*[12]	
1-47	310-318	Cosmofon	ORG[7]	_	*->12-2	*[12]	
1-48	319-325	Mobile	ORG[7]	_	*->12-2	*[12]	
1-49	326-344	Telecommunications	ORG[7]	_	*->12-2	*[12]	
1-50	345-347	in	_	_	_	_	
