#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Moskva - Rusija pričakuje , da bo pred koncem aprila podpisala še zadnji potrebni sporazum za uresničitev projekta Južni tok . Gre za sporazum o sodelovanju z Avstrijo , je napovedal ruski energetski minister Sergej Šmatko . Podobno časovnico predvidevajo tudi na avstrijskem ministrstvu za gospodarstvo . Na avstrijskem gospodarskem ministrstvu so navedli , da bodo pogajanja z rusko stranjo zaključena najkasneje do obiska ruskega premierja Vladimirja Putina v tej državi . Putin se bo konec aprila udeležil evropskega prvenstva v judu , ki bo potekalo na Dunaju , je poročala avstrijska tiskovna agencija APA . Ruska stran je do sedaj že podpisala meddržavne sporazume o sodelovanju pri izgradnji in uporabi plinovoda Južni tok s Srbijo , Bolgarijo , Madžarsko , Grčijo , Slovenijo in Hrvaško . Po plinovodu Južni tok naj bi letno steklo 63 milijard kubičnih metrov plina . Projekt je ocenjen na okoli deset milijard evrov , po nekaterih ocenah bi se številka lahko povzpela do 25 milijard evrov . Južni tok bosta po načrtu sestavljala dva kraka . Poleg kraka iz Rusije , pod Črnim morjem do Bolgarije , Srbije , Madžarske in Avstrije oz . Slovenije v Italijo , bo šel v Italijo tudi krak , ki se bo iz Bolgarije razcepil v Grčijo in nato pod Jadranskim morjem v južno Italijo . Plinovod naj bi Evropi zagotovil zanesljivejšo in varnejšo oskrbo z zemeljskim plinom , saj bo zaobšel Ukrajino , s katero se je Rusija v zadnjih letih večkrat znašla v t.i . plinskih sporih
1-1	0-6	Moskva	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	7-8	-	_	_	_	_	
1-3	9-15	Rusija	ORG	_	*->2-1	*[2]	
1-4	16-25	pričakuje	_	_	_	_	
1-5	26-27	,	_	_	_	_	
1-6	28-30	da	_	_	_	_	
1-7	31-33	bo	_	_	_	_	
1-8	34-38	pred	_	_	_	_	
1-9	39-45	koncem	_	_	_	_	
1-10	46-52	aprila	_	_	_	_	
1-11	53-62	podpisala	_	_	*->2-2	*[2]	
1-12	63-65	še	_	_	_	_	
1-13	66-72	zadnji	_	_	_	_	
1-14	73-81	potrebni	_	_	_	_	
1-15	82-90	sporazum	_	_	_	_	
1-16	91-93	za	_	_	_	_	
1-17	94-105	uresničitev	_	_	_	_	
1-18	106-114	projekta	_	_	_	_	
1-19	115-120	Južni	_	_	_	_	
1-20	121-124	tok	_	_	_	_	
1-21	125-126	.	_	_	_	_	
1-22	127-130	Gre	_	_	_	_	
1-23	131-133	za	_	_	_	_	
1-24	134-142	sporazum	_	_	_	_	
1-25	143-144	o	_	_	_	_	
1-26	145-156	sodelovanju	_	_	_	_	
1-27	157-158	z	_	_	_	_	
1-28	159-167	Avstrijo	ORG	_	*->3-1	*[3]	
1-29	168-169	,	_	_	_	_	
1-30	170-172	je	_	_	_	_	
1-31	173-182	napovedal	_	_	_	_	
1-32	183-188	ruski	_	3 - Nevtralno[3]	*->4-1	*[4]	
1-33	189-199	energetski	_	3 - Nevtralno[3]	*->4-1	*[4]	
1-34	200-208	minister	_	3 - Nevtralno[3]	*->4-1	*[4]	
1-35	209-215	Sergej	PER[1]	3 - Nevtralno[3]	*->4-1	*[4]	
1-36	216-222	Šmatko	PER[1]	3 - Nevtralno[3]	*->4-1	*[4]	
1-37	223-224	.	_	_	_	_	
