#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=RTV Slovenija je nocoj v okviru dobrodelne akcije Stopimo skupaj , pomagajmo žrtvam poplav zbrala 582.000 evrov . Zbrana sredstva bo nacionalna televizija namenila za pomoč žrtvam novembrskih poplav . Osrednji dogodek akcije je bila nocojšnja posebna oddaja , ki bo potekala v živo iz studia Televizije Slovenija , začela pa se je ob 20 . uri in sedem minut . Oddaja je bila sestavljena iz prispevkov novinarjev in dopisnikov RTVS z najbolj prizadetih območij in pogovora z različnimi gosti , ki so vključeni v saniranje škode in reševanje ljudi ter premoženja ob poplavah . V oddaji je sodeloval tudi Simfonični orkester RTVS s Tinkaro Kovač , Nušo Derenda , Darjo Švajger , Eroiko , Janom Plestenjakom , ansamblom Franca Miheliča , otroškim pevskim zborom RTV SLO in drugimi imeni slovenske glasbe , so sporočili iz RTVS . Voditelji osrednje oddaje so bili Slavko Bobovnik , Jasmina Jamnik in Jelena Aščić . Za žrtve poplav Novembrske poplave so najbolj prizadele Štajersko , Koroško , Posavje in Posočje . Voda je zalila številne stavbe – poškodovanih naj bi bilo nekaj tisoč stanovanjskih in poslovnih objektov – in ceste ter sprožila vrsto plazov . Za pomoč prizadetim so se po poplavah med drugim odločili Slovenska karitas , Rdeči križ Slovenije in poslanske skupine
1-1	0-3	RTV	ORG[1]	_	*->8-1	*[8]	
1-2	4-13	Slovenija	ORG[1]|LOC[2]	_	*->8-1|*->20-1	*[8]|*[20]	
1-3	14-16	je	_	_	_	_	
1-4	17-22	nocoj	_	_	_	_	
1-5	23-24	v	_	_	_	_	
1-6	25-31	okviru	_	_	_	_	
1-7	32-42	dobrodelne	_	_	_	_	
1-8	43-49	akcije	_	_	_	_	
1-9	50-57	Stopimo	_	_	_	_	
1-10	58-64	skupaj	_	_	_	_	
1-11	65-66	,	_	_	_	_	
1-12	67-76	pomagajmo	_	_	_	_	
1-13	77-83	žrtvam	_	_	_	_	
1-14	84-90	poplav	_	_	_	_	
1-15	91-97	zbrala	_	_	_	_	
1-16	98-105	582.000	_	_	_	_	
1-17	106-111	evrov	_	_	_	_	
1-18	112-113	.	_	_	_	_	
1-19	114-120	Zbrana	_	_	_	_	
1-20	121-129	sredstva	_	_	_	_	
1-21	130-132	bo	_	_	_	_	
1-22	133-143	nacionalna	_	_	*->8-2	*[8]	
1-23	144-154	televizija	_	_	*->8-2	*[8]	
1-24	155-163	namenila	_	_	_	_	
1-25	164-166	za	_	_	_	_	
1-26	167-172	pomoč	_	_	_	_	
1-27	173-179	žrtvam	_	_	_	_	
1-28	180-191	novembrskih	_	_	_	_	
1-29	192-198	poplav	_	_	_	_	
1-30	199-200	.	_	_	_	_	
1-31	201-209	Osrednji	_	_	_	_	
1-32	210-217	dogodek	_	_	_	_	
1-33	218-224	akcije	_	_	_	_	
1-34	225-227	je	_	_	_	_	
1-35	228-232	bila	_	_	_	_	
1-36	233-242	nocojšnja	_	_	_	_	
1-37	243-250	posebna	_	_	_	_	
1-38	251-257	oddaja	_	_	_	_	
1-39	258-259	,	_	_	_	_	
1-40	260-262	ki	_	_	_	_	
1-41	263-265	bo	_	_	_	_	
1-42	266-274	potekala	_	_	_	_	
1-43	275-276	v	_	_	_	_	
1-44	277-281	živo	_	_	_	_	
1-45	282-284	iz	_	_	_	_	
1-46	285-291	studia	_	_	_	_	
1-47	292-302	Televizije	ORG[3]	_	*->8-3	*[8]	
1-48	303-312	Slovenija	ORG[3]|LOC[4]	_	*->8-3|*->20-2	*[8]|*[20]	
1-49	313-314	,	_	_	_	_	
1-50	315-321	začela	_	_	_	_	
1-51	322-324	pa	_	_	_	_	
1-52	325-327	se	_	_	_	_	
1-53	328-330	je	_	_	_	_	
1-54	331-333	ob	_	_	_	_	
1-55	334-336	20	_	_	_	_	
1-56	337-338	.	_	_	_	_	
1-57	339-342	uri	_	_	_	_	
1-58	343-345	in	_	_	_	_	
1-59	346-351	sedem	_	_	_	_	
1-60	352-357	minut	_	_	_	_	
1-61	358-359	.	_	_	_	_	
1-62	360-366	Oddaja	_	_	_	_	
1-63	367-369	je	_	_	_	_	
1-64	370-374	bila	_	_	_	_	
1-65	375-386	sestavljena	_	_	_	_	
1-66	387-389	iz	_	_	_	_	
1-67	390-400	prispevkov	_	_	_	_	
1-68	401-411	novinarjev	_	_	_	_	
1-69	412-414	in	_	_	_	_	
1-70	415-425	dopisnikov	_	_	_	_	
1-71	426-430	RTVS	ORG	_	*->8-4	*[8]	
1-72	431-432	z	_	_	_	_	
1-73	433-440	najbolj	_	_	_	_	
1-74	441-451	prizadetih	_	_	_	_	
1-75	452-459	območij	_	_	_	_	
1-76	460-462	in	_	_	_	_	
1-77	463-471	pogovora	_	_	_	_	
1-78	472-473	z	_	_	_	_	
1-79	474-484	različnimi	_	_	_	_	
1-80	485-490	gosti	_	_	_	_	
1-81	491-492	,	_	_	_	_	
1-82	493-495	ki	_	_	_	_	
1-83	496-498	so	_	_	_	_	
1-84	499-508	vključeni	_	_	_	_	
1-85	509-510	v	_	_	_	_	
1-86	511-520	saniranje	_	_	_	_	
1-87	521-526	škode	_	_	_	_	
1-88	527-529	in	_	_	_	_	
1-89	530-539	reševanje	_	_	_	_	
1-90	540-545	ljudi	_	_	_	_	
1-91	546-549	ter	_	_	_	_	
1-92	550-560	premoženja	_	_	_	_	
1-93	561-563	ob	_	_	_	_	
1-94	564-572	poplavah	_	_	_	_	
1-95	573-574	.	_	_	_	_	
1-96	575-576	V	_	_	_	_	
1-97	577-583	oddaji	_	_	_	_	
1-98	584-586	je	_	_	_	_	
1-99	587-596	sodeloval	_	_	_	_	
1-100	597-601	tudi	_	_	_	_	
1-101	602-612	Simfonični	ORG[5]	3 - Nevtralno[22]	*->17-1	*[17]	
1-102	613-621	orkester	ORG[5]	3 - Nevtralno[22]	*->17-1	*[17]	
1-103	622-626	RTVS	ORG[5]|ORG[6]	3 - Nevtralno[22]	*->17-1|*->8-5	*[17]|*[8]	
1-104	627-628	s	_	_	_	_	
1-105	629-636	Tinkaro	PER[7]	3 - Nevtralno[23]	*->1-1	*[1]	
1-106	637-642	Kovač	PER[7]	3 - Nevtralno[23]	*->1-1	*[1]	
1-107	643-644	,	_	_	_	_	
1-108	645-649	Nušo	PER[8]	3 - Nevtralno[24]	*->2-1	*[2]	
