#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Gorenjska banka je v sredo prodala štiri odstotke delnic Petrola in isti dan od Zvon Ena Holdinga odkupila desetino Abanke Vipa , je razvidno iz delniške knjige . To posledično pomeni , da imajo glavno besedo v tretji največji slovenski banki , ki jo vodi Aleš Žajdela , tudi uradno Gorenjci . Poleg dejstva , da Sava in Gorenjska banka skupaj obvladujeta že tretjino delnic Abanke , je v začetku tedna predsednik nadzornega sveta te banke postal prvi mož Save Janez Bohorič . Gorenjski banki je delnice Abanke prodal Zvon Ena Holding , ki se je skoraj popolnoma umaknil iz njenega lastništva - še dodatnih pet odstotkov Abanke je namreč prodal Kranjski družbi BPT . Predsednik uprave Zvon Ena Holdinga Simon Zdolšek je za Dnevnik pojasnil , da so se za prodajo odločili zaradi več razlogov , eden od teh je bilo tudi vračilo dela posojila Dravskim elektrarnam Maribor ( DEM ) . Po neuradnih informacijah je imel Zvon delnice Abanke zastavljene pri Novi Ljubljanski banki ( NLB ) , zaradi česar je moral del kupnine uporabiti tudi za delno poplačilo posojil , ki jih je imel najeta pri naši največji banki . Zaradi okoli 30 - milijonskega nakupa deleža v Abanki je morala Gorenjska banka prodati tudi štiriodstotni delež Petrola , ki bi bil po včerajšnjih borznih cenah vreden le dobre štiri milijone evrov manj . Pri prodaji delnic Abanke Gorenjski banki si je Zvon po besedah Zdolška uspel zagotoviti tudi možnost ponovnega odkupa tega deleža , kar pomeni , da prodaja po vsej verjetnosti ni bila dokončna . To pa je tudi eden od razlogov , zakaj Gorenjski banki ni treba objaviti prevzemne ponudbe za Abanko Vipa , čeprav zdaj skupaj s Savo obvladuje dobro tretjino njenega lastništva . " Interes za združitev bank na obeh straneh obstaja , o objavi kakršne koli prevzemne ponudbe pa je povsem prezgodaj govoriti , " pravijo v Gorenjski banki in dodajajo , da " za zdaj ni bil sprožen še noben formalni korak v to smer , pridobljeno pa ni bilo niti načelno soglasje lastnikov " . V Savi pojasnjujejo , da po določilih zakona o prevzemih niso zavezani k objavi prevzemne ponudbe . Ker Sava nima v lasti več kot 50 odstotkov Gorenjske banke , uradno nista obravnavani kot povezani osebi , v Savi pa naj bi si glede tega pridobili tudi pravno mnenje . V Savi menijo , da nakup delnic Abanke ne bo vplival na povezovanje obeh bank , " saj jim ni znano , da bi ideji o povezovanju kdo nasprotoval " . Podobno odgovarjajo tudi v Gorenjski banki , kjer menijo , da bi njihov nakup lahko imel izključno pozitiven vpliv na načrtovano povezovanje . Kdaj bo do povezovanja prišlo , še ni znano , odločujoči glas pa bo imela Zavarovalnica Triglav ( 25,6 - odstotna lastnica Abanke ) , kjer doslej večjega interesa za združitev obeh bank ni bilo . matjaz.polanic @
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-21	Gorenjska	ORG[1]|LOC[2]	_	*->2-1|*->3-1	*[2]|*[3]	
1-4	22-27	banka	ORG[1]	_	*->2-1	*[2]	
1-5	28-30	je	_	_	_	_	
1-6	31-32	v	_	_	_	_	
1-7	33-38	sredo	_	_	_	_	
1-8	39-46	prodala	_	_	_	_	
1-9	47-52	štiri	_	_	_	_	
1-10	53-61	odstotke	_	_	_	_	
1-11	62-68	delnic	_	_	_	_	
1-12	69-76	Petrola	ORG	_	*->4-1	*[4]	
1-13	77-79	in	_	_	_	_	
1-14	80-84	isti	_	_	_	_	
1-15	85-88	dan	_	_	_	_	
1-16	89-91	od	_	_	_	_	
1-17	92-96	Zvon	ORG[3]	_	*->5-1	*[5]	
1-18	97-100	Ena	ORG[3]	_	*->5-1	*[5]	
1-19	101-109	Holdinga	ORG[3]	_	*->5-1	*[5]	
1-20	110-118	odkupila	_	_	*->2-2	*[2]	
1-21	119-127	desetino	_	_	_	_	
1-22	128-134	Abanke	ORG[4]	_	*->6-1	*[6]	
1-23	135-139	Vipa	ORG[4]	_	*->6-1	*[6]	
1-24	140-141	,	_	_	_	_	
1-25	142-144	je	_	_	_	_	
1-26	145-153	razvidno	_	_	_	_	
1-27	154-156	iz	_	_	_	_	
1-28	157-165	delniške	_	_	_	_	
1-29	166-172	knjige	_	_	_	_	
1-30	173-174	.	_	_	_	_	
1-31	175-177	To	_	_	_	_	
1-32	178-188	posledično	_	_	_	_	
1-33	189-195	pomeni	_	_	_	_	
1-34	196-197	,	_	_	_	_	
1-35	198-200	da	_	_	_	_	
1-36	201-206	imajo	_	_	_	_	
1-37	207-213	glavno	_	_	_	_	
1-38	214-220	besedo	_	_	_	_	
1-39	221-222	v	_	_	_	_	
1-40	223-229	tretji	_	_	*->6-2	*[6]	
1-41	230-238	največji	_	_	*->6-2	*[6]	
1-42	239-248	slovenski	_	_	*->6-2	*[6]	
1-43	249-254	banki	_	_	*->6-2	*[6]	
1-44	255-256	,	_	_	_	_	
1-45	257-259	ki	_	_	_	_	
1-46	260-262	jo	_	_	_	_	
1-47	263-267	vodi	_	_	_	_	
1-48	268-272	Aleš	PER[5]	3 - Nevtralno[32]	*->7-1	*[7]	
1-49	273-280	Žajdela	PER[5]	3 - Nevtralno[32]	*->7-1	*[7]	
1-50	281-282	,	_	_	_	_	
1-51	283-287	tudi	_	_	_	_	
1-52	288-294	uradno	_	_	_	_	
1-53	295-303	Gorenjci	PER	_	*->2-3	*[2]	
1-54	304-305	.	_	_	_	_	
1-55	306-311	Poleg	_	_	_	_	
1-56	312-319	dejstva	_	_	_	_	
1-57	320-321	,	_	_	_	_	
1-58	322-324	da	_	_	_	_	
1-59	325-329	Sava	ORG	_	*->8-1	*[8]	
1-60	330-332	in	_	_	_	_	
1-61	333-342	Gorenjska	ORG[6]|LOC[7]	_	*->2-4|*->3-2	*[2]|*[3]	
1-62	343-348	banka	ORG[6]	_	*->2-4	*[2]	
1-63	349-355	skupaj	_	_	_	_	
1-64	356-367	obvladujeta	_	_	_	_	
1-65	368-370	že	_	_	_	_	
1-66	371-379	tretjino	_	_	_	_	
1-67	380-386	delnic	_	_	_	_	
1-68	387-393	Abanke	ORG	_	*->6-3	*[6]	
1-69	394-395	,	_	_	_	_	
1-70	396-398	je	_	_	_	_	
1-71	399-400	v	_	_	_	_	
1-72	401-408	začetku	_	_	_	_	
1-73	409-414	tedna	_	_	_	_	
1-74	415-425	predsednik	_	_	_	_	
1-75	426-436	nadzornega	_	_	_	_	
1-76	437-442	sveta	_	_	_	_	
1-77	443-445	te	_	_	_	_	
1-78	446-451	banke	_	_	_	_	
1-79	452-458	postal	_	_	_	_	
1-80	459-463	prvi	_	3 - Nevtralno[33]	*->9-1	*[9]	
1-81	464-467	mož	_	3 - Nevtralno[33]	*->9-1	*[9]	
1-82	468-472	Save	ORG	3 - Nevtralno[33]	*->9-1|*->8-2	*[9]|*[8]	
1-83	473-478	Janez	PER[8]	3 - Nevtralno[33]	*->9-1	*[9]	
1-84	479-486	Bohorič	PER[8]	3 - Nevtralno[33]	*->9-1	*[9]	
1-85	487-488	.	_	_	_	_	
1-86	489-498	Gorenjski	ORG[9]|LOC[10]	_	*->2-5|*->3-3	*[2]|*[3]	
1-87	499-504	banki	ORG[9]	_	*->2-5	*[2]	
1-88	505-507	je	_	_	_	_	
1-89	508-515	delnice	_	_	_	_	
1-90	516-522	Abanke	ORG	_	*->6-4	*[6]	
1-91	523-529	prodal	_	_	_	_	
1-92	530-534	Zvon	ORG[11]	_	*->5-2	*[5]	
1-93	535-538	Ena	ORG[11]	_	*->5-2	*[5]	
1-94	539-546	Holding	ORG[11]	_	*->5-2	*[5]	
1-95	547-548	,	_	_	_	_	
1-96	549-551	ki	_	_	_	_	
1-97	552-554	se	_	_	_	_	
1-98	555-557	je	_	_	_	_	
1-99	558-564	skoraj	_	_	_	_	
1-100	565-574	popolnoma	_	_	_	_	
1-101	575-582	umaknil	_	_	*->5-3	*[5]	
1-102	583-585	iz	_	_	_	_	
