#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Irska upa na enake ugodnosti Grčija bo za poplačilo terjatev in nižanje primanjkljaja očitno potrebovala dodatno pomoč , zato že potekajo razprave o prestrukturiranju njenega dolga . To pa je povzročilo znižanje bonitetne ocene . Še vedno odmeva skrivni sestanek finančnih ministrov nekaterih držav evroobmočja z vodilnimi finančniki Unije . Vse bolj se širijo namigi , da naj bi razpravljali tudi o možnosti izstopa Grčije iz evropskega monetarnega sistema , kar pa so sodelujoči na sestanku že zavrnili . Uradno prestrukturiranju dolga niso naklonjeni Tudi nemški borznik Oliver Roth pravi , da ni nobene koristi v morebitnem grškem izhodu iz območja evra , če ne bi obenem odpisali dele grškega dolga , prav prestrukturiranje dolga pa mora biti prvi korak v tej zgodbi , je za Radio Slovenija poročal dopisnik Matjaž Trošt . Dolg Grčije znaša kar 150 odstotkov njenega bruto domačega proizvoda in za poplačilo teh terjatev bo država zagotovo potrebovala pomoč . Uradno odpis dela dolga sicer ni mogoč , pa tudi politiki , najbolj v Nemčiji , zavračajo možnost , da bi bistveno spremenili pogoje , po katerih Grčija odplačuje svoje dolgove . Preberite tudi Nov zaplet v grški drami vpliva na evropske borze Nižja bonitetna ocena , ki se lahko še niža A res je tudi , da je Grčija prestrukturiranje posojila marca že dosegla , zato so upravičena pričakovanja , da bo tudi tokrat tako . In prav temu so se uprli v eni vodilnih svetovnih bonitetnih agencij Standard & Poors ter znižali oceno na dolgoročni in kratkoročni dolg Grčije - za dolgoročni dolg z BB - na B , za kratkoročni pa z B na C . Tudi napovedi ostajajo negativne , kar pomeni , da bi lahko Standard & Poors oceno Grčiji kmalu znova znižal . V agenciji so tudi povedali , da so se za zdajšnje znižanje ocene odločili zaradi omenjene vse večje verjetnosti , da bo morala Grčija prestrukturirati dolg do držav v območju evra in tudi dolg do zasebnih vlagateljev . V Grčiji ogorčeni V Atenah so zaradi znižanja ocene že izrazili ogorčenje . Današnje znižanje bonitetne ocene Grčije agencije Standard & Poors prihaja v času , ko ni bilo nobenih novih negativnih okoliščin ali odločitev , odkar je agencija pred dobrim mesecem dni zadnjič spremenila oceno , zato odločitev ni upravičena , pravijo na grškem finančnem ministrstvu . Ob tem so dodali , da bi morale odločitve bonitetne hiše temeljiti na objektivnih podatkih in realističnih ocenah stanja , ne na govoricah , ki krožijo na trgih , in medijskih poročilih . Podobne težave še na Irskem Ob Grčiji je mednarodno finančno pomoč prejela tudi Irska , ki je zdaj v podobnem težavnem položaju . Njen dolg znaša približno 120 odstotkov BDP - ja , zato si tudi ona želi nižjih obrestnih mer , sploh ker so Grčiji evropski partnerji že popuščali . Evropska komisija je po poročanju dopisnika Trošta že dejala , da je temu naklonjena , a verjetno bodo to pogojevali z dvigom nizkih davkov za podjetja na Irskem
1-1	0-5	Irska	LOC	_	*->1-1	*[1]	
1-2	6-9	upa	_	_	_	_	
1-3	10-12	na	_	_	_	_	
1-4	13-18	enake	_	_	_	_	
1-5	19-28	ugodnosti	_	_	_	_	
1-6	29-35	Grčija	ORG	_	*->7-1	*[7]	
1-7	36-38	bo	_	_	_	_	
1-8	39-41	za	_	_	_	_	
1-9	42-51	poplačilo	_	_	_	_	
1-10	52-60	terjatev	_	_	_	_	
1-11	61-63	in	_	_	_	_	
1-12	64-71	nižanje	_	_	_	_	
1-13	72-85	primanjkljaja	_	_	_	_	
1-14	86-92	očitno	_	_	_	_	
1-15	93-104	potrebovala	_	_	_	_	
1-16	105-112	dodatno	_	_	_	_	
1-17	113-118	pomoč	_	_	_	_	
1-18	119-120	,	_	_	_	_	
1-19	121-125	zato	_	_	_	_	
1-20	126-128	že	_	_	_	_	
1-21	129-137	potekajo	_	_	_	_	
1-22	138-146	razprave	_	_	_	_	
1-23	147-148	o	_	_	_	_	
1-24	149-166	prestrukturiranju	_	_	_	_	
1-25	167-174	njenega	_	_	*->7-2	*[7]	
1-26	175-180	dolga	_	_	_	_	
1-27	181-182	.	_	_	_	_	
1-28	183-185	To	_	_	_	_	
1-29	186-188	pa	_	_	_	_	
1-30	189-191	je	_	_	_	_	
1-31	192-202	povzročilo	_	_	_	_	
1-32	203-211	znižanje	_	_	_	_	
1-33	212-221	bonitetne	_	_	_	_	
1-34	222-227	ocene	_	_	_	_	
1-35	228-229	.	_	_	_	_	
1-36	230-232	Še	_	_	_	_	
1-37	233-238	vedno	_	_	_	_	
1-38	239-245	odmeva	_	_	_	_	
1-39	246-253	skrivni	_	_	_	_	
1-40	254-262	sestanek	_	_	_	_	
1-41	263-272	finančnih	_	_	_	_	
1-42	273-282	ministrov	_	_	_	_	
1-43	283-292	nekaterih	_	_	_	_	
1-44	293-298	držav	_	_	_	_	
1-45	299-310	evroobmočja	_	_	_	_	
1-46	311-312	z	_	_	_	_	
1-47	313-322	vodilnimi	_	_	_	_	
1-48	323-333	finančniki	_	_	_	_	
1-49	334-339	Unije	ORG	3 - Nevtralno	*->2-1	*[2]	
1-50	340-341	.	_	_	_	_	
1-51	342-345	Vse	_	_	_	_	
1-52	346-350	bolj	_	_	_	_	
1-53	351-353	se	_	_	_	_	
1-54	354-360	širijo	_	_	_	_	
1-55	361-367	namigi	_	_	_	_	
1-56	368-369	,	_	_	_	_	
1-57	370-372	da	_	_	_	_	
1-58	373-376	naj	_	_	_	_	
1-59	377-379	bi	_	_	_	_	
1-60	380-392	razpravljali	_	_	_	_	
1-61	393-397	tudi	_	_	_	_	
1-62	398-399	o	_	_	_	_	
1-63	400-408	možnosti	_	_	_	_	
1-64	409-416	izstopa	_	_	_	_	
1-65	417-423	Grčije	ORG	_	*->7-3	*[7]	
1-66	424-426	iz	_	_	_	_	
1-67	427-437	evropskega	_	_	_	_	
1-68	438-449	monetarnega	_	_	_	_	
1-69	450-457	sistema	_	_	_	_	
1-70	458-459	,	_	_	_	_	
1-71	460-463	kar	_	_	_	_	
