#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ajdovščina - Delničarjem Primorja Holding , zbranih okrog nekdanjega predsednika uprave Dušana Črnigoja , je včeraj uspel preobrat . Na skupščini so prepričali veliko večino lastnikov , da ostajajo v lastništvu in svojo vlogo še okrepijo s pomočjo strateškega partnerja , ki naj bi v družbo v roku treh mesecev prinesel svežih 30 milijonov evrov . Strateškega partnerja naj bi javnosti predstavili v roku enega meseca , z bankami upnicami pa se bo nova uprava Primorja Holding poskušala dogovoriti , da ne izberejo scenarija stečaja . S tem so izbrali pot mimo države , iz katere so vseskozi prihajali signali , da bi ajdovskemu gradbincu pomagali le , če se reši zasebnih lastnikov . Banke so medtem - kot nam je potrdil tudi župan Ajdovščine Marjan Poljšak - dale vedeti , da ob morebitnem ponovnem Črnigojevem prevzemu Primorja dvigajo roke in družbi odpirajo prosto pot k stečaju . Včeraj so nam tudi v eni od bank upnic povedali , da se brez trdnih zavez z lastniki ne bodo pogovarjali . Nekdanji finančni direktor Primorja in solastnik Alojz Bolčina medtem odločno zagotavlja , da to ni še en manever v zavlačevanju agonije . Poznavalci razmer nasprotno dodajajo , da gre za zgodbo , ki smo jo že videli v primeru SCT in drugih propadlih gradbincev . Včerajšnja skupščina Primorja Holding je tudi sicer minila v znamenju nasprotnih predlogov , kot jih je predlagala uprava na čelu z Jožetom Brecljem . V nadzornem svetu bodo sedeli Miran Lavrenčič , Jožef Lozej , Jože Vrabec , Andrej Bandelj in Gorazd Humar . Njihova prva naloga bo zelo verjetno razrešitev Breclja . Slednji je bil hkratni član uprave Primorja , lastnik Primorja Holding in zastopnik Primorja Holding . Večina lastnikov holdinga mu ne zaupa več , proti njemu in upravi Primorja so že napovedali odškodninske tožbe . Ker v Primorju včeraj pred skupščino delničarjev Primorja Holding niso želeli komentirati dogajanj , pa ni jasno , ali mu še vedno zaupajo tudi v Primorju . Z novim vodstvom Primorja Holding bi bila lahko ogrožena tudi uprava Primorja , a lastniki za zdaj zagotavljajo , da Marjana Novak ostaja na čelu družbe . Naslednji prelomni trenutek za Primorje prihaja že naslednji teden . Do srede mora uprava zagotoviti denar za izplačilo plač . " Jasnih pisnih zagotovil o plači od uprave še nimamo , v povezavi s tem smo v stalnih kontaktih z upravo , ki se trudi zagotoviti sredstva , " pravi predsednik koordinacije sindikatov v Primorju Damjan Volf . Ker je plačilo za opravljeno delo v tem trenutku za zaposlene še edina prava motivacija za delo , v sindikatih že napovedujejo , da če plač do srede ne bo , bodo ukrepali takoj . Razočarani so nad državo oziroma posameznimi vladnimi predstavniki , ki ne sprevidijo , da gre za usodo 1500 zaposlenih , 15 povezanih družb in izgubo edinega gradbinca z referencami za večje naložbe . Glede na to , da je Vipavska dolina velika volilna baza sedanje vladajoče stranke SDS , ugotavljajo , da slednja na cedilu pušča svoje lastne volilce . Delavce in njihove družine . natasa.ozebek @ dnevnik.si , vesna.vukovic @
1-1	0-10	Ajdovščina	LOC	_	*->1-1	*[1]	
1-2	11-12	-	_	_	_	_	
1-3	13-24	Delničarjem	_	_	_	_	
1-4	25-33	Primorja	ORG[1]	_	*->2-1	*[2]	
1-5	34-41	Holding	ORG[1]	_	*->2-1	*[2]	
1-6	42-43	,	_	_	_	_	
1-7	44-51	zbranih	_	_	_	_	
1-8	52-57	okrog	_	_	_	_	
1-9	58-68	nekdanjega	_	_	*->15-1	*[15]	
1-10	69-80	predsednika	_	_	*->15-1	*[15]	
1-11	81-87	uprave	_	_	*->15-1	*[15]	
1-12	88-94	Dušana	PER[2]	_	*->15-1	*[15]	
1-13	95-103	Črnigoja	PER[2]	_	*->15-1	*[15]	
1-14	104-105	,	_	_	_	_	
1-15	106-108	je	_	_	_	_	
1-16	109-115	včeraj	_	_	_	_	
1-17	116-121	uspel	_	_	_	_	
1-18	122-130	preobrat	_	_	_	_	
1-19	131-132	.	_	_	_	_	
1-20	133-135	Na	_	_	_	_	
1-21	136-145	skupščini	_	_	_	_	
1-22	146-148	so	_	_	_	_	
1-23	149-159	prepričali	_	_	_	_	
1-24	160-166	veliko	_	_	_	_	
1-25	167-173	večino	_	_	_	_	
1-26	174-183	lastnikov	_	_	_	_	
1-27	184-185	,	_	_	_	_	
1-28	186-188	da	_	_	_	_	
1-29	189-197	ostajajo	_	_	_	_	
1-30	198-199	v	_	_	_	_	
1-31	200-210	lastništvu	_	_	_	_	
1-32	211-213	in	_	_	_	_	
1-33	214-219	svojo	_	_	_	_	
1-34	220-225	vlogo	_	_	_	_	
1-35	226-228	še	_	_	_	_	
1-36	229-237	okrepijo	_	_	_	_	
1-37	238-239	s	_	_	_	_	
1-38	240-247	pomočjo	_	_	_	_	
1-39	248-259	strateškega	_	_	_	_	
1-40	260-269	partnerja	_	_	_	_	
1-41	270-271	,	_	_	_	_	
1-42	272-274	ki	_	_	_	_	
1-43	275-278	naj	_	_	_	_	
1-44	279-281	bi	_	_	_	_	
1-45	282-283	v	_	_	_	_	
1-46	284-290	družbo	_	_	*->2-2	*[2]	
1-47	291-292	v	_	_	_	_	
1-48	293-297	roku	_	_	_	_	
1-49	298-302	treh	_	_	_	_	
1-50	303-310	mesecev	_	_	_	_	
1-51	311-319	prinesel	_	_	_	_	
1-52	320-326	svežih	_	_	_	_	
1-53	327-329	30	_	_	_	_	
1-54	330-339	milijonov	_	_	_	_	
1-55	340-345	evrov	_	_	_	_	
1-56	346-347	.	_	_	_	_	
1-57	348-359	Strateškega	_	_	_	_	
1-58	360-369	partnerja	_	_	_	_	
1-59	370-373	naj	_	_	_	_	
1-60	374-376	bi	_	_	_	_	
1-61	377-385	javnosti	_	_	_	_	
1-62	386-397	predstavili	_	_	_	_	
1-63	398-399	v	_	_	_	_	
1-64	400-404	roku	_	_	_	_	
1-65	405-410	enega	_	_	_	_	
1-66	411-417	meseca	_	_	_	_	
1-67	418-419	,	_	_	_	_	
1-68	420-421	z	_	_	_	_	
1-69	422-429	bankami	_	_	_	_	
1-70	430-438	upnicami	_	_	_	_	
1-71	439-441	pa	_	_	_	_	
1-72	442-444	se	_	_	_	_	
1-73	445-447	bo	_	_	_	_	
1-74	448-452	nova	_	_	_	_	
