#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Ključni , 10,77 - odstotni lastniški delež Term Čatež ima novega lastnika . Družba Center naložbe , ki je blizu Pivovarne Laško , je namreč omenjeni paket delnic , ki je na zadnjih dveh skupščinah Term Čatež tehtnico v lastniškem spopadu z DZS nagnil na stran državnih lastnikov , prodala podjetju Rent A . Iz javno dostopnih listin ni razvidno , kdo je lastnik podjetja , ki je imelo lani za dva milijona evrov negativnega kapitala , za delnice , ki so bile še pred meseci v lasti avstrijske Erste Bank , pa bi moralo po včerajšnjem enotnem tečaju odšteti kar 20,2 milijona evrov . Opozoriti pa velja , da sta dva od treh članov nadzornega sveta Rent A ( Andrej Vodušek in Boštjan Protner ) tudi člana uprave radijske mreže Infonet , ki je v lasti Lea Oblaka . Slednji poslovno že več let sodeluje tako z DZS kot z državo . Z družbo , ki jo vodi Bojan Petan , je tako pred časom načrtoval širitev radijske mreže v države nekdanje Jugoslavije , pred meseci pa je državnim Triglav Naložbam prepustil štirideset odstotkov lastništva Info TV . " Vse , kar ta trenutek vem , je , da zahtevamo izredno skupščino Term , na kateri bomo odločali o umiku lastnih delnic . DZS ni kupec deleža od Centra Naložb , kar se iz delniške knjige jasno vidi , " je včeraj dejal Bojan Petan . Na vprašanje , kdo stoji za družbo Rent A , pa je odgovoril , da tega ne ve . Minister za gospodarstvo Andrej Vizjak najnovejših lastniških sprememb v Termah Čatež ni želel komentirati . Prav tako nam ni uspelo priklicati novega predsednika uprave Rent A Vojislava Ignjića . Mimogrede , njegovo podjetje Invest Consulting $ amp , Co . deluje na istem naslovu kot podjetje Nisa , katero je v lasti Marka Ignjića , ki je pred dnevi od DZS kupilo 2,51 odstotka Term Čatež . DZS ima tako uradno v lasti " le še " 21,25 odstotka družbe , že pred dobrim mesecem dni pa je Kadu poslala ponudbo v višini 41,4 milijona evrov oziroma 350 evrov za delnico za nakup 19,78 odstotka Term Čatež . " Ponudba se je že iztekla , za zdaj pa še nismo bili obveščeni o njenem morebitnem podaljšanju , " so nam pojasnili na Kadu , ki ga vodi Tomaž Toplak . Ključi do zmage v lastniški vojni za Terme Čatež so tako po novem v rokah podjetja Rent A , ki obvladuje skoraj 12 odstotkov družbe . Spomniti velja , da je podjetje na poletni skupščini čateške družbe , ki jo vodi Mladen Kučiš , zastopal Bogdan Pušnik , nekdanji član nadzornega sveta DZS . primoz.cirman @
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-19	Ključni	_	_	_	_	
1-4	20-21	,	_	_	_	_	
1-5	22-27	10,77	_	_	_	_	
1-6	28-29	-	_	_	_	_	
1-7	30-38	odstotni	_	_	_	_	
1-8	39-48	lastniški	_	_	_	_	
1-9	49-54	delež	_	_	_	_	
1-10	55-59	Term	ORG[1]	_	*->22-1	*[22]	
1-11	60-65	Čatež	ORG[1]|LOC[2]	_	*->22-1|*->14-1	*[22]|*[14]	
1-12	66-69	ima	_	_	_	_	
1-13	70-76	novega	_	_	*->21-1	*[21]	
1-14	77-85	lastnika	_	_	*->21-1	*[21]	
1-15	86-87	.	_	_	_	_	
1-16	88-94	Družba	_	_	*->11-1	*[11]	
1-17	95-101	Center	ORG[3]	_	*->11-1	*[11]	
1-18	102-109	naložbe	ORG[3]	_	*->11-1	*[11]	
1-19	110-111	,	_	_	_	_	
1-20	112-114	ki	_	_	_	_	
1-21	115-117	je	_	_	_	_	
1-22	118-123	blizu	_	_	_	_	
1-23	124-133	Pivovarne	ORG[4]	3 - Nevtralno[37]	*->2-1	*[2]	
1-24	134-139	Laško	ORG[4]|LOC[5]	3 - Nevtralno[37]|3 - Nevtralno[38]	*->2-1|*->3-1	*[2]|*[3]	
1-25	140-141	,	_	_	_	_	
1-26	142-144	je	_	_	_	_	
1-27	145-151	namreč	_	_	_	_	
1-28	152-160	omenjeni	_	_	_	_	
1-29	161-166	paket	_	_	_	_	
1-30	167-173	delnic	_	_	_	_	
1-31	174-175	,	_	_	_	_	
1-32	176-178	ki	_	_	_	_	
1-33	179-181	je	_	_	_	_	
1-34	182-184	na	_	_	_	_	
1-35	185-192	zadnjih	_	_	_	_	
1-36	193-197	dveh	_	_	_	_	
1-37	198-208	skupščinah	_	_	_	_	
1-38	209-213	Term	ORG[6]	_	*->22-2	*[22]	
1-39	214-219	Čatež	ORG[6]|LOC[7]	_	*->22-2|*->14-2	*[22]|*[14]	
1-40	220-228	tehtnico	_	_	_	_	
1-41	229-230	v	_	_	_	_	
1-42	231-241	lastniškem	_	_	_	_	
1-43	242-249	spopadu	_	_	_	_	
1-44	250-251	z	_	_	_	_	
1-45	252-255	DZS	ORG	_	*->25-1	*[25]	
1-46	256-262	nagnil	_	_	_	_	
1-47	263-265	na	_	_	_	_	
1-48	266-271	stran	_	_	_	_	
1-49	272-280	državnih	_	_	_	_	
1-50	281-290	lastnikov	_	_	_	_	
1-51	291-292	,	_	_	_	_	
1-52	293-300	prodala	_	_	_	_	
1-53	301-309	podjetju	_	_	*->21-2	*[21]	
1-54	310-314	Rent	ORG[8]	_	*->21-2	*[21]	
1-55	315-316	A	ORG[8]	_	*->21-2	*[21]	
1-56	317-318	.	_	_	_	_	
1-57	319-321	Iz	_	_	_	_	
1-58	322-327	javno	_	_	_	_	
1-59	328-337	dostopnih	_	_	_	_	
1-60	338-344	listin	_	_	_	_	
1-61	345-347	ni	_	_	_	_	
1-62	348-356	razvidno	_	_	_	_	
1-63	357-358	,	_	_	_	_	
1-64	359-362	kdo	_	_	_	_	
1-65	363-365	je	_	_	_	_	
1-66	366-373	lastnik	_	_	_	_	
1-67	374-382	podjetja	_	_	*->21-3	*[21]	
1-68	383-384	,	_	_	_	_	
1-69	385-387	ki	_	_	_	_	
1-70	388-390	je	_	_	_	_	
1-71	391-396	imelo	_	_	*->21-4	*[21]	
1-72	397-401	lani	_	_	_	_	
1-73	402-404	za	_	_	_	_	
1-74	405-408	dva	_	_	_	_	
1-75	409-417	milijona	_	_	_	_	
1-76	418-423	evrov	_	_	_	_	
1-77	424-435	negativnega	_	_	_	_	
1-78	436-444	kapitala	_	_	_	_	
1-79	445-446	,	_	_	_	_	
1-80	447-449	za	_	_	_	_	
1-81	450-457	delnice	_	_	_	_	
1-82	458-459	,	_	_	_	_	
1-83	460-462	ki	_	_	_	_	
1-84	463-465	so	_	_	_	_	
1-85	466-470	bile	_	_	_	_	
1-86	471-473	še	_	_	_	_	
1-87	474-478	pred	_	_	_	_	
1-88	479-485	meseci	_	_	_	_	
1-89	486-487	v	_	_	_	_	
1-90	488-493	lasti	_	_	_	_	
1-91	494-504	avstrijske	_	_	_	_	
1-92	505-510	Erste	ORG[9]	3 - Nevtralno[39]	*->4-1	*[4]	
1-93	511-515	Bank	ORG[9]	3 - Nevtralno[39]	*->4-1	*[4]	
