#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Po doslej objavljenih letnih poročilih za lani je Gorazd Trček iz Gorenjske banke najbolje plačani predsednik uprave slovenskih bank , ugotavlja časnik Finance . Plače večine najbolje plačanih članov in predsednikov uprav 14 od 20 slovenskih bank , ki so že objavile lanska poročila , so se lani v primerjavi z letom 2009 zvišale . Trček je kot prvi človek Gorenjske banke lani zaslužil 467.000 evrov in je tako glede na že objavljena letna poročila bank , ki imajo dovoljenje Banke Slovenije za opravljanje bančnih storitev , najbolje plačani predsednik uprave slovenske banke . Dobiček Gorenjske banke je lani sicer upadel za 38 odstotkov , še vedno pa je z 21,1 milijona evrov ob SKB najbolj dobičkonosna banka v Sloveniji . Drugo najvišjo plačo ima predsednik uprave Banke Koper Ezio Salvai , ki je lani skupno prejel 417.000 evrov , kar je bilo ob 22 odstotkov manjšem dobičku za 12 odstotkov manj kot leto prej . Glavni izvršni direktor najbolj dobičkonosne banke v Sloveniji SKB Andre - Marc Prudent ima tretjo najvišjo plačo v slovenskem bančnem prostoru . Njegovi skupni lanski prejemki so znašali 399.600 evrov in so v primerjavi z letom prej zrasli za 11 odstotkov . Najbolje plačana bančnica je na skupnem šestem mestu prva dama Probanke Romana Pajenk . Lani je skupno prejela 320.500 evrov . Predsednik uprave največje slovenske banke , Nove Ljubljanske banke , Božo Jašovič je bil z lanskimi 167.000 evri prejemkov na 27 . mestu najbolje plačanih članov in predsednikov uprav . NLB je minulo leto poslovala z 202 milijonoma evrov izgube , kar je daleč najslabše med vsemi slovenskimi bankami . Nekaj mest pred Jašovičem je Matjaž Kovačič , prvi človek druge največje banke , Nove Kreditne banke Maribor , ki je lani prejel nekaj več kot 171.000 evrov
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-14	Po	_	_	_	_	
1-4	15-21	doslej	_	_	_	_	
1-5	22-33	objavljenih	_	_	_	_	
1-6	34-40	letnih	_	_	_	_	
1-7	41-50	poročilih	_	_	_	_	
1-8	51-53	za	_	_	_	_	
1-9	54-58	lani	_	_	_	_	
1-10	59-61	je	_	_	_	_	
1-11	62-68	Gorazd	PER[1]	_	*->2-1	*[2]	
1-12	69-74	Trček	PER[1]	_	*->2-1	*[2]	
1-13	75-77	iz	_	_	_	_	
1-14	78-87	Gorenjske	ORG[2]	_	*->3-1	*[3]	
1-15	88-93	banke	ORG[2]	_	*->3-1	*[3]	
1-16	94-102	najbolje	_	_	*->2-2	*[2]	
1-17	103-110	plačani	_	_	*->2-2	*[2]	
1-18	111-121	predsednik	_	_	*->2-2	*[2]	
1-19	122-128	uprave	_	_	*->2-2	*[2]	
1-20	129-139	slovenskih	_	_	*->2-2	*[2]	
1-21	140-144	bank	_	_	*->2-2	*[2]	
1-22	145-146	,	_	_	_	_	
1-23	147-156	ugotavlja	_	_	_	_	
1-24	157-163	časnik	_	3 - Nevtralno[17]	*->15-1	*[15]	
1-25	164-171	Finance	ORG	3 - Nevtralno[17]	*->15-1	*[15]	
1-26	172-173	.	_	_	_	_	
1-27	174-179	Plače	_	_	_	_	
1-28	180-186	večine	_	_	_	_	
1-29	187-195	najbolje	_	_	_	_	
1-30	196-204	plačanih	_	_	_	_	
1-31	205-211	članov	_	_	_	_	
1-32	212-214	in	_	_	_	_	
1-33	215-227	predsednikov	_	_	_	_	
1-34	228-233	uprav	_	_	_	_	
1-35	234-236	14	_	_	_	_	
1-36	237-239	od	_	_	_	_	
1-37	240-242	20	_	_	_	_	
1-38	243-253	slovenskih	_	_	_	_	
1-39	254-258	bank	_	_	_	_	
1-40	259-260	,	_	_	_	_	
1-41	261-263	ki	_	_	_	_	
1-42	264-266	so	_	_	_	_	
1-43	267-269	že	_	_	_	_	
1-44	270-278	objavile	_	_	_	_	
1-45	279-285	lanska	_	_	_	_	
1-46	286-294	poročila	_	_	_	_	
1-47	295-296	,	_	_	_	_	
1-48	297-299	so	_	_	_	_	
1-49	300-302	se	_	_	_	_	
1-50	303-307	lani	_	_	_	_	
1-51	308-309	v	_	_	_	_	
1-52	310-320	primerjavi	_	_	_	_	
1-53	321-322	z	_	_	_	_	
1-54	323-328	letom	_	_	_	_	
1-55	329-333	2009	_	_	_	_	
1-56	334-341	zvišale	_	_	_	_	
1-57	342-343	.	_	_	_	_	
1-58	344-349	Trček	PER	_	*->2-3	*[2]	
1-59	350-352	je	_	_	_	_	
1-60	353-356	kot	_	_	_	_	
1-61	357-361	prvi	_	_	_	_	
1-62	362-368	človek	_	_	_	_	
1-63	369-378	Gorenjske	ORG[3]	_	*->3-2	*[3]	
1-64	379-384	banke	ORG[3]	_	*->3-2	*[3]	
1-65	385-389	lani	_	_	_	_	
1-66	390-398	zaslužil	_	_	_	_	
1-67	399-406	467.000	_	_	_	_	
1-68	407-412	evrov	_	_	_	_	
1-69	413-415	in	_	_	_	_	
1-70	416-418	je	_	_	*->2-4	*[2]	
1-71	419-423	tako	_	_	_	_	
1-72	424-429	glede	_	_	_	_	
1-73	430-432	na	_	_	_	_	
1-74	433-435	že	_	_	_	_	
1-75	436-446	objavljena	_	_	_	_	
1-76	447-452	letna	_	_	_	_	
1-77	453-461	poročila	_	_	_	_	
1-78	462-466	bank	_	_	_	_	
1-79	467-468	,	_	_	_	_	
1-80	469-471	ki	_	_	_	_	
1-81	472-477	imajo	_	_	_	_	
1-82	478-488	dovoljenje	_	_	_	_	
1-83	489-494	Banke	ORG[4]	3 - Nevtralno[18]	*->4-1	*[4]	
1-84	495-504	Slovenije	ORG[4]|LOC[5]	3 - Nevtralno[18]	*->4-1|*->5-1	*[4]|*[5]	
1-85	505-507	za	_	_	_	_	
1-86	508-519	opravljanje	_	_	_	_	
1-87	520-527	bančnih	_	_	_	_	
1-88	528-536	storitev	_	_	_	_	
1-89	537-538	,	_	_	_	_	
1-90	539-547	najbolje	_	4 - Pozitivno[19]	*->2-5	*[2]	
1-91	548-555	plačani	_	4 - Pozitivno[19]	*->2-5	*[2]	
1-92	556-566	predsednik	_	4 - Pozitivno[19]	*->2-5	*[2]	
1-93	567-573	uprave	_	4 - Pozitivno[19]	*->2-5	*[2]	
1-94	574-583	slovenske	_	4 - Pozitivno[19]	*->2-5	*[2]	
1-95	584-589	banke	_	4 - Pozitivno[19]	*->2-5	*[2]	
1-96	590-591	.	_	_	_	_	
1-97	592-599	Dobiček	_	_	_	_	
1-98	600-609	Gorenjske	ORG[6]	_	*->3-3	*[3]	
1-99	610-615	banke	ORG[6]	_	*->3-3	*[3]	
1-100	616-618	je	_	_	_	_	
1-101	619-623	lani	_	_	_	_	
1-102	624-629	sicer	_	_	_	_	
1-103	630-636	upadel	_	_	_	_	
1-104	637-639	za	_	_	_	_	
1-105	640-642	38	_	_	_	_	
1-106	643-652	odstotkov	_	_	_	_	
1-107	653-654	,	_	_	_	_	
1-108	655-657	še	_	_	_	_	
1-109	658-663	vedno	_	_	_	_	
1-110	664-666	pa	_	_	_	_	
1-111	667-669	je	_	_	_	_	
1-112	670-671	z	_	_	_	_	
1-113	672-676	21,1	_	_	_	_	
1-114	677-685	milijona	_	_	_	_	
1-115	686-691	evrov	_	_	_	_	
1-116	692-694	ob	_	_	_	_	
1-117	695-698	SKB	ORG	_	*->17-1	*[17]	
1-118	699-706	najbolj	_	4 - Pozitivno[20]	*->3-4	*[3]	
1-119	707-719	dobičkonosna	_	4 - Pozitivno[20]	*->3-4	*[3]	
1-120	720-725	banka	_	4 - Pozitivno[20]	*->3-4	*[3]	
1-121	726-727	v	_	4 - Pozitivno[20]	*->3-4	*[3]	
1-122	728-737	Sloveniji	LOC	4 - Pozitivno[20]	*->3-4|*->5-2	*[3]|*[5]	
1-123	738-739	.	_	_	_	_	
1-124	740-745	Drugo	_	_	_	_	
1-125	746-754	najvišjo	_	_	_	_	
1-126	755-760	plačo	_	_	_	_	
1-127	761-764	ima	_	_	_	_	
1-128	765-775	predsednik	_	_	*->16-1	*[16]	
1-129	776-782	uprave	_	_	*->16-1	*[16]	
1-130	783-788	Banke	ORG[7]	3 - Nevtralno[21]	*->16-1|*->6-1	*[16]|*[6]	
1-131	789-794	Koper	ORG[7]|LOC[8]	3 - Nevtralno[21]|3 - Nevtralno[22]	*->16-1|*->6-1|*->7-1	*[16]|*[6]|*[7]	
1-132	795-799	Ezio	PER[9]	_	*->16-1	*[16]	
1-133	800-806	Salvai	PER[9]	_	*->16-1	*[16]	
1-134	807-808	,	_	_	_	_	
1-135	809-811	ki	_	_	_	_	
1-136	812-814	je	_	_	_	_	
1-137	815-819	lani	_	_	_	_	
1-138	820-826	skupno	_	_	_	_	
1-139	827-833	prejel	_	4 - Pozitivno	*->16-2	*[16]	
1-140	834-841	417.000	_	_	_	_	
1-141	842-847	evrov	_	_	_	_	
1-142	848-849	,	_	_	_	_	
1-143	850-853	kar	_	_	_	_	
1-144	854-856	je	_	_	_	_	
