#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Jure Janković je vrnil denar , ki si ga je izposodil od podjetnika Marjana Pišljarja , je za Televizijo Slovenija povedal njegov oče in ljubljanski župan Zoran Janković . Od kod njegovemu sinu dva milijona evrov za poplačilo dolga , pa zanima Urad za preprečevanje pranja denarja . Janković je dejal , da je sam le podpisal pogodbo , s katero je predal hišo v Grosuplju v last Pišljarja . Jure Janković zadeve ne komentira , starejši sin ljubljanskega župana Damijan Janković pa je zatrdil , da dolga niso poplačali s prodajo hotela na Hrvaškem , ki je v lasti podjetja Electa , in tudi ne s prodajo delnic Mercatorja , je poročala Televizija Slovenija . Od kod torej denar za poplačilo dolga Pišljarju , pa ni pojasnil niti Zoran Janković . Dejal pa je , da je njegov mlajši sin podpisal pogodbo s podjetnikom ter tudi vrnil denar , ki si ga je izposodil . Po poročanju POP TV so iz odvetniške pisarne Čeferin sporočili , da se Zoran Janković s Pišljarjem ni dogovarjal o nikakršnem posojilu , temveč da se je o tem dogovarjal le Jure Janković . Pojasnili so tudi , da Zoran Janković ni poravnal sinovega dolga ter da se Pišljarjem ni dogovarjal o vračilu . POP TV je v sredo poročal , da je Jure Janković Pišljarju vrnil tri milijone evrov dolga . Dolg naj bi po takratnem poročanju televizije v sinovem imenu poravnal Zoran Janković . Po takratnem poročanju televizije sta Janković in Pišljar sklenila sporazum o ureditvi razmerij . Glavnica skupno trimilijonskega dolga je sedaj poravnana , obresti pa Jankoviću ni treba vrniti . Pišljar naj bi sicer v teh dneh dobil nakazana dobra dva milijona evrov
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-16	Jure	PER[1]	_	*->2-1	*[2]	
1-4	17-25	Janković	PER[1]	_	*->2-1	*[2]	
1-5	26-28	je	_	_	_	_	
1-6	29-34	vrnil	_	_	_	_	
1-7	35-40	denar	_	_	_	_	
1-8	41-42	,	_	_	_	_	
1-9	43-45	ki	_	_	_	_	
1-10	46-48	si	_	_	_	_	
1-11	49-51	ga	_	_	_	_	
1-12	52-54	je	_	_	_	_	
1-13	55-64	izposodil	_	_	*->2-2	*[2]	
1-14	65-67	od	_	_	_	_	
1-15	68-78	podjetnika	_	_	*->3-1	*[3]	
1-16	79-86	Marjana	PER[2]	_	*->3-1	*[3]	
1-17	87-96	Pišljarja	PER[2]	_	*->3-1	*[3]	
1-18	97-98	,	_	_	_	_	
1-19	99-101	je	_	_	_	_	
1-20	102-104	za	_	_	_	_	
1-21	105-115	Televizijo	ORG[3]	_	*->4-1	*[4]	
1-22	116-125	Slovenija	ORG[3]|LOC[4]	_	*->4-1|*->5-1	*[4]|*[5]	
1-23	126-133	povedal	_	_	_	_	
1-24	134-140	njegov	_	_	*->2-3	*[2]	
1-25	141-144	oče	_	_	_	_	
1-26	145-147	in	_	_	_	_	
1-27	148-159	ljubljanski	_	_	*->6-1	*[6]	
1-28	160-165	župan	_	_	*->6-1	*[6]	
1-29	166-171	Zoran	PER[5]	_	*->6-1	*[6]	
1-30	172-180	Janković	PER[5]	_	*->6-1	*[6]	
1-31	181-182	.	_	_	_	_	
1-32	183-185	Od	_	_	_	_	
1-33	186-189	kod	_	_	_	_	
1-34	190-199	njegovemu	_	_	*->6-2	*[6]	
1-35	200-204	sinu	_	_	*->2-4	*[2]	
1-36	205-208	dva	_	_	_	_	
1-37	209-217	milijona	_	_	_	_	
1-38	218-223	evrov	_	_	_	_	
1-39	224-226	za	_	_	_	_	
1-40	227-236	poplačilo	_	_	_	_	
1-41	237-242	dolga	_	_	_	_	
1-42	243-244	,	_	_	_	_	
1-43	245-247	pa	_	_	_	_	
1-44	248-254	zanima	_	_	_	_	
1-45	255-259	Urad	ORG[6]	3 - Nevtralno[19]	*->7-1	*[7]	
1-46	260-262	za	ORG[6]	3 - Nevtralno[19]	*->7-1	*[7]	
1-47	263-276	preprečevanje	ORG[6]	3 - Nevtralno[19]	*->7-1	*[7]	
1-48	277-283	pranja	ORG[6]	3 - Nevtralno[19]	*->7-1	*[7]	
1-49	284-291	denarja	ORG[6]	3 - Nevtralno[19]	*->7-1	*[7]	
1-50	292-293	.	_	_	_	_	
1-51	294-302	Janković	PER	_	*->6-3	*[6]	
1-52	303-305	je	_	_	_	_	
1-53	306-311	dejal	_	_	_	_	
1-54	312-313	,	_	_	_	_	
1-55	314-316	da	_	_	_	_	
1-56	317-319	je	_	_	_	_	
1-57	320-323	sam	_	_	*->6-4	*[6]	
1-58	324-326	le	_	_	_	_	
1-59	327-335	podpisal	_	_	_	_	
1-60	336-343	pogodbo	_	_	_	_	
1-61	344-345	,	_	_	_	_	
1-62	346-347	s	_	_	_	_	
1-63	348-354	katero	_	_	_	_	
1-64	355-357	je	_	_	_	_	
1-65	358-364	predal	_	_	*->6-5	*[6]	
1-66	365-369	hišo	_	_	_	_	
1-67	370-371	v	_	_	_	_	
1-68	372-381	Grosuplju	LOC	_	*->8-1	*[8]	
1-69	382-383	v	_	_	_	_	
1-70	384-388	last	_	_	_	_	
1-71	389-398	Pišljarja	PER	_	*->3-2	*[3]	
1-72	399-400	.	_	_	_	_	
1-73	401-405	Jure	PER[7]	_	*->2-5	*[2]	
1-74	406-414	Janković	PER[7]	_	*->2-5	*[2]	
1-75	415-421	zadeve	_	_	_	_	
1-76	422-424	ne	_	_	_	_	
1-77	425-434	komentira	_	_	_	_	
1-78	435-436	,	_	_	_	_	
1-79	437-445	starejši	_	3 - Nevtralno[20]	*->9-1	*[9]	
1-80	446-449	sin	_	3 - Nevtralno[20]	*->9-1	*[9]	
1-81	450-463	ljubljanskega	_	3 - Nevtralno[20]	*->9-1|*->6-6	*[9]|*[6]	
1-82	464-470	župana	_	3 - Nevtralno[20]	*->9-1|*->6-6	*[9]|*[6]	
1-83	471-478	Damijan	PER[8]	3 - Nevtralno[20]	*->9-1	*[9]	
1-84	479-487	Janković	PER[8]	3 - Nevtralno[20]	*->9-1	*[9]	
1-85	488-490	pa	_	_	_	_	
1-86	491-493	je	_	_	_	_	
1-87	494-501	zatrdil	_	_	_	_	
1-88	502-503	,	_	_	_	_	
1-89	504-506	da	_	_	_	_	
1-90	507-512	dolga	_	_	_	_	
1-91	513-517	niso	_	_	_	_	
1-92	518-527	poplačali	_	_	_	_	
1-93	528-529	s	_	_	_	_	
1-94	530-537	prodajo	_	_	_	_	
1-95	538-544	hotela	_	_	_	_	
1-96	545-547	na	_	_	_	_	
1-97	548-556	Hrvaškem	LOC	3 - Nevtralno	*->10-1	*[10]	
1-98	557-558	,	_	_	_	_	
1-99	559-561	ki	_	_	_	_	
