#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Dars naj bi po naših informacijah v prihodnjih dneh odločal o usodi razpisa za vzpostavitev pilotskega sistema pošiljanja prometnih informacij v navigacijske naprave v avtomobilih . Po dostopnih podatkih sta se na razpis prijavila dva ponudnika : poleg podjetja Traffic Design , ki je v lasti izumitelja cestninskega sistema ABC Tomaža Kastelica , še podjetje Monolit , ki storitve , povezane s tako imenovanim kanalom prometnih sporočil ( TMS - " Traffic Message Channel " ) , Darsu ponuja za dobrih 175.000 evrov . Kasteličeva ponudba naj bi bila " težka " pol manj , okrog 78.000 evrov , po neuradnih informacijah pa ni izključeno , da bodo na Darsu razpis razveljavili . Na Darsu so sicer decembra lani , ko so razpis objavili , očitno pozabili na pomembno " podrobnost " . Le sedem mesecev pred objavo razpisa , torej maja lani , je namreč nekdanja uprava družbe s Tomislavom Nemcem na čelu skupaj z državno direkcijo za ceste vzpostavitev sistema obveščanja o stanju v prometu prepustila RTV Slovenija . Ta je za objavljanje informacij prek radijskih valov izbrala svoj Radio SI , za obveščanje prek navigacijskih naprav pa našla zasebnega partnerja , madžarsko podjetje TrafficNav . Ob tem velja opozoriti , da sta direkcija , ki jo vodi Gregor Ficko , in Dars nacionalki in posledično tudi Madžarom posel oddala brez razpisa , in to za obdobje petih let . Vse to je posledično pomenilo , da je madžarsko zasebno podjetje v uporabo dobilo tudi podatke , ki se zbirajo pri državnem Prometnoinformacijskem centru za državne ceste ( PIC ) . TrafficNav je namreč zagotovil programsko opremo , prek katere Radio SI vnaša podatke o prometu , ki jih lahko vozniki avtomobilov vidijo na svojih navigacijskih napravah . S tem ko Madžari skrbijo za delovanje storitve , ki sicer skoraj v celoti temelji na javni infrastrukturi ( oddajni mreži in podatkih ) , naj bi po naših informacijah pridobili tudi pravico do uporabe tako imenovanih lokacijskih tabel , torej informacij o trenutnem dogajanju v prometu na slovenskih cestah . Prav te so bistvo posla - TrafficNav jih lahko namreč bolj ali manj brez nadzora trži in preprodaja proizvajalcem navigacijskih naprav . Če želijo ti uporabnikom omogočiti vpogled v stanje na slovenskih cestah prek sistema TMC , morajo pri tem odkupiti lokacijske tabele , ki jih prodaja TrafficNav . Takšen dogovor so tako Madžari že sklenili s podjetjem Navigon , Garminovi uporabniki pa bodo za prometne informacije na nadgrajeni napravi plačevali po 15 . aprilu . Pri tem sta najbolj sporni dve dejstvi . Prvič , čeprav sistem TMC temelji na javni infrastrukturi , je za uporabnike plačljiv . Podatki , ki jih zbira Prometnoinformacijski center , so tako šifrirani , njihov nakup pa je vštet v ceno novega ali ustrezno nadgrajenega sprejemnika TMC . Za primerjavo , podatki iz istega sistema so brezplačni v severni Italiji , Avstriji , Belgiji , Švici , Franciji , Nemčiji , na Danskem , Nizozemskem , Češkem in še v nekaterih evropskih državah . V Sloveniji se sicer podatki v navigacijskih napravah osvežujejo le na vsakih petnajst minut . Prav iz prakse v drugih državah izhaja drugo sporno dejstvo . Po dostopnih podatkih namreč s sistemom TMC v večini držav EU upravljajo državni organi ali podjetja : v Avstriji tamkajšnji upravljavec avtocestnega omrežja Asfinag , v Nemčiji Zvezni inštitut za avtoceste , na Nizozemskem tamkajšnji prometni center , na Danskem in Finskem pa tamkajšnji prometni ministrstvi . Madžarski TrafficNav je sicer najuspešnejši zasebni ponudnik TMC , saj skrbi za omenjeni sistem še na Madžarskem , Hrvaškem , Irskem in Portugalskem . Po informacijah , ki nam jih včeraj ni uspelo preveriti , naj bi TrafficNav nastopal kot podizvajalec tudi v ponudbi , ki jo je na Dars poslalo podjetje Monolit . primoz.cirman @
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-16	Dars	ORG	_	*->2-1	*[2]	
1-4	17-20	naj	_	_	_	_	
1-5	21-23	bi	_	_	_	_	
1-6	24-26	po	_	_	_	_	
1-7	27-32	naših	_	_	_	_	
1-8	33-45	informacijah	_	_	_	_	
1-9	46-47	v	_	_	_	_	
1-10	48-58	prihodnjih	_	_	_	_	
1-11	59-63	dneh	_	_	_	_	
1-12	64-71	odločal	_	_	_	_	
1-13	72-73	o	_	_	_	_	
1-14	74-79	usodi	_	_	_	_	
1-15	80-87	razpisa	_	_	_	_	
1-16	88-90	za	_	_	_	_	
1-17	91-103	vzpostavitev	_	_	_	_	
1-18	104-114	pilotskega	_	_	_	_	
1-19	115-122	sistema	_	_	_	_	
1-20	123-133	pošiljanja	_	_	_	_	
1-21	134-143	prometnih	_	_	_	_	
1-22	144-154	informacij	_	_	_	_	
1-23	155-156	v	_	_	_	_	
1-24	157-169	navigacijske	_	_	_	_	
1-25	170-177	naprave	_	_	_	_	
1-26	178-179	v	_	_	_	_	
1-27	180-191	avtomobilih	_	_	_	_	
1-28	192-193	.	_	_	_	_	
1-29	194-196	Po	_	_	_	_	
1-30	197-206	dostopnih	_	_	_	_	
1-31	207-215	podatkih	_	_	_	_	
1-32	216-219	sta	_	_	_	_	
1-33	220-222	se	_	_	_	_	
1-34	223-225	na	_	_	_	_	
1-35	226-232	razpis	_	_	_	_	
1-36	233-242	prijavila	_	_	_	_	
1-37	243-246	dva	_	_	_	_	
1-38	247-256	ponudnika	_	_	_	_	
1-39	257-258	:	_	_	_	_	
1-40	259-264	poleg	_	_	_	_	
1-41	265-273	podjetja	_	_	*->3-1	*[3]	
1-42	274-281	Traffic	ORG[1]	_	*->3-1	*[3]	
1-43	282-288	Design	ORG[1]	_	*->3-1	*[3]	
1-44	289-290	,	_	_	_	_	
1-45	291-293	ki	_	_	_	_	
1-46	294-296	je	_	3 - Nevtralno	*->3-2	*[3]	
1-47	297-298	v	_	_	_	_	
1-48	299-304	lasti	_	_	_	_	
1-49	305-315	izumitelja	_	_	*->4-1	*[4]	
1-50	316-328	cestninskega	_	_	*->4-1	*[4]	
1-51	329-336	sistema	_	_	*->4-1	*[4]	
1-52	337-340	ABC	ORG	3 - Nevtralno	*->4-1|*->5-1	*[4]|*[5]	
1-53	341-347	Tomaža	PER[2]	_	*->4-1	*[4]	
1-54	348-357	Kastelica	PER[2]	_	*->4-1	*[4]	
1-55	358-359	,	_	_	_	_	
1-56	360-362	še	_	_	_	_	
1-57	363-371	podjetje	_	_	_	_	
1-58	372-379	Monolit	ORG	_	*->6-1	*[6]	
1-59	380-381	,	_	_	_	_	
1-60	382-384	ki	_	_	_	_	
1-61	385-393	storitve	_	_	_	_	
1-62	394-395	,	_	_	_	_	
1-63	396-404	povezane	_	_	_	_	
1-64	405-406	s	_	_	_	_	
1-65	407-411	tako	_	_	_	_	
1-66	412-422	imenovanim	_	_	_	_	
1-67	423-430	kanalom	_	_	_	_	
1-68	431-440	prometnih	_	_	_	_	
1-69	441-449	sporočil	_	_	_	_	
1-70	450-451	(	_	_	_	_	
1-71	452-455	TMS	_	_	_	_	
1-72	456-457	-	_	_	_	_	
1-73	458-459	"	_	_	_	_	
1-74	460-467	Traffic	_	_	_	_	
1-75	468-475	Message	_	_	_	_	
1-76	476-483	Channel	_	_	_	_	
1-77	484-485	"	_	_	_	_	
1-78	486-487	)	_	_	_	_	
1-79	488-489	,	_	_	_	_	
1-80	490-495	Darsu	ORG	_	*->2-2	*[2]	
1-81	496-502	ponuja	_	_	_	_	
1-82	503-505	za	_	_	_	_	
1-83	506-512	dobrih	_	_	_	_	
1-84	513-520	175.000	_	_	_	_	
1-85	521-526	evrov	_	_	_	_	
1-86	527-528	.	_	_	_	_	
1-87	529-540	Kasteličeva	PER	3 - Nevtralno	*->4-2	*[4]	
