#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Slovenci danes tretjič obeležujemo dan spomina na žrtve holokavsta . Eno najtemnejših poglavij zgodovine človeštva je sledove za vedno pustilo tudi na našem območju . Generalna skupščina Združenih narodov je 1 . novembra 2005 razglasila 27 . januar za dan spomina na žrtve holokavsta . " Ta nepopisno brutalen zločin brez primere še danes predstavlja eno najtemnejših poglavij v zgodovini človeštva , " ob dnevu spomina meni Pavel Gantar , predsednik državnega zbora . Pravi še , da bomo le s skrbnim negovanjem spomina na pretekle grozote in krivice lahko računali na spremembe v miselnosti in posledično tudi v ravnanju . " Vse to z osnovnim namenom , da se takšna tragedija ne bi nikoli več ponovila , " dodaja . Ob 18 . uri bo v Sinagogi Maribor spominska slovesnost za žrtve holokavsta in odprtje mednarodne fotografske razstave Preteklo in pozabljeno – Judovska kultura v Sloveniji . V Krškem pa bo ob 11 . uri odprtje razstave o genocidni politiki fašistov in nacistov do slovanskih narodov med drugo svetovno vojno , ki jo pripravlja Društvo izgnancev Slovenije 1941 – 1945 . Sprva za politične zapornike in Sovjete Kot je znano , so nacisti januarja 1940 v bližini znanega poljskega mesta Oswięcim ( bolj znan kot Auschwitz ) začele graditi koncentracijsko taborišče , sprva namenjeno političnim zapornikom in sovjetskim vojnim ujetnikom . Kmalu je taborišče postalo premajhno , zato so zgradili še Auschwitz II - Birkenau . Ugotovili so , da je Zyklon B učinkovito morilsko sredstvo , in ker so lahko vzeli več življenj , kot so sprva načrtovali , so zgradili še več plinskih celic . Po koncu romali v Izrael in ZDA Prvi judovski ujetniki so tja prispeli pozimi leta 1942 . Tja je bilo deportiranih tudi 2.346 zapornikov iz Slovenije , od tega jih je v taborišču umrlo 1.351 . Na današnji dan pred 66 leti je Rdeča armada vkorakala v Auschwitz in osvobodila več kot 7.000 zapornikov , med njimi tudi 21 Slovenk . Mnogi so nato odšli v Izrael , drugi v ZDA , tretji pa v sosednje države . Nacizem je v Sloveniji pustil zelo močen pečat in številni se niso želeli vrniti domov . Ena redkih , ki pa se je odločila za vrnitev v Mursko Soboto , je Erika Fürst . Ob prihodu v taborišče je bila stara 13 let , rešila pa se je z laganjem zloglasnemu zdravniku Josephu Mengeleju , znanemu tudi kot Angelu smrti . Če Fürstova ne bi rekla , da je nekaj let starejša , se smrti ne bi mogla izogniti . Danes bo svojo zgodbo predstavila tudi obiskovalcem razstave in slovesnosti v Sinagogi Maribor . Ob dnevu spomina na žrtve holokavsta smo se pogovarjali z vodjo Sinagoge Maribor , Marjanom Tošem . Slovenska judovska skupnost si ni nikoli opomogla , ubitih je bilo okoli 87 odstotkov slovenskih Judov , opozarja . Več si preberite tukaj
1-1	0-8	Slovenci	PER	3 - Nevtralno	*->1-1	*[1]	
1-2	9-14	danes	_	_	_	_	
1-3	15-22	tretjič	_	_	_	_	
1-4	23-34	obeležujemo	_	_	_	_	
1-5	35-38	dan	_	_	_	_	
1-6	39-46	spomina	_	_	_	_	
1-7	47-49	na	_	_	_	_	
1-8	50-55	žrtve	_	_	_	_	
1-9	56-66	holokavsta	_	_	_	_	
1-10	67-68	.	_	_	_	_	
1-11	69-72	Eno	_	_	_	_	
1-12	73-85	najtemnejših	_	_	_	_	
1-13	86-94	poglavij	_	_	_	_	
1-14	95-104	zgodovine	_	_	_	_	
1-15	105-114	človeštva	_	_	_	_	
1-16	115-117	je	_	_	_	_	
1-17	118-125	sledove	_	_	_	_	
1-18	126-128	za	_	_	_	_	
1-19	129-134	vedno	_	_	_	_	
1-20	135-142	pustilo	_	_	_	_	
1-21	143-147	tudi	_	_	_	_	
1-22	148-150	na	_	_	_	_	
1-23	151-156	našem	_	_	_	_	
1-24	157-164	območju	_	_	_	_	
1-25	165-166	.	_	_	_	_	
1-26	167-176	Generalna	_	_	_	_	
1-27	177-186	skupščina	_	_	_	_	
1-28	187-196	Združenih	ORG[1]	3 - Nevtralno[10]	*->2-1	*[2]	
1-29	197-204	narodov	ORG[1]	3 - Nevtralno[10]	*->2-1	*[2]	
1-30	205-207	je	_	_	_	_	
1-31	208-209	1	_	_	_	_	
1-32	210-211	.	_	_	_	_	
1-33	212-220	novembra	_	_	_	_	
1-34	221-225	2005	_	_	_	_	
1-35	226-236	razglasila	_	_	_	_	
1-36	237-239	27	_	_	_	_	
1-37	240-241	.	_	_	_	_	
1-38	242-248	januar	_	_	_	_	
1-39	249-251	za	_	_	_	_	
1-40	252-255	dan	_	_	_	_	
1-41	256-263	spomina	_	_	_	_	
1-42	264-266	na	_	_	_	_	
1-43	267-272	žrtve	_	_	_	_	
1-44	273-283	holokavsta	_	_	_	_	
1-45	284-285	.	_	_	_	_	
1-46	286-287	"	_	_	_	_	
1-47	288-290	Ta	_	_	_	_	
1-48	291-300	nepopisno	_	_	_	_	
1-49	301-309	brutalen	_	_	_	_	
1-50	310-316	zločin	_	_	_	_	
1-51	317-321	brez	_	_	_	_	
1-52	322-329	primere	_	_	_	_	
1-53	330-332	še	_	_	_	_	
1-54	333-338	danes	_	_	_	_	
1-55	339-350	predstavlja	_	_	_	_	
1-56	351-354	eno	_	_	_	_	
1-57	355-367	najtemnejših	_	_	_	_	
1-58	368-376	poglavij	_	_	_	_	
1-59	377-378	v	_	_	_	_	
1-60	379-388	zgodovini	_	_	_	_	
1-61	389-398	človeštva	_	_	_	_	
1-62	399-400	,	_	_	_	_	
1-63	401-402	"	_	_	_	_	
1-64	403-405	ob	_	_	_	_	
1-65	406-411	dnevu	_	_	_	_	
1-66	412-419	spomina	_	_	_	_	
1-67	420-424	meni	_	_	_	_	
1-68	425-430	Pavel	PER[2]	_	*->3-1	*[3]	
1-69	431-437	Gantar	PER[2]	_	*->3-1	*[3]	
1-70	438-439	,	_	_	_	_	
1-71	440-450	predsednik	_	_	*->3-2	*[3]	
1-72	451-460	državnega	ORG[3]	3 - Nevtralno[11]	*->3-2|*->4-1	*[3]|*[4]	
1-73	461-466	zbora	ORG[3]	3 - Nevtralno[11]	*->3-2|*->4-1	*[3]|*[4]	
1-74	467-468	.	_	_	_	_	
1-75	469-474	Pravi	_	_	*->3-3	*[3]	
1-76	475-477	še	_	_	_	_	
1-77	478-479	,	_	_	_	_	
1-78	480-482	da	_	_	_	_	
1-79	483-487	bomo	_	_	_	_	
1-80	488-490	le	_	_	_	_	
1-81	491-492	s	_	_	_	_	
1-82	493-500	skrbnim	_	_	_	_	
1-83	501-511	negovanjem	_	_	_	_	
1-84	512-519	spomina	_	_	_	_	
1-85	520-522	na	_	_	_	_	
1-86	523-531	pretekle	_	_	_	_	
1-87	532-539	grozote	_	_	_	_	
1-88	540-542	in	_	_	_	_	
1-89	543-550	krivice	_	_	_	_	
1-90	551-556	lahko	_	_	_	_	
1-91	557-565	računali	_	_	_	_	
1-92	566-568	na	_	_	_	_	
1-93	569-578	spremembe	_	_	_	_	
1-94	579-580	v	_	_	_	_	
1-95	581-591	miselnosti	_	_	_	_	
1-96	592-594	in	_	_	_	_	
1-97	595-605	posledično	_	_	_	_	
1-98	606-610	tudi	_	_	_	_	
1-99	611-612	v	_	_	_	_	
1-100	613-621	ravnanju	_	_	_	_	
1-101	622-623	.	_	_	_	_	
1-102	624-625	"	_	_	_	_	
1-103	626-629	Vse	_	_	_	_	
1-104	630-632	to	_	_	_	_	
1-105	633-634	z	_	_	_	_	
1-106	635-643	osnovnim	_	_	_	_	
1-107	644-651	namenom	_	_	_	_	
1-108	652-653	,	_	_	_	_	
1-109	654-656	da	_	_	_	_	
1-110	657-659	se	_	_	_	_	
1-111	660-666	takšna	_	_	_	_	
1-112	667-676	tragedija	_	_	_	_	
1-113	677-679	ne	_	_	_	_	
1-114	680-682	bi	_	_	_	_	
1-115	683-689	nikoli	_	_	_	_	
1-116	690-693	več	_	_	_	_	
1-117	694-702	ponovila	_	_	_	_	
1-118	703-704	,	_	_	_	_	
1-119	705-706	"	_	_	_	_	
1-120	707-713	dodaja	_	3 - Nevtralno	*->3-4	*[3]	
1-121	714-715	.	_	_	_	_	
1-122	716-718	Ob	_	_	_	_	
1-123	719-721	18	_	_	_	_	
1-124	722-723	.	_	_	_	_	
1-125	724-727	uri	_	_	_	_	
1-126	728-730	bo	_	_	_	_	
1-127	731-732	v	_	_	_	_	
1-128	733-741	Sinagogi	_	_	_	_	
1-129	742-749	Maribor	LOC	_	*->5-1	*[5]	
1-130	750-759	spominska	_	_	_	_	
1-131	760-770	slovesnost	_	_	_	_	
1-132	771-773	za	_	_	_	_	
1-133	774-779	žrtve	_	_	_	_	
1-134	780-790	holokavsta	_	_	_	_	
1-135	791-793	in	_	_	_	_	
1-136	794-801	odprtje	_	_	_	_	
1-137	802-812	mednarodne	_	_	_	_	
1-138	813-824	fotografske	_	_	_	_	
1-139	825-833	razstave	_	_	_	_	
1-140	834-842	Preteklo	_	_	_	_	
1-141	843-845	in	_	_	_	_	
1-142	846-856	pozabljeno	_	_	_	_	
1-143	857-858	–	_	_	_	_	
1-144	859-867	Judovska	_	_	_	_	
1-145	868-875	kultura	_	_	_	_	
1-146	876-877	v	_	_	_	_	
1-147	878-887	Sloveniji	LOC	_	*->6-1	*[6]	
1-148	888-889	.	_	_	_	_	
1-149	890-891	V	_	_	_	_	
1-150	892-898	Krškem	LOC	3 - Nevtralno	*->7-1	*[7]	
1-151	899-901	pa	_	_	_	_	
1-152	902-904	bo	_	_	_	_	
1-153	905-907	ob	_	_	_	_	
1-154	908-910	11	_	_	_	_	
1-155	911-912	.	_	_	_	_	
1-156	913-916	uri	_	_	_	_	
1-157	917-924	odprtje	_	_	_	_	
1-158	925-933	razstave	_	_	_	_	
1-159	934-935	o	_	_	_	_	
1-160	936-945	genocidni	_	_	_	_	
1-161	946-954	politiki	_	_	_	_	
1-162	955-963	fašistov	_	_	_	_	
1-163	964-966	in	_	_	_	_	
1-164	967-975	nacistov	_	_	_	_	
1-165	976-978	do	_	_	_	_	
1-166	979-989	slovanskih	_	_	_	_	
1-167	990-997	narodov	_	_	_	_	
1-168	998-1001	med	_	_	_	_	
1-169	1002-1007	drugo	_	_	_	_	
1-170	1008-1016	svetovno	_	_	_	_	
1-171	1017-1022	vojno	_	_	_	_	
1-172	1023-1024	,	_	_	_	_	
1-173	1025-1027	ki	_	_	_	_	
1-174	1028-1030	jo	_	_	_	_	
1-175	1031-1041	pripravlja	_	_	_	_	
1-176	1042-1049	Društvo	ORG[4]	3 - Nevtralno[12]	*->8-1	*[8]	
1-177	1050-1059	izgnancev	ORG[4]	3 - Nevtralno[12]	*->8-1	*[8]	
1-178	1060-1069	Slovenije	ORG[4]|LOC[5]	3 - Nevtralno[12]	*->8-1|*->6-2	*[8]|*[6]	
1-179	1070-1074	1941	_	_	_	_	
1-180	1075-1076	–	_	_	_	_	
1-181	1077-1081	1945	_	_	_	_	
1-182	1082-1083	.	_	_	_	_	
1-183	1084-1089	Sprva	_	_	_	_	
1-184	1090-1092	za	_	_	_	_	
1-185	1093-1102	politične	_	_	_	_	
1-186	1103-1112	zapornike	_	_	_	_	
1-187	1113-1115	in	_	_	_	_	
1-188	1116-1123	Sovjete	PER	3 - Nevtralno	*->9-1	*[9]	
1-189	1124-1127	Kot	_	_	_	_	
1-190	1128-1130	je	_	_	_	_	
1-191	1131-1136	znano	_	_	_	_	
1-192	1137-1138	,	_	_	_	_	
1-193	1139-1141	so	_	_	_	_	
1-194	1142-1149	nacisti	_	_	_	_	
1-195	1150-1158	januarja	_	_	_	_	
1-196	1159-1163	1940	_	_	_	_	
1-197	1164-1165	v	_	_	_	_	
1-198	1166-1173	bližini	_	_	_	_	
1-199	1174-1181	znanega	_	_	*->10-1	*[10]	
1-200	1182-1191	poljskega	_	_	*->10-1	*[10]	
1-201	1192-1197	mesta	_	_	*->10-1	*[10]	
1-202	1198-1206	Oswięcim	LOC	_	*->10-1	*[10]	
1-203	1207-1208	(	_	_	_	_	
1-204	1209-1213	bolj	_	_	_	_	
1-205	1214-1218	znan	_	_	_	_	
1-206	1219-1222	kot	_	_	_	_	
1-207	1223-1232	Auschwitz	LOC	_	*->10-2	*[10]	
1-208	1233-1234	)	_	_	_	_	
1-209	1235-1241	začele	_	_	_	_	
1-210	1242-1249	graditi	_	_	_	_	
1-211	1250-1265	koncentracijsko	_	_	_	_	
1-212	1266-1275	taborišče	_	_	_	_	
1-213	1276-1277	,	_	_	_	_	
1-214	1278-1283	sprva	_	_	_	_	
1-215	1284-1293	namenjeno	_	_	_	_	
1-216	1294-1304	političnim	_	_	_	_	
1-217	1305-1315	zapornikom	_	_	_	_	
1-218	1316-1318	in	_	_	_	_	
1-219	1319-1329	sovjetskim	_	_	_	_	
1-220	1330-1336	vojnim	_	_	_	_	
1-221	1337-1346	ujetnikom	_	_	_	_	
1-222	1347-1348	.	_	_	_	_	
1-223	1349-1354	Kmalu	_	_	_	_	
1-224	1355-1357	je	_	_	_	_	
1-225	1358-1367	taborišče	_	_	_	_	
1-226	1368-1375	postalo	_	_	_	_	
1-227	1376-1385	premajhno	_	_	_	_	
1-228	1386-1387	,	_	_	_	_	
1-229	1388-1392	zato	_	_	_	_	
1-230	1393-1395	so	_	_	_	_	
1-231	1396-1404	zgradili	_	_	_	_	
1-232	1405-1407	še	_	_	_	_	
1-233	1408-1417	Auschwitz	LOC	_	*->11-1|*->10-3	*[11]|*[10]	
1-234	1418-1420	II	_	_	*->11-1	*[11]	
1-235	1421-1422	-	_	_	_	_	
1-236	1423-1431	Birkenau	LOC	1 - Zelo negativno	*->11-2	*[11]	
1-237	1432-1433	.	_	_	_	_	
1-238	1434-1443	Ugotovili	_	_	_	_	
1-239	1444-1446	so	_	_	_	_	
1-240	1447-1448	,	_	_	_	_	
1-241	1449-1451	da	_	_	_	_	
1-242	1452-1454	je	_	_	_	_	
1-243	1455-1461	Zyklon	_	_	_	_	
