#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Predsednik Murine uprave Bojan Starman je včeraj na sodišče v Murski Soboti vložil predlog za stečajni postopek Mure , d . d . , in njenih hčerinskih podjetij : Mure - Moška oblačila , Mure - Ženska oblačila in Muralista . Mursko Soboto pa bo danes obiskal eden od direktorjev Bossa , ki je odgovoren za sodelovanje z Muro . Na sestanku , na katerem bosta poleg Starmana po naših informacijah tudi direktor Slovenske odškodninske družbe ( Sod ) Tomaž Kuntarič in direktor Posebne družbe za podjetniško svetovanje ( PDP ) , ki je v lasti Kapitalske družbe ( Kad ) , Matej Golob Matzele , se bodo poskušali dogovoriti , da bi Boss ohranil sodelovanje z Murinim hčerinskim podjetjem Mura in partnerji . " Danes se je zgodilo to , kar bi se moralo že pred nekaj meseci . Delo bo izgubilo 2653 delavcev . Druga podjetja , v katerih je zaposlenih 650 delavcev , bodo nadaljevala delo . Največ , 471 , jih ostaja zaposlenih v Muri in partnerji . V sklopu tega podjetja bomo tudi poskušali skoncentrirati vse stvari , ki so potrebne za proizvodnjo . Hkrati bomo tudi poskušali poiskati delo , da bi lahko znova zaposlili čim več ljudi . Za vse , ki bodo izgubili delo , bo v sklopu stečajnega postopka zagotovljena socialna varnost , " pojasnjuje Starman . Po njegovih besedah je za nastanek nove Mure , ki se bo gradila prek podjetja Mure in partnerji ključnega pomena nadaljevanje sodelovanja z Bossom . Če tega ne bo , Starman ne izključuje možnosti , da bi se tudi preostali del Mure znašel v stečajnem postopku . " V tem primeru nimamo več česa početi . Zavedamo se , da so kupci zelo občutljivi , še posebno med krizo . Celotno dogajanje v Muri v zadnjem času je Bossa zmedlo , obenem pa niti ni bil obveščen , da bi lahko še naprej sodeloval z Muro , " pravi Starman . Načrt finančne reorganizacije , ki ga je pripravil donedavni prokurist Mure Zdenko Podlesnik , po njegovi oceni ni bil izvedljiv . " Upniki nanj ne bi privolili , ker so šle stvari predaleč , " opozarja Starman . Dodaja , da se z morebitnimi okostnjaki v omarah ne bo ukvarjal , a da bo stečajni upravitelj preveril , ali so se dogajale kakršne koli nepravilnosti in po potrebi ustrezno ukrepal . Starman je stečaj Mure in njenih hčerinskih podjetij napovedoval že v začetku tega tedna . Toda do tega ni moglo priti , ker se je v ponedeljek izkazalo , da bolj ali manj vse , kar je Podlesnik zagotavljal premierju Borutu Pahorju , resornim ministrom , Sodu in PDP , ne drži . V tem tednu je Starman storil vse , kar je bilo mogoče , da bi se prek podjetja Mura in partnerji lahko zgradila nova Mura . Po naših informacijah naj bi Podlesnik visokim predstavnikom vlade zagotavljal , da bi Mura in partnerji lahko samostojno preživela in da tekoče posluje pozitivno . To ravno ne drži , saj je Muro in partnerje v zadnjem času izčrpavala Mura , d . d . , s precejšnjimi svetovalnimi in kadrovskimi stroški . Ker je avgusta stala proizvodnja Mure in partnerji , se takrat ni ničesar fakturiralo . Kljub drugačnim zagotovilom Podlesnika niso bile podpisane najemne pogodbe med Muro in Muro in partnerji za zakup nepremičnin in strojev . Poleg tega , da je proizvodnja Mure in partnerji že organizirana , naj bi Podlesnik vladnim predstavnikom zagotavljal , da so tudi naročila zagotovljena . Zdaj se je izkazalo , niti to ne drži . Razen Bossovega naročila , ki je tako in tako zamrznjeno , ni obstajalo nobeno drugo naročilo . Mura in partnerji zaradi slabe organiziranosti ta trenutek še vedno ne more sama izvajati naročil , saj so v proces naročanja vključeni razni posamezniki iz podjetij skupina Mura . " Iskanje grešnega kozla ne spada na raven kulturne komunikacije . Še vedno trdim , da če ne bi izgubili treh mesecev , bi lahko iz Mure naredili uspešno podjetje . Naj se Starman preneha sprenevedati in naj začne skrbeti za Murine delavce , " na očitke odgovarja Podlesnik . sebastjan.morozov @
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-22	Predsednik	_	_	*->2-1	*[2]	
1-4	23-29	Murine	ORG	_	*->2-1|*->3-1	*[2]|*[3]	
1-5	30-36	uprave	_	_	*->2-1	*[2]	
1-6	37-42	Bojan	PER[1]	_	*->2-1	*[2]	
1-7	43-50	Starman	PER[1]	_	*->2-1	*[2]	
1-8	51-53	je	_	_	_	_	
1-9	54-60	včeraj	_	_	_	_	
1-10	61-63	na	_	_	_	_	
1-11	64-71	sodišče	_	_	_	_	
1-12	72-73	v	_	_	_	_	
1-13	74-80	Murski	LOC[2]	_	*->4-1	*[4]	
1-14	81-87	Soboti	LOC[2]	_	*->4-1	*[4]	
1-15	88-94	vložil	_	_	_	_	
1-16	95-102	predlog	_	_	_	_	
1-17	103-105	za	_	_	_	_	
1-18	106-114	stečajni	_	_	_	_	
1-19	115-123	postopek	_	_	_	_	
1-20	124-128	Mure	ORG[3]	_	*->3-2	*[3]	
1-21	129-130	,	ORG[3]	_	*->3-2	*[3]	
1-22	131-132	d	ORG[3]	_	*->3-2	*[3]	
1-23	133-134	.	ORG[3]	_	*->3-2	*[3]	
1-24	135-136	d	ORG[3]	_	*->3-2	*[3]	
1-25	137-138	.	ORG[3]	_	*->3-2	*[3]	
1-26	139-140	,	_	_	_	_	
1-27	141-143	in	_	_	_	_	
1-28	144-150	njenih	_	_	*->3-3	*[3]	
1-29	151-161	hčerinskih	_	_	_	_	
1-30	162-170	podjetij	_	_	_	_	
1-31	171-172	:	_	_	_	_	
1-32	173-177	Mure	ORG[4]	2 - Negativno[25]	*->5-1	*[5]	
1-33	178-179	-	ORG[4]	2 - Negativno[25]	*->5-1	*[5]	
1-34	180-185	Moška	ORG[4]	2 - Negativno[25]	*->5-1	*[5]	
1-35	186-194	oblačila	ORG[4]	2 - Negativno[25]	*->5-1	*[5]	
1-36	195-196	,	_	_	_	_	
1-37	197-201	Mure	ORG[5]	2 - Negativno[26]	*->6-1	*[6]	
1-38	202-203	-	ORG[5]	2 - Negativno[26]	*->6-1	*[6]	
1-39	204-210	Ženska	ORG[5]	2 - Negativno[26]	*->6-1	*[6]	
1-40	211-219	oblačila	ORG[5]	2 - Negativno[26]	*->6-1	*[6]	
1-41	220-222	in	_	_	_	_	
1-42	223-232	Muralista	ORG	2 - Negativno	*->7-1	*[7]	
1-43	233-234	.	_	_	_	_	
1-44	235-241	Mursko	LOC[6]	3 - Nevtralno[27]	*->4-2	*[4]	
1-45	242-248	Soboto	LOC[6]	3 - Nevtralno[27]	*->4-2	*[4]	
1-46	249-251	pa	_	_	_	_	
1-47	252-254	bo	_	_	_	_	
1-48	255-260	danes	_	_	_	_	
1-49	261-268	obiskal	_	_	_	_	
1-50	269-273	eden	_	_	_	_	
1-51	274-276	od	_	_	_	_	
1-52	277-288	direktorjev	_	_	_	_	
1-53	289-294	Bossa	ORG	_	*->8-1	*[8]	
1-54	295-296	,	_	_	_	_	
1-55	297-299	ki	_	_	_	_	
1-56	300-302	je	_	_	_	_	
1-57	303-312	odgovoren	_	_	*->8-2	*[8]	
1-58	313-315	za	_	_	_	_	
1-59	316-327	sodelovanje	_	_	_	_	
1-60	328-329	z	_	_	_	_	
1-61	330-334	Muro	ORG	_	*->3-4	*[3]	
1-62	335-336	.	_	_	_	_	
1-63	337-339	Na	_	_	_	_	
1-64	340-348	sestanku	_	_	_	_	
1-65	349-350	,	_	_	_	_	
1-66	351-353	na	_	_	_	_	
1-67	354-361	katerem	_	_	_	_	
1-68	362-367	bosta	_	_	_	_	
1-69	368-373	poleg	_	_	_	_	
1-70	374-382	Starmana	PER	_	*->2-2	*[2]	
1-71	383-385	po	_	_	_	_	
1-72	386-391	naših	_	_	_	_	
1-73	392-404	informacijah	_	_	_	_	
1-74	405-409	tudi	_	_	_	_	
1-75	410-418	direktor	_	3 - Nevtralno[28]	*->9-1	*[9]	
