#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Evropska komisija je Sloveniji za letos napovedala 1,9 - odstotno rast , za naslednje leto pa 2,5 - odstotno , kar je nad povprečjem v območju evra in EU . Sicer pa bo Slovenija letos po napovedih iz Bruslja beležila 5,8 - odstotni javnofinančni primanjkljaj , naslednje leto pa petodstotnega , kar je slabše od povprečja v območju evra in EU . Javni dolg Slovenije se bo po napovedih komisije vztrajno večal , a bo še vedno bistveno pod povprečjem območja evra in EU ter bistveno pod referenčno mejo 60 odstotkov bruto domačega proizvoda ( BDP ) , ki jo določa pakt za stabilnost in rast . Za letos komisija Sloveniji napoveduje 42,8 - odstotni dolg , za prihodnje leto pa 46 - odstotnega . Poleg tega Evropska komisija Sloveniji za letos napoveduje 2,6 - odstotno inflacijo , za prihodnje leto pa 2,1 - odstotno . Inflacija v Sloveniji bo tako letos po napovedih komisije enaka kot v povprečju v območju evra in pod povprečjem EU , prihodnje leto pa nekoliko nad povprečjem v območju evra in celotne EU . Po napovedih iz Bruslja bo Slovenija letos beležila večjo brezposelnost kot lani . Medtem ko je bila ta lani po ocenah komisije 7,3 - odstotna , naj bi bila letos 8,2 - odstotna , prihodnje leto pa osemodstotna . To je še vedno manj kot v povprečju v območju evra in celotne EU , kjer naj bi bila letos 10 - odstotna , prihodnje leto pa 9,7 - odstotna oziroma 9,5 - odstotna in 9,1 - odstotna . V lanski novembrski gospodarski napovedi je komisija Sloveniji za letos prav tako napovedala 1,9 - odstotno rast , za leto 2012 pa 2,6 - odstotno , a njene napovedi za javnofinančni primanjkljaj Slovenije so bile novembra boljše kot danes . Novembra je namreč napovedala , da bo ta v Sloveniji letos 5,3 - odstoten , naslednje leto pa 4,7 - odstoten . Slovenija je sicer - kot velika večina držav EU - zaradi prekomernega javnofinančnega primanjkljaja v postopku Evropske komisije . Evropska komisija je kot rok za znižanje javnofinančnega primanjkljaja Slovenije pod tri odstotke BDP , kar kot zgornjo mejo določa pakt za stabilnost in rast , določila leto 2013 . Slovenija je po navedbah finančnega ministrstva v programu stabilnosti , ki ga je posredovala Evropski komisiji , zapisala , da za leto 2012 načrtuje znižanje primanjkljaja na 3,9 odstotka BDP . Na zvišanje letošnjega primanjkljaja bo sicer po navedbah komisije vplivala dokapitalizacija največje slovenske banke , Nove Ljubljanske banke . Glede primanjkljaja v letu 2012 je komisija zapisala , da je izračunan ob predpostavki , da ne bo dodatnih ukrepov . Glede nadaljnjih ukrepov za zajezitev izdatkov v letu 2012 sicer komisija ugotavlja , da ti v glavnem še niso podrobno opredeljeni in dogovorjeni . Glede gospodarske rasti pa Evropska komisija v primeru Slovenije ugotavlja razmeroma medlo okrevanje , ki temelji na izvozu . Ta pa je po njenih navedbah ohromljen zaradi izgub konkurenčnosti , ki so se nabrale pred in med krizo , ter zaradi usmerjenosti izvoza na gospodarsko šibek Zahodni Balkan . Drugi dejavnik , ki zavira gospodarsko rast Slovenije , so po navedbah Evropske komisije razmere v gradbeništvu . Poleg tega se je po navedbah komisije v prizadevanjih bank za izboljšanje svojih bilanc skrčil tudi tok posojil v realno gospodarstvo
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-20	Evropska	ORG[1]	_	*->2-1	*[2]	
1-4	21-29	komisija	ORG[1]	_	*->2-1	*[2]	
1-5	30-32	je	_	_	_	_	
1-6	33-42	Sloveniji	ORG	_	*->3-1	*[3]	
1-7	43-45	za	_	_	_	_	
1-8	46-51	letos	_	_	_	_	
1-9	52-62	napovedala	_	_	_	_	
1-10	63-66	1,9	_	_	_	_	
1-11	67-68	-	_	_	_	_	
1-12	69-77	odstotno	_	_	_	_	
1-13	78-82	rast	_	_	_	_	
1-14	83-84	,	_	_	_	_	
1-15	85-87	za	_	_	_	_	
1-16	88-97	naslednje	_	_	_	_	
1-17	98-102	leto	_	_	_	_	
1-18	103-105	pa	_	_	_	_	
1-19	106-109	2,5	_	_	_	_	
1-20	110-111	-	_	_	_	_	
1-21	112-120	odstotno	_	_	_	_	
1-22	121-122	,	_	_	_	_	
1-23	123-126	kar	_	_	_	_	
1-24	127-129	je	_	_	_	_	
1-25	130-133	nad	_	_	_	_	
1-26	134-144	povprečjem	_	_	_	_	
1-27	145-146	v	_	_	_	_	
1-28	147-154	območju	_	_	_	_	
1-29	155-159	evra	_	_	_	_	
1-30	160-162	in	_	_	_	_	
1-31	163-165	EU	ORG	_	*->4-1	*[4]	
1-32	166-167	.	_	_	_	_	
1-33	168-173	Sicer	_	_	_	_	
1-34	174-176	pa	_	_	_	_	
1-35	177-179	bo	_	_	_	_	
1-36	180-189	Slovenija	ORG	_	*->3-2	*[3]	
1-37	190-195	letos	_	_	_	_	
1-38	196-198	po	_	_	_	_	
1-39	199-208	napovedih	_	_	_	_	
1-40	209-211	iz	_	_	_	_	
1-41	212-219	Bruslja	ORG	_	*->5-1	*[5]	
1-42	220-228	beležila	_	_	_	_	
1-43	229-232	5,8	_	_	_	_	
1-44	233-234	-	_	_	_	_	
1-45	235-243	odstotni	_	_	_	_	
1-46	244-257	javnofinančni	_	_	_	_	
1-47	258-270	primanjkljaj	_	_	_	_	
1-48	271-272	,	_	_	_	_	
1-49	273-282	naslednje	_	_	_	_	
1-50	283-287	leto	_	_	_	_	
1-51	288-290	pa	_	_	_	_	
1-52	291-304	petodstotnega	_	_	_	_	
1-53	305-306	,	_	_	_	_	
1-54	307-310	kar	_	_	_	_	
1-55	311-313	je	_	_	_	_	
1-56	314-320	slabše	_	_	_	_	
1-57	321-323	od	_	_	_	_	
1-58	324-333	povprečja	_	_	_	_	
1-59	334-335	v	_	_	_	_	
1-60	336-343	območju	_	_	_	_	
1-61	344-348	evra	_	_	_	_	
1-62	349-351	in	_	_	_	_	
1-63	352-354	EU	ORG	_	*->4-2	*[4]	
1-64	355-356	.	_	_	_	_	
1-65	357-362	Javni	_	_	_	_	
1-66	363-367	dolg	_	_	_	_	
1-67	368-377	Slovenije	ORG	_	*->3-3	*[3]	
1-68	378-380	se	_	_	_	_	
1-69	381-383	bo	_	_	_	_	
1-70	384-386	po	_	_	_	_	
1-71	387-396	napovedih	_	_	_	_	
1-72	397-405	komisije	_	_	*->2-2	*[2]	
1-73	406-414	vztrajno	_	_	_	_	
1-74	415-420	večal	_	_	_	_	
1-75	421-422	,	_	_	_	_	
1-76	423-424	a	_	_	_	_	
1-77	425-427	bo	_	_	_	_	
1-78	428-430	še	_	_	_	_	
1-79	431-436	vedno	_	_	_	_	
1-80	437-445	bistveno	_	_	_	_	
