#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Iniciativni odbor čakajočih delavcev na Slovenskih železnicah poziva k odstopu delavskega direktorja Alberta Pavliča in predsednika sveta delavcev Silva Berdajsa . Po mnenju odbora sta tako Pavlič kot Berdajs pomembno vplivala na oblikovanje seznama zaposlenih , ki so napoteni na čakanje na delo . Slovenske železnice bodo v okviru letošnjih varčevalnih ukrepov v prvi fazi na čakanje napotile 1075 zaposlenih , obvestila o čakanju so jim v družbi vročali v četrtek in petek . To pa še ni dokončna številka , saj jih bodo v drugi fazi na čakanje lahko napotili do 2000 . Že prejšnji teden so se v javnosti pojavili očitki , da je Berdajs osebno pripravljal sezname zaposlenih , ki bodo napoteni na čakanje , kar pa je sam zavrnil . Iniciativni odbor je danes v izjavi za javnost znova zatrdil , da je Berdajs seznam napotenih na čakanje naredil sam , " s pomočjo svoji zaveznikov " . Največjo odgovornost za nastale razmere na Slovenskih železnicah velja po ocenah iniciativnega odbora poleg Berdajsu pripisati tudi delavskemu direktorju Pavliču . " V zadnjih štirih letih smo na Slovenskih železnicah zaposlili približno 2000 ljudi , še pred mesecem smo nekaterim , ki so bili zaposleni za določen čas , izdajali odločbe za nedoločen čas . Pavlič in Berdajs sta zaposlovala ljudi po svojem interesu in po svojih vezah , " navajajo v iniciativnem odboru . Ob tem v odboru Berdajsu in Pavliču očitajo , da nihče od novo zaposlenih ne gre na čakanje , temveč so na čakanje napoteni zaposleni z več kot 20 leti delovne dobe . Na njihova delovna mesta pa prihajajo drugi ljudje , ki bodo enako delo opravljali za višjo plačo . " Berdajs in Pavlič sta se sedaj na Slovenskih železnicah očistila svojih nasprotnikov . Na delovnih mestih ostajajo ljudje brez izobrazbe , ki pa so zvesti privrženci Pavliča in Berdajsa , " navajajo . Iniciativni odbor čakajočih delavcev je , če bo to potrebno , pripravljen tudi demonstrirati pred Berdajsevo in Pavličevo pisarno . Berdajs je že po petkovem obisku premiera Boruta Pahorja na Slovenskih železnicah zavrnil navedbe , da naj bi prav on pripravljal sezname zaposlenih , ki bodo napoteni na čakanje . Seznami so po njegovih besedah sestavljeni na podlagi ugotovitev posameznih vodstvenih delavcev glede produktivnosti zaposlenih in obsega dela . Berdajs sicer ne izključuje možnosti , da se je kdo uvrstitvi na seznam izognil na podlagi načela " blizu oči - blizu srca " . Vodstvo družbe sicer napoveduje , da bodo v drugi fazi napotitve zaposlenih na čakanje morebitne nepravilnosti ali krivice preverili in ustrezno ukrepali . Kot omenjeno , je napotitev na čakanje na delo eden izmed letošnjih varčevalnih ukrepov na Slovenskih železnicah . Med možnimi ukrepi je tudi znižanje plač , o čemer bodo socialni partnerji pogovore nadaljevali ta teden . Že danes pa se bo sestal tudi usmerjevalni odbor za sanacijo Slovenskih železnic , ki ga vodi minister za promet Patrick Vlačič . Poleg Vlačiča so člani odbora še generalni direktor železnic Goran Brankovič , delavski direktor Albert Pavlič , prvi nadzornik Andrej Godec , dva predstavnika delavcev in predstavnik ministrstva za finance . Delavce bo v odboru zastopal Berdajs in še en predstavnik sindikatov
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-23	Iniciativni	_	_	_	_	
1-4	24-29	odbor	_	_	_	_	
1-5	30-39	čakajočih	_	_	_	_	
1-6	40-48	delavcev	_	_	_	_	
1-7	49-51	na	_	_	_	_	
1-8	52-62	Slovenskih	ORG[1]	_	*->8-1	*[8]	
1-9	63-73	železnicah	ORG[1]	_	*->8-1	*[8]	
1-10	74-80	poziva	_	_	_	_	
1-11	81-82	k	_	_	_	_	
1-12	83-90	odstopu	_	_	_	_	
1-13	91-101	delavskega	_	_	*->2-1	*[2]	
1-14	102-112	direktorja	_	_	*->2-1	*[2]	
1-15	113-120	Alberta	PER[2]	_	*->2-1	*[2]	
1-16	121-128	Pavliča	PER[2]	_	*->2-1	*[2]	
1-17	129-131	in	_	_	_	_	
1-18	132-143	predsednika	_	_	*->3-1	*[3]	
1-19	144-149	sveta	_	_	*->3-1	*[3]	
1-20	150-158	delavcev	_	_	*->3-1	*[3]	
1-21	159-164	Silva	PER[3]	_	*->3-1	*[3]	
1-22	165-173	Berdajsa	PER[3]	_	*->3-1	*[3]	
1-23	174-175	.	_	_	_	_	
1-24	176-178	Po	_	_	_	_	
1-25	179-185	mnenju	_	_	_	_	
1-26	186-192	odbora	_	_	_	_	
1-27	193-196	sta	_	_	_	_	
1-28	197-201	tako	_	_	_	_	
1-29	202-208	Pavlič	PER	_	*->2-2	*[2]	
1-30	209-212	kot	_	_	_	_	
1-31	213-220	Berdajs	PER	_	*->3-2	*[3]	
1-32	221-229	pomembno	_	_	_	_	
1-33	230-238	vplivala	_	_	_	_	
1-34	239-241	na	_	_	_	_	
1-35	242-253	oblikovanje	_	_	_	_	
1-36	254-261	seznama	_	_	_	_	
1-37	262-272	zaposlenih	_	_	_	_	
1-38	273-274	,	_	_	_	_	
1-39	275-277	ki	_	_	_	_	
1-40	278-280	so	_	_	_	_	
1-41	281-289	napoteni	_	_	_	_	
1-42	290-292	na	_	_	_	_	
1-43	293-300	čakanje	_	_	_	_	
1-44	301-303	na	_	_	_	_	
1-45	304-308	delo	_	_	_	_	
1-46	309-310	.	_	_	_	_	
1-47	311-320	Slovenske	ORG[4]	_	*->8-2	*[8]	
1-48	321-330	železnice	ORG[4]	_	*->8-2	*[8]	
1-49	331-335	bodo	_	_	_	_	
1-50	336-337	v	_	_	_	_	
1-51	338-344	okviru	_	_	_	_	
1-52	345-354	letošnjih	_	_	_	_	
1-53	355-366	varčevalnih	_	_	_	_	
1-54	367-374	ukrepov	_	_	_	_	
1-55	375-376	v	_	_	_	_	
1-56	377-381	prvi	_	_	_	_	
1-57	382-386	fazi	_	_	_	_	
1-58	387-389	na	_	_	_	_	
1-59	390-397	čakanje	_	_	_	_	
1-60	398-406	napotile	_	_	_	_	
1-61	407-411	1075	_	_	_	_	
1-62	412-422	zaposlenih	_	_	_	_	
1-63	423-424	,	_	_	_	_	
1-64	425-434	obvestila	_	_	_	_	
1-65	435-436	o	_	_	_	_	
1-66	437-444	čakanju	_	_	_	_	
1-67	445-447	so	_	_	_	_	
1-68	448-451	jim	_	_	_	_	
1-69	452-453	v	_	_	_	_	
1-70	454-460	družbi	_	_	*->8-3	*[8]	
1-71	461-468	vročali	_	_	_	_	
1-72	469-470	v	_	_	_	_	
1-73	471-478	četrtek	_	_	_	_	
1-74	479-481	in	_	_	_	_	
1-75	482-487	petek	_	_	_	_	
1-76	488-489	.	_	_	_	_	
1-77	490-492	To	_	_	_	_	
1-78	493-495	pa	_	_	_	_	
1-79	496-498	še	_	_	_	_	
1-80	499-501	ni	_	_	_	_	
1-81	502-510	dokončna	_	_	_	_	
1-82	511-519	številka	_	_	_	_	
1-83	520-521	,	_	_	_	_	
1-84	522-525	saj	_	_	_	_	
1-85	526-529	jih	_	_	_	_	
1-86	530-534	bodo	_	_	_	_	
1-87	535-536	v	_	_	_	_	
1-88	537-542	drugi	_	_	_	_	
1-89	543-547	fazi	_	_	_	_	
1-90	548-550	na	_	_	_	_	
1-91	551-558	čakanje	_	_	_	_	
1-92	559-564	lahko	_	_	_	_	
1-93	565-573	napotili	_	_	*->8-4	*[8]	
1-94	574-576	do	_	_	_	_	
1-95	577-581	2000	_	_	_	_	
1-96	582-583	.	_	_	_	_	
1-97	584-586	Že	_	_	_	_	
1-98	587-595	prejšnji	_	_	_	_	
1-99	596-601	teden	_	_	_	_	
1-100	602-604	so	_	_	_	_	
1-101	605-607	se	_	_	_	_	
1-102	608-609	v	_	_	_	_	
1-103	610-618	javnosti	_	_	_	_	
1-104	619-627	pojavili	_	_	_	_	
1-105	628-634	očitki	_	_	_	_	
1-106	635-636	,	_	_	_	_	
1-107	637-639	da	_	_	_	_	
1-108	640-642	je	_	_	_	_	
1-109	643-650	Berdajs	PER	_	*->3-3	*[3]	
1-110	651-657	osebno	_	_	_	_	
1-111	658-669	pripravljal	_	_	_	_	
