#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Koper - Koprsko okrožno sodišče je zavrnilo tožbeni zahtevek Luke Koper , ki je od nekdanjega predsednika uprave Luke Koper Bruna Koreliča zaradi domnevnega oškodovanja pri prodaji delnic Autocommercea zahtevala 722.791 evrov odškodnine . Luka Koper bo morala poravnati sodne stroške procesa , ali se namerava zoper razsodbo pritožiti , pa še ni znano . Koreličev odvetnik Miha Kozinc je o razsodbi koprskega sodišča dejal , da so od vsega začetka zastopali stališče , da ni bilo pri poslu v zvezi s prodajo delnic Autocommercea nič narobe . " Šlo je za nagajanje in politično obračunavanje z mano , ker sem si kot občinski svetnik upal opozarjati na nečedne posle župana Borisa Popoviča , " pa je za STA o tožbi dejal Korelič . Koliko bodo znašali sodni stroški , ki jih bo morala Luka Koper plačati zaradi izgubljene tožbe , v Luki Koper danes niso mogli odgovoriti , ker sodba še ni pravnomočna . Uprava družbe tudi še ni sprejela odločitve o vložitvi pritožbe . " Verjamem , da jih bo srečala pamet in ne bodo zapravljali dodatnega denarja za odvetnike , " je v zvezi z morebitno pritožbo dejal Korelič . Podobnega mnenja je tudi Kozinc . " Glede na potek postopka mislim , da ni nikakršne osnove za to , " je pojasnil . Luka Koper je v tožbi od Koreliča zahtevala 722.791 evrov odškodnine , za kolikor naj bi Korelič oškodoval družbo s prodajo 9,9 - odstotnega deleža družbe Autocommerce leta 2005 . Luka Koper je delnice Autocommercea kupila leta 2003 od Slovenske odškodninske družbe , in sicer po ceni 4788 nekdanjih tolarjev na delnico , februarja 2005 pa je delnice prodala družbi Fins po ceni 5500 tolarjev za delnico . Po mnenju uprave in nadzornega sveta je bila prodajna cena v letu 2005 nižja od dejanske vrednosti posamezne delnice . Družba Protej , v kateri so združeni vodilni delavci ACH , je junija istega leta v prevzemni ponudbi namreč ponujala 6100 tolarjev za delnico . Upravo Luke Koper je leta 2008 , ko je bila na sodišče vložena tožba , vodil Robert Časar , nadzorni svet pa koprski župan Boris Popovič . Tako Časarja kot Popoviča je nadzorni svet Luke Koper z njunih funkcij odstavil junija letos . Odvetnik Franci Matoz , ki je Luko Koper zastopal v omenjeni tožbi , je po navedbah predsednika uprave Luke Koper Gregorja Veselka sodelovanje z Luko Koper kmalu menjavi v vrhu Luke Koper prekinil
1-1	0-5	Koper	LOC	_	*->1-1	*[1]	
1-2	6-7	-	_	_	_	_	
1-3	8-15	Koprsko	_	_	_	_	
1-4	16-23	okrožno	_	_	_	_	
1-5	24-31	sodišče	_	_	_	_	
1-6	32-34	je	_	_	_	_	
1-7	35-43	zavrnilo	_	_	_	_	
1-8	44-51	tožbeni	_	_	_	_	
1-9	52-60	zahtevek	_	_	_	_	
1-10	61-65	Luke	ORG[1]	_	*->2-1	*[2]	
1-11	66-71	Koper	ORG[1]|LOC[2]	_	*->2-1|*->1-2	*[2]|*[1]	
1-12	72-73	,	_	_	_	_	
1-13	74-76	ki	_	_	_	_	
1-14	77-79	je	_	_	_	_	
1-15	80-82	od	_	_	_	_	
1-16	83-93	nekdanjega	_	_	*->14-1	*[14]	
1-17	94-105	predsednika	_	_	*->14-1	*[14]	
1-18	106-112	uprave	_	_	*->14-1	*[14]	
1-19	113-117	Luke	ORG[3]	_	*->14-1|*->2-2	*[14]|*[2]	
1-20	118-123	Koper	ORG[3]|LOC[4]	_	*->14-1|*->2-2|*->1-3	*[14]|*[2]|*[1]	
1-21	124-129	Bruna	PER[5]	_	*->14-1	*[14]	
1-22	130-138	Koreliča	PER[5]	_	*->14-1	*[14]	
1-23	139-145	zaradi	_	_	_	_	
1-24	146-156	domnevnega	_	_	_	_	
1-25	157-168	oškodovanja	_	_	_	_	
1-26	169-172	pri	_	_	_	_	
1-27	173-180	prodaji	_	_	_	_	
1-28	181-187	delnic	_	_	_	_	
1-29	188-201	Autocommercea	ORG	_	*->3-1	*[3]	
1-30	202-211	zahtevala	_	_	*->2-3	*[2]	
1-31	212-219	722.791	_	_	_	_	
1-32	220-225	evrov	_	_	_	_	
1-33	226-236	odškodnine	_	_	_	_	
1-34	237-238	.	_	_	_	_	
1-35	239-243	Luka	ORG[6]	_	*->2-4	*[2]	
1-36	244-249	Koper	ORG[6]|LOC[7]	_	*->2-4|*->1-4	*[2]|*[1]	
1-37	250-252	bo	_	_	_	_	
1-38	253-259	morala	_	_	_	_	
1-39	260-269	poravnati	_	_	_	_	
1-40	270-275	sodne	_	_	_	_	
1-41	276-283	stroške	_	_	_	_	
1-42	284-291	procesa	_	_	_	_	
1-43	292-293	,	_	_	_	_	
1-44	294-297	ali	_	_	_	_	
1-45	298-300	se	_	_	_	_	
1-46	301-309	namerava	_	_	*->2-5	*[2]	
1-47	310-315	zoper	_	_	_	_	
1-48	316-324	razsodbo	_	_	_	_	
1-49	325-334	pritožiti	_	_	_	_	
1-50	335-336	,	_	_	_	_	
1-51	337-339	pa	_	_	_	_	
