#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Laško - Nadzorniki Pivovarne Laško so na četrtkovi seji soglašali , da se nadaljuje s prodajo skoraj četrtinskega deleža v Mercatorju in ostalih družb skupine Pivovarna Laško skladno s strategijo , ki jo je pripravila uprave pivovarne , je Pivovarna Laško danes sporočila prek spletnih straneh Ljubljanske borze . Na seji je nepreklicno kot predsednik in član nadzornega sveta odstopil Marjan Mačkošek zaradi različnih pogledov na imenovanje nove članice uprave Mirjam Hočevar . Hočevarjeva , ki je bila finančna direktorica Pivovarne Union , je v nadzornem svetu zamenjala Roberta Šego . Ta je odstopil sredi marca zaradi subjektivnih in objektivnih vzrokov . Prav tako so nadzorniki potrdili in sprejeli revidirano letno poročilo Pivovarne Laško in skupine Pivovarna Laško za leto 2010 , ki bo danes tudi javno objavljeno . Časnik Finance je v četrtek poročal , da Pivovarna Laško ne bo prodala skoraj četrtinskega deleža v Mercatorju , saj naj bi bila že dogovorjena dokapitalizacija pivovarne v višini 100 milijonov evrov . Ta denar naj bi prispevali Orbico , Panvita in zdajšnji lastniki pivovarne , med njimi tudi Kapitalska družba ( Kad ) , ki je sedemodstotna lastnica pivovarne , in banke . V Pivovarni Laško so za STA povedali , da omenjene dokapitalizacije za zdaj ne morejo komentirati , predsednik slovenske vlade Borut Pahor pa je na novinarski konferenci po seji vlade povedal , da so na Kadu pristojni , da se odločijo , kaj je za narodno gospodarstvo koristno . Za dokapitalizacijo naj bi bila sklicana skupščina delničarjev , predlog pa bodo morali delničarji potrditi s 75 odstotki . Če bo dokapitalizacija uspešna , potem ne bo novega kroga prodaje Mercatorja s strogimi pogoji za potencialne kupce in prodaja Pivovarne Laško , za katero so se banke že začele dogovarjati , ne bi bila več aktualna
1-1	0-5	Laško	LOC	_	*->1-1	*[1]	
1-2	6-7	-	_	_	_	_	
1-3	8-18	Nadzorniki	_	_	_	_	
1-4	19-28	Pivovarne	ORG[1]	_	*->2-1	*[2]	
1-5	29-34	Laško	ORG[1]|LOC[2]	_	*->2-1|*->1-2	*[2]|*[1]	
1-6	35-37	so	_	_	_	_	
1-7	38-40	na	_	_	_	_	
1-8	41-50	četrtkovi	_	_	_	_	
1-9	51-55	seji	_	_	_	_	
1-10	56-65	soglašali	_	_	_	_	
1-11	66-67	,	_	_	_	_	
1-12	68-70	da	_	_	_	_	
1-13	71-73	se	_	_	_	_	
1-14	74-83	nadaljuje	_	_	_	_	
1-15	84-85	s	_	_	_	_	
1-16	86-93	prodajo	_	_	_	_	
1-17	94-100	skoraj	_	_	_	_	
1-18	101-113	četrtinskega	_	_	_	_	
1-19	114-120	deleža	_	_	_	_	
1-20	121-122	v	_	_	_	_	
1-21	123-133	Mercatorju	ORG	_	*->3-1	*[3]	
1-22	134-136	in	_	_	_	_	
1-23	137-144	ostalih	_	_	_	_	
1-24	145-150	družb	_	_	_	_	
1-25	151-158	skupine	_	_	_	_	
1-26	159-168	Pivovarna	ORG[3]	_	*->2-2	*[2]	
1-27	169-174	Laško	ORG[3]|LOC[4]	_	*->2-2|*->1-3	*[2]|*[1]	
1-28	175-182	skladno	_	_	_	_	
1-29	183-184	s	_	_	_	_	
1-30	185-195	strategijo	_	_	_	_	
1-31	196-197	,	_	_	_	_	
1-32	198-200	ki	_	_	_	_	
1-33	201-203	jo	_	_	_	_	
1-34	204-206	je	_	_	_	_	
1-35	207-217	pripravila	_	_	_	_	
1-36	218-224	uprave	_	_	_	_	
1-37	225-234	pivovarne	_	_	*->2-3	*[2]	
1-38	235-236	,	_	_	_	_	
1-39	237-239	je	_	_	_	_	
1-40	240-249	Pivovarna	ORG[5]	_	*->2-4	*[2]	
1-41	250-255	Laško	ORG[5]|LOC[6]	_	*->2-4|*->1-4	*[2]|*[1]	
1-42	256-261	danes	_	_	_	_	
1-43	262-271	sporočila	_	_	_	_	
1-44	272-276	prek	_	_	_	_	
1-45	277-285	spletnih	_	_	_	_	
1-46	286-293	straneh	_	_	_	_	
1-47	294-305	Ljubljanske	ORG[7]	3 - Nevtralno[24]	*->4-1	*[4]	
1-48	306-311	borze	ORG[7]	3 - Nevtralno[24]	*->4-1	*[4]	
1-49	312-313	.	_	_	_	_	
1-50	314-316	Na	_	_	_	_	
1-51	317-321	seji	_	_	_	_	
1-52	322-324	je	_	_	_	_	
1-53	325-336	nepreklicno	_	_	_	_	
1-54	337-340	kot	_	_	_	_	
1-55	341-351	predsednik	_	_	_	_	
1-56	352-354	in	_	_	_	_	
1-57	355-359	član	_	_	_	_	
1-58	360-370	nadzornega	_	_	_	_	
1-59	371-376	sveta	_	_	_	_	
1-60	377-385	odstopil	_	_	_	_	
1-61	386-392	Marjan	PER[8]	2 - Negativno[25]	*->5-1	*[5]	
1-62	393-401	Mačkošek	PER[8]	2 - Negativno[25]	*->5-1	*[5]	
1-63	402-408	zaradi	_	_	_	_	
1-64	409-418	različnih	_	_	_	_	
1-65	419-427	pogledov	_	_	_	_	
1-66	428-430	na	_	_	_	_	
1-67	431-441	imenovanje	_	_	_	_	
1-68	442-446	nove	_	_	*->6-1	*[6]	
1-69	447-454	članice	_	_	*->6-1	*[6]	
1-70	455-461	uprave	_	_	*->6-1	*[6]	
1-71	462-468	Mirjam	PER[9]	_	*->6-1	*[6]	
1-72	469-476	Hočevar	PER[9]	_	*->6-1	*[6]	
1-73	477-478	.	_	_	_	_	
1-74	479-490	Hočevarjeva	PER	_	*->6-2	*[6]	
1-75	491-492	,	_	_	_	_	
1-76	493-495	ki	_	_	_	_	
1-77	496-498	je	_	_	_	_	
1-78	499-503	bila	_	_	_	_	
1-79	504-512	finančna	_	3 - Nevtralno[26]	*->6-3	*[6]	
1-80	513-524	direktorica	_	3 - Nevtralno[26]	*->6-3	*[6]	
1-81	525-534	Pivovarne	ORG[10]	3 - Nevtralno[26]|3 - Nevtralno[27]	*->6-3|*->8-1	*[6]|*[8]	
1-82	535-540	Union	ORG[10]	3 - Nevtralno[26]|3 - Nevtralno[27]	*->6-3|*->8-1	*[6]|*[8]	
1-83	541-542	,	_	_	_	_	
1-84	543-545	je	_	_	_	_	
1-85	546-547	v	_	_	_	_	
1-86	548-557	nadzornem	_	_	_	_	
1-87	558-563	svetu	_	_	_	_	
1-88	564-573	zamenjala	_	_	_	_	
1-89	574-581	Roberta	PER[11]	_	*->7-1	*[7]	
1-90	582-586	Šego	PER[11]	_	*->7-1	*[7]	
1-91	587-588	.	_	_	_	_	
1-92	589-591	Ta	_	_	*->7-2	*[7]	
1-93	592-594	je	_	_	_	_	
1-94	595-603	odstopil	_	2 - Negativno	*->7-3	*[7]	
1-95	604-609	sredi	_	_	_	_	
1-96	610-615	marca	_	_	_	_	
1-97	616-622	zaradi	_	_	_	_	
1-98	623-635	subjektivnih	_	_	_	_	
1-99	636-638	in	_	_	_	_	
1-100	639-650	objektivnih	_	_	_	_	
1-101	651-658	vzrokov	_	_	_	_	
1-102	659-660	.	_	_	_	_	
1-103	661-665	Prav	_	_	_	_	
1-104	666-670	tako	_	_	_	_	
1-105	671-673	so	_	_	_	_	
1-106	674-684	nadzorniki	_	_	_	_	
1-107	685-693	potrdili	_	_	_	_	
1-108	694-696	in	_	_	_	_	
1-109	697-705	sprejeli	_	_	_	_	
1-110	706-716	revidirano	_	_	_	_	
1-111	717-722	letno	_	_	_	_	
1-112	723-731	poročilo	_	_	_	_	
1-113	732-741	Pivovarne	ORG[12]	_	*->2-5	*[2]	
1-114	742-747	Laško	ORG[12]|LOC[13]	_	*->2-5|*->1-5	*[2]|*[1]	
1-115	748-750	in	_	_	_	_	
1-116	751-758	skupine	_	_	_	_	
1-117	759-768	Pivovarna	ORG[14]	_	*->2-6	*[2]	
1-118	769-774	Laško	ORG[14]|LOC[15]	_	*->2-6|*->1-6	*[2]|*[1]	
1-119	775-777	za	_	_	_	_	
1-120	778-782	leto	_	_	_	_	
1-121	783-787	2010	_	_	_	_	
1-122	788-789	,	_	_	_	_	
1-123	790-792	ki	_	_	_	_	
1-124	793-795	bo	_	_	_	_	
1-125	796-801	danes	_	_	_	_	
1-126	802-806	tudi	_	_	_	_	
1-127	807-812	javno	_	_	_	_	
1-128	813-823	objavljeno	_	_	_	_	
1-129	824-825	.	_	_	_	_	
1-130	826-832	Časnik	_	3 - Nevtralno[28]	*->14-1	*[14]	
1-131	833-840	Finance	ORG	3 - Nevtralno[28]	*->14-1	*[14]	
1-132	841-843	je	_	_	_	_	
1-133	844-845	v	_	_	_	_	
1-134	846-853	četrtek	_	_	_	_	
1-135	854-861	poročal	_	_	_	_	
1-136	862-863	,	_	_	_	_	
1-137	864-866	da	_	_	_	_	
1-138	867-876	Pivovarna	ORG[16]	_	*->2-7	*[2]	
1-139	877-882	Laško	ORG[16]|LOC[17]	_	*->2-7|*->1-7	*[2]|*[1]	
1-140	883-885	ne	_	_	_	_	
1-141	886-888	bo	_	_	_	_	
1-142	889-896	prodala	_	_	_	_	
1-143	897-903	skoraj	_	_	_	_	
1-144	904-916	četrtinskega	_	_	_	_	
1-145	917-923	deleža	_	_	_	_	
1-146	924-925	v	_	_	_	_	
1-147	926-936	Mercatorju	ORG	_	*->3-2	*[3]	
1-148	937-938	,	_	_	_	_	
1-149	939-942	saj	_	_	_	_	
1-150	943-946	naj	_	_	_	_	
1-151	947-949	bi	_	_	_	_	
1-152	950-954	bila	_	_	_	_	
1-153	955-957	že	_	_	_	_	
1-154	958-969	dogovorjena	_	_	*->2-8	*[2]	
1-155	970-986	dokapitalizacija	_	_	_	_	
1-156	987-996	pivovarne	_	_	*->2-9	*[2]	
1-157	997-998	v	_	_	_	_	
1-158	999-1005	višini	_	_	_	_	
1-159	1006-1009	100	_	_	_	_	
1-160	1010-1019	milijonov	_	_	_	_	
1-161	1020-1025	evrov	_	_	_	_	
1-162	1026-1027	.	_	_	_	_	
1-163	1028-1030	Ta	_	_	_	_	
1-164	1031-1036	denar	_	_	_	_	
1-165	1037-1040	naj	_	_	_	_	
1-166	1041-1043	bi	_	_	_	_	
1-167	1044-1054	prispevali	_	_	_	_	
1-168	1055-1061	Orbico	ORG	4 - Pozitivno	*->9-1	*[9]	
1-169	1062-1063	,	_	_	_	_	
1-170	1064-1071	Panvita	ORG	4 - Pozitivno	*->10-1	*[10]	
1-171	1072-1074	in	_	_	_	_	
1-172	1075-1083	zdajšnji	_	_	_	_	
1-173	1084-1092	lastniki	_	_	_	_	
1-174	1093-1102	pivovarne	_	_	*->2-10	*[2]	
1-175	1103-1104	,	_	_	_	_	
1-176	1105-1108	med	_	_	_	_	
1-177	1109-1114	njimi	_	_	_	_	
1-178	1115-1119	tudi	_	_	_	_	
1-179	1120-1130	Kapitalska	ORG[18]	_	*->11-1	*[11]	
1-180	1131-1137	družba	ORG[18]	_	*->11-1	*[11]	
1-181	1138-1139	(	_	_	_	_	
1-182	1140-1143	Kad	ORG	_	*->11-2	*[11]	
1-183	1144-1145	)	_	_	_	_	
1-184	1146-1147	,	_	_	_	_	
1-185	1148-1150	ki	_	_	_	_	
1-186	1151-1153	je	_	_	_	_	
1-187	1154-1167	sedemodstotna	_	_	*->11-3	*[11]	
1-188	1168-1176	lastnica	_	_	*->11-3	*[11]	
1-189	1177-1186	pivovarne	_	_	*->11-3|*->2-11	*[11]|*[2]	
1-190	1187-1188	,	_	_	_	_	
1-191	1189-1191	in	_	_	_	_	
1-192	1192-1197	banke	_	_	_	_	
1-193	1198-1199	.	_	_	_	_	
1-194	1200-1201	V	_	_	_	_	
1-195	1202-1211	Pivovarni	ORG[19]	_	*->2-12	*[2]	
1-196	1212-1217	Laško	ORG[19]|LOC[20]	_	*->2-12|*->1-8	*[2]|*[1]	
1-197	1218-1220	so	_	_	_	_	
1-198	1221-1223	za	_	_	_	_	
1-199	1224-1227	STA	ORG	3 - Nevtralno	*->12-1	*[12]	
1-200	1228-1236	povedali	_	_	_	_	
1-201	1237-1238	,	_	_	_	_	
1-202	1239-1241	da	_	_	_	_	
1-203	1242-1250	omenjene	_	_	_	_	
1-204	1251-1267	dokapitalizacije	_	_	_	_	
1-205	1268-1270	za	_	_	_	_	
1-206	1271-1275	zdaj	_	_	_	_	
1-207	1276-1278	ne	_	_	_	_	
1-208	1279-1285	morejo	_	_	*->2-13	*[2]	
1-209	1286-1297	komentirati	_	_	_	_	
1-210	1298-1299	,	_	_	_	_	
1-211	1300-1310	predsednik	_	3 - Nevtralno[29]	*->13-1	*[13]	
1-212	1311-1320	slovenske	_	3 - Nevtralno[29]	*->13-1	*[13]	
1-213	1321-1326	vlade	_	3 - Nevtralno[29]	*->13-1	*[13]	
1-214	1327-1332	Borut	PER[21]	3 - Nevtralno[29]	*->13-1	*[13]	
1-215	1333-1338	Pahor	PER[21]	3 - Nevtralno[29]	*->13-1	*[13]	
1-216	1339-1341	pa	_	_	_	_	
1-217	1342-1344	je	_	_	_	_	
1-218	1345-1347	na	_	_	_	_	
1-219	1348-1358	novinarski	_	_	_	_	
1-220	1359-1369	konferenci	_	_	_	_	
1-221	1370-1372	po	_	_	_	_	
1-222	1373-1377	seji	_	_	_	_	
1-223	1378-1383	vlade	_	_	_	_	
1-224	1384-1391	povedal	_	_	_	_	
1-225	1392-1393	,	_	_	_	_	
1-226	1394-1396	da	_	_	_	_	
1-227	1397-1399	so	_	_	_	_	
1-228	1400-1402	na	_	_	_	_	
1-229	1403-1407	Kadu	ORG	_	*->11-4	*[11]	
1-230	1408-1417	pristojni	_	_	_	_	
1-231	1418-1419	,	_	_	_	_	
1-232	1420-1422	da	_	_	_	_	
1-233	1423-1425	se	_	_	_	_	
1-234	1426-1434	odločijo	_	4 - Pozitivno	*->11-5	*[11]	
1-235	1435-1436	,	_	_	_	_	
1-236	1437-1440	kaj	_	_	_	_	
1-237	1441-1443	je	_	_	_	_	
1-238	1444-1446	za	_	_	_	_	
1-239	1447-1454	narodno	_	_	_	_	
1-240	1455-1467	gospodarstvo	_	_	_	_	
1-241	1468-1476	koristno	_	_	_	_	
1-242	1477-1478	.	_	_	_	_	
1-243	1479-1481	Za	_	_	_	_	
1-244	1482-1498	dokapitalizacijo	_	_	_	_	
1-245	1499-1502	naj	_	_	_	_	
1-246	1503-1505	bi	_	_	_	_	
1-247	1506-1510	bila	_	_	_	_	
1-248	1511-1519	sklicana	_	_	_	_	
1-249	1520-1529	skupščina	_	_	_	_	
1-250	1530-1541	delničarjev	_	_	_	_	
1-251	1542-1543	,	_	_	_	_	
1-252	1544-1551	predlog	_	_	_	_	
1-253	1552-1554	pa	_	_	_	_	
1-254	1555-1559	bodo	_	_	_	_	
1-255	1560-1566	morali	_	_	_	_	
1-256	1567-1577	delničarji	_	_	_	_	
1-257	1578-1586	potrditi	_	_	_	_	
1-258	1587-1588	s	_	_	_	_	
1-259	1589-1591	75	_	_	_	_	
1-260	1592-1600	odstotki	_	_	_	_	
1-261	1601-1602	.	_	_	_	_	
1-262	1603-1605	Če	_	_	_	_	
1-263	1606-1608	bo	_	_	_	_	
1-264	1609-1625	dokapitalizacija	_	_	_	_	
1-265	1626-1633	uspešna	_	_	_	_	
1-266	1634-1635	,	_	_	_	_	
1-267	1636-1641	potem	_	_	_	_	
1-268	1642-1644	ne	_	_	_	_	
1-269	1645-1647	bo	_	_	_	_	
1-270	1648-1654	novega	_	_	_	_	
1-271	1655-1660	kroga	_	_	_	_	
1-272	1661-1668	prodaje	_	_	_	_	
1-273	1669-1679	Mercatorja	ORG	3 - Nevtralno	*->3-3	*[3]	
1-274	1680-1681	s	_	_	_	_	
1-275	1682-1690	strogimi	_	_	_	_	
