#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=RTV Slovenija - vaša najboljša prijateljica ? Blagovna znamka ne nastane čez noč , na njej moraš nekaj časa delati , moraš pokazati ljudem , da si zaupanja vreden , da se lahko nate zanesejo , pravi radijski voditelj Andrej Karoli . Javni zavod ima številne znamke , programske in osebne , je dejal generalni direktor RTV SLO Marko Filli . Morda pa talentov ne znamo dovolj izkoristiti , je dejal in dodal , da bi se morda morali učiti od Big Banda RTV SLO in Simfoničnega orkestra , saj so v nasprotju s celotnim RTV - jem , kjer programi delujejo vsak po svoje , popolnoma usklajeni . Navzven bi morali po Fillijevem mnenju kazati enotno podobo , vsak pa bi tako bil nekoliko drugačen od drugega . Svojevrstna blagovna znamka je tudi RTV center Koper / Capodistria . Vodja RC - ja Koper / Capodistria Dragomir Mikelič je povedal zgodbo o sodelovanju s podjetjem Silvia Berlusconija in takrat , pred več kot dvema desetletjema , je bil RTV center Koper / Capodistria nekaj časa viden tudi v severni Afriki . Filli je sklenil , da lahko blagovne znamke ustvarijo samo ljudje , če dobro ustvarjajo , se dobro počutijo , imajo radi svoje delo . Blagovne znamke ne more ustvariti organizacija , je še dejal . RTV Slovenija je namreč na duhovit način z živahnimi arhivskimi televizijskimi in radijskimi posnetki na 20 . Slovenskem oglaševalskem festivalu predstavljala svoje pomembne znamke . Na predstavitvi , ki sta jo vodila radijec Matej Praprotnik in televizijka Jasmina Jamnik , so se v živo in prek posnetkov predstavili tisti , ki so sodelovali in še sodelujejo pri nastajanju znamk RTV SLO , pa tudi tisti , ki so s svojim prepoznavnim delom sami postali znamke . Z oceno čustvenih izlivov moških voditeljev in komentatorjev pa so postregle RTV - jeve predstavnice nežnejšega spola , Alenka Trlep , Petra Kos , Živa Rogelj in Marjana Grčman . Gledali oziroma poslušali smo posnetke športnih prenosov , nato pa so RTV - jeve novinarke ocenile njihove čustvene nastope in tako blagovne znamke RTV - ja predstavile na nekoliko drugačen način . Bitka med radijskimi in televizijskimi športnimi komentatorji je bila na koncu izenačena , ugotovile pa so , da so čustveni izpadi le v športu dovoljeni le za moške . Predstavitev so popestrili glasbeni vložki ritem sekcije Big Banda , spremljala pa jih Maja Keuc
1-1	0-3	RTV	ORG[1]	_	*->4-1	*[4]	
1-2	4-13	Slovenija	ORG[1]|LOC[2]	_	*->4-1|*->1-1	*[4]|*[1]	
1-3	14-15	-	_	_	_	_	
1-4	16-20	vaša	_	_	_	_	
1-5	21-30	najboljša	_	_	_	_	
1-6	31-43	prijateljica	_	_	_	_	
1-7	44-45	?	_	_	_	_	
1-8	46-54	Blagovna	_	_	_	_	
1-9	55-61	znamka	_	_	_	_	
1-10	62-64	ne	_	_	_	_	
1-11	65-72	nastane	_	_	_	_	
1-12	73-76	čez	_	_	_	_	
1-13	77-80	noč	_	_	_	_	
1-14	81-82	,	_	_	_	_	
1-15	83-85	na	_	_	_	_	
1-16	86-90	njej	_	_	_	_	
1-17	91-96	moraš	_	_	_	_	
1-18	97-102	nekaj	_	_	_	_	
1-19	103-107	časa	_	_	_	_	
1-20	108-114	delati	_	_	_	_	
1-21	115-116	,	_	_	_	_	
1-22	117-122	moraš	_	_	_	_	
1-23	123-131	pokazati	_	_	_	_	
1-24	132-138	ljudem	_	_	_	_	
1-25	139-140	,	_	_	_	_	
1-26	141-143	da	_	_	_	_	
1-27	144-146	si	_	_	_	_	
1-28	147-155	zaupanja	_	_	_	_	
1-29	156-162	vreden	_	_	_	_	
1-30	163-164	,	_	_	_	_	
1-31	165-167	da	_	_	_	_	
1-32	168-170	se	_	_	_	_	
1-33	171-176	lahko	_	_	_	_	
1-34	177-181	nate	_	_	_	_	
1-35	182-190	zanesejo	_	_	_	_	
1-36	191-192	,	_	_	_	_	
1-37	193-198	pravi	_	_	_	_	
1-38	199-207	radijski	_	3 - Nevtralno[36]	*->6-1	*[6]	
1-39	208-216	voditelj	_	3 - Nevtralno[36]	*->6-1	*[6]	
1-40	217-223	Andrej	PER[3]	3 - Nevtralno[36]	*->6-1	*[6]	
1-41	224-230	Karoli	PER[3]	3 - Nevtralno[36]	*->6-1	*[6]	
1-42	231-232	.	_	_	_	_	
1-43	233-238	Javni	_	_	_	_	
1-44	239-244	zavod	_	_	_	_	
1-45	245-248	ima	_	_	_	_	
1-46	249-257	številne	_	_	_	_	
1-47	258-264	znamke	_	_	_	_	
1-48	265-266	,	_	_	_	_	
1-49	267-277	programske	_	_	_	_	
1-50	278-280	in	_	_	_	_	
1-51	281-287	osebne	_	_	_	_	
1-52	288-289	,	_	_	_	_	
1-53	290-292	je	_	_	_	_	
1-54	293-298	dejal	_	_	_	_	
1-55	299-308	generalni	_	_	*->7-1	*[7]	
