#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Elektro Slovenija ( Eles ) je zoper predsednika uprave Taluma Danila Topleka vložil kazensko ovadbo na ptujsko okrožno državno tožilstvo . Za kazensko ovadbo so se v družbi , ki jo vodi Vitoslav Türk , odločili zaradi domnevne zlorabe položaja na skupščini Taluma , ki je potekala 25 . avgusta . Kazensko pa je Eles ovadil tudi predsedujočega na skupščini , odvetnika Miho Kozinca , in notarja Andreja Šoemena . Takrat je Toplek , kot smo že poročali , Elesu , ki je 80 - odstotni lastnik družbe iz Kidričevega , odvzel glasovalne pravice z argumentom , da jih Eles v skladu z zakonom o gospodarskih družbah še ni obvestil o lastništvu kvalificiranega deleža . Zaradi tega Eles ni mogel zamenjati dveh svojih nadzornikov v Talumu , Stanka Simoniča in Darinke Fakin , z Robertom Rožičem in Stankom Erštetom . Cilj menjave nadzornikov naj bi bila zamenjava Talumove uprave . Toplek ovadbe ni želel komentirati , ker njene vsebine še ne pozna . Na vprašanji , ali so morebiti že prejeli obvestilo o kvalificiranem deležu iz Elesa in ali je Eles mogoče že napovedal sklic nove skupščine , je Toplek odvrnil , da Eles za zdaj ni storil ne enega ne drugega . Spomnimo , da je Eles po tem , ko je uprava Taluma preklicala skupščino , na kateri bi na predlog Elesa odločali zgolj o nadzornikih , in točko uvrstila na dnevni red kasnejše skupščine 25 . avgusta , na mariborsko okrožno sodišče vložil zahtevek za izdajo pooblastila za sklic skupščine . Sodišče je , kot so sporočili iz Elesa , odločilo v njihov prid in jim izdalo pooblastilo za sklic nove skupščine . Talum se je na odločitev sodišča že pritožil . V Elesu pojasnjujejo : " Sodišče je v razlogih za odločitev navedlo , da zasedanje skupščine 25 . avgusta družbe Talum ni bilo pravilno izvedeno , ker Elesu ni bilo dovoljeno glasovati . Zaradi tega se izvedba skupščine z napakami ne more upoštevati kot izpolnitev delničarjeve zahteve po sklicu skupščine . " Zoper sklepe te skupščine bo Eles zato vložil izpodbojno tožbo in odškodninske tožbene zahtevke zoper nekatere posameznike . Zoper koga jih bodo vložili , v Elesu včeraj niso pojasnili
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->2-1	*[2]	
1-2	10-11	-	_	_	_	_	
1-3	12-19	Elektro	ORG[1]	_	*->12-1	*[12]	
1-4	20-29	Slovenija	ORG[1]|LOC[2]	3 - Nevtralno	*->12-1|*->11-1	*[12]|*[11]	
1-5	30-31	(	_	_	_	_	
1-6	32-36	Eles	ORG	_	*->12-2	*[12]	
1-7	37-38	)	_	_	_	_	
1-8	39-41	je	_	_	_	_	
1-9	42-47	zoper	_	_	_	_	
1-10	48-59	predsednika	_	_	*->13-1	*[13]	
1-11	60-66	uprave	_	_	*->13-1	*[13]	
1-12	67-73	Taluma	ORG	_	*->13-1|*->1-1	*[13]|*[1]	
1-13	74-80	Danila	PER[3]	_	*->13-1	*[13]	
1-14	81-88	Topleka	PER[3]	_	*->13-1	*[13]	
1-15	89-95	vložil	_	_	_	_	
1-16	96-104	kazensko	_	_	_	_	
1-17	105-111	ovadbo	_	_	_	_	
1-18	112-114	na	_	_	_	_	
1-19	115-122	ptujsko	_	_	_	_	
1-20	123-130	okrožno	_	_	_	_	
1-21	131-138	državno	_	_	_	_	
1-22	139-148	tožilstvo	_	_	_	_	
1-23	149-150	.	_	_	_	_	
1-24	151-153	Za	_	_	_	_	
1-25	154-162	kazensko	_	_	_	_	
1-26	163-169	ovadbo	_	_	_	_	
1-27	170-172	so	_	_	_	_	
1-28	173-175	se	_	_	_	_	
1-29	176-177	v	_	_	_	_	
1-30	178-184	družbi	_	_	*->12-3	*[12]	
1-31	185-186	,	_	_	_	_	
1-32	187-189	ki	_	_	_	_	
1-33	190-192	jo	_	_	*->12-4	*[12]	
1-34	193-197	vodi	_	_	_	_	
1-35	198-206	Vitoslav	ORG[4]	3 - Nevtralno[11]	*->10-1	*[10]	
1-36	207-211	Türk	ORG[4]	3 - Nevtralno[11]	*->10-1	*[10]	
1-37	212-213	,	_	_	_	_	
1-38	214-222	odločili	_	_	_	_	
1-39	223-229	zaradi	_	_	_	_	
1-40	230-238	domnevne	_	_	_	_	
1-41	239-246	zlorabe	_	_	_	_	
1-42	247-255	položaja	_	_	_	_	
1-43	256-258	na	_	_	_	_	
1-44	259-268	skupščini	_	_	_	_	
1-45	269-275	Taluma	ORG	_	*->1-2	*[1]	
1-46	276-277	,	_	_	_	_	
1-47	278-280	ki	_	_	_	_	
1-48	281-283	je	_	_	_	_	
1-49	284-292	potekala	_	_	_	_	
