#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - " Za podatek , da je za imenovanje nove uprave Istrabenza na seji nadzornega sveta glasovala tudi predstavnica Petrola , sem izvedel šele pred nekaj minutami . Vsekakor pa bom upravo Petrola prosil za pojasnila . " Tako je Tomaž Kuntarič , predsednik nadzornega sveta Petrola , največjega lastnika Istrabenza , včeraj popoldne komentiral torkovo sejo nadzornikov Istrabenza , na kateri so ti imenovali novo tričlansko upravo , ki jo bo vodil Bogdan Topič , v njej pa bosta sedela tudi donedavni prvi mož Istrabenza Igor Bavčar in njegov svetovalec Rudi Grbec . " Vem , da si je uprava Petrola prizadevala , da ne bi prišlo do imenovanja uprave še pred nastopom mandata novih Istrabenzovih nadzornikov . Zakaj je predstavnica Petrola ( članica uprave Alenka Vrhovnik Težak , op . a . ) imenovanje podprla , ne vem , bom pa še izvedel , " je dejal Kuntarič . V Petrolu , ki ga vodi Marko Kryžanowski , včeraj niso želeli dajati izjav . Po informacijah iz virov blizu družbe pa je Vrhovnik - Težakova imenovanje uprave podprla , ker domnevno ni imela druge možnosti . Če nadzorni svet Istrabenzove uprave ne bi imenoval še ta teden , bi namreč koprski holding najmanj dva tedna ostal brez vodstva . Omenjena razlaga ima najmanj dve luknji . Prvič , če Vrhovnik - Težakova ni želela glasovati proti imenovanju , ker bi dal nadzorni svet s tem bankam vedeti , da pred odločilnimi pogovori o sanaciji ni enoten , bi se lahko glasovanja vsaj vzdržala . In drugič , to bi lahko javno utemeljila tudi z dejstvom , da upravo Istrabenza po statutu družbe zastopa tudi član uprave skupaj s predsednikom ali članom uprave . Povedano preprosteje , tekoče posle do imenovanja nove uprave bi lahko opravljala tudi zdaj že nekdanja člana uprave Bogdan Topič in Tamara Jerman , pri čemer bi morali nadzorniki po 15 . maju enega izmed njiju imenovati za predsednika uprave . Če so tej možnosti res odkrito nasprotovali zgolj " Bavčarjevi " člani nadzornega sveta z Bojanom Korsiko na čelu , bi Vrhovnik - Težakovi še vedno ostala možnost odstopa . Petrol bi namreč tudi v tem primeru ostal brez " svojega " nadzornika le dva tedna , saj bi že 1 . junija mandat nastopili novi nadzorniki , med katerimi so kar trije iz vrst Petrola . Razpletlo pa se je povsem drugače . Domača naftna družba je tako kot edini od večjih lastnikov ( Maksima Holding in NFD ) ostala brez " svojega " človeka v upravi Istrabenza . Na vprašanje , ali si bo Petrol večji vpliv v Istrabenzu zdaj skušal zagotoviti s sodelovanjem pri dokapitalizaciji , prek katere bi si zagotovil večino delnic , je Tomaž Kuntarič odgovoril , da " nadzorniki o tem še niso razpravljali " . Še vedno pa ni znano , ali in kdaj bodo svojega prokurista v upravo Istrabenza imenovale banke upnice . " Izročili smo jim zapisnik sestanka uprave z Borisom Stefančičem iz mednarodne svetovalne hiše A . T . Kearney , zdaj pa čakamo na njihov odgovor . Kot smo razumeli , gre za njihovega kandidata , " je včeraj pojasnil novi prvi mož Istrabenza Bogdan Topič . Na vprašanje , kako bo lahko samostojno in učinkovito vodil Istrabenz , če v upravi ostaja njen dolgoletni prvi mož ( skupaj s svojim donedavnim svetovalcem ) , pa je Topič odgovoril : " Neracionalno obnašanje v prihodnjih dveh mesecev ne bo nikomur v interesu . Konec koncev pa ne vem , zakaj bi Bavčar delal nekaj na škodo svoje lastnine .
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-13	"	_	_	_	_	
1-4	14-16	Za	_	_	_	_	
1-5	17-24	podatek	_	_	_	_	
1-6	25-26	,	_	_	_	_	
1-7	27-29	da	_	_	_	_	
1-8	30-32	je	_	_	_	_	
1-9	33-35	za	_	_	_	_	
1-10	36-46	imenovanje	_	_	_	_	
1-11	47-51	nove	_	_	_	_	
1-12	52-58	uprave	_	_	_	_	
1-13	59-69	Istrabenza	ORG	_	*->2-1	*[2]	
1-14	70-72	na	_	_	_	_	
1-15	73-77	seji	_	_	_	_	
1-16	78-88	nadzornega	_	_	_	_	
1-17	89-94	sveta	_	_	_	_	
1-18	95-104	glasovala	_	_	_	_	
1-19	105-109	tudi	_	_	_	_	
1-20	110-122	predstavnica	_	_	*->3-1	*[3]	
1-21	123-130	Petrola	ORG	_	*->3-1|*->15-1	*[3]|*[15]	
1-22	131-132	,	_	_	_	_	
1-23	133-136	sem	_	_	_	_	
1-24	137-144	izvedel	_	_	*->16-1	*[16]	
1-25	145-149	šele	_	_	_	_	
1-26	150-154	pred	_	_	_	_	
1-27	155-160	nekaj	_	_	_	_	
1-28	161-169	minutami	_	_	_	_	
1-29	170-171	.	_	_	_	_	
1-30	172-180	Vsekakor	_	_	_	_	
1-31	181-183	pa	_	_	_	_	
1-32	184-187	bom	_	_	_	_	
1-33	188-194	upravo	_	_	_	_	
1-34	195-202	Petrola	ORG	_	*->15-2	*[15]	
1-35	203-209	prosil	_	_	*->16-2	*[16]	
1-36	210-212	za	_	_	_	_	
1-37	213-222	pojasnila	_	_	_	_	
1-38	223-224	.	_	_	_	_	
1-39	225-226	"	_	_	_	_	
1-40	227-231	Tako	_	_	_	_	
1-41	232-234	je	_	_	_	_	
1-42	235-240	Tomaž	PER[1]	_	*->16-3	*[16]	
1-43	241-249	Kuntarič	PER[1]	_	*->16-3	*[16]	
1-44	250-251	,	_	_	_	_	
1-45	252-262	predsednik	_	_	*->16-4	*[16]	
1-46	263-273	nadzornega	_	_	*->16-4	*[16]	
1-47	274-279	sveta	_	_	*->16-4	*[16]	
1-48	280-287	Petrola	ORG	_	*->16-4|*->15-3	*[16]|*[15]	
1-49	288-289	,	_	_	*->16-4|*->15-3	*[16]|*[15]	
1-50	290-300	največjega	_	_	*->16-4|*->15-3	*[16]|*[15]	
1-51	301-309	lastnika	_	_	*->16-4|*->15-3	*[16]|*[15]	
1-52	310-320	Istrabenza	ORG	_	*->16-4|*->15-3|*->2-2	*[16]|*[15]|*[2]	
1-53	321-322	,	_	_	_	_	
1-54	323-329	včeraj	_	_	_	_	
1-55	330-338	popoldne	_	_	_	_	
1-56	339-349	komentiral	_	_	_	_	
1-57	350-357	torkovo	_	_	_	_	
1-58	358-362	sejo	_	_	_	_	
1-59	363-374	nadzornikov	_	_	_	_	
1-60	375-385	Istrabenza	ORG	_	*->2-3	*[2]	
1-61	386-387	,	_	_	_	_	
1-62	388-390	na	_	_	_	_	
1-63	391-397	kateri	_	_	_	_	
1-64	398-400	so	_	_	_	_	
1-65	401-403	ti	_	_	_	_	
1-66	404-413	imenovali	_	_	_	_	
1-67	414-418	novo	_	_	_	_	
1-68	419-429	tričlansko	_	_	_	_	
1-69	430-436	upravo	_	_	_	_	
1-70	437-438	,	_	_	_	_	
1-71	439-441	ki	_	_	_	_	
1-72	442-444	jo	_	_	_	_	
1-73	445-447	bo	_	_	_	_	
1-74	448-453	vodil	_	_	_	_	
1-75	454-460	Bogdan	PER[2]	_	*->4-1	*[4]	
1-76	461-466	Topič	PER[2]	_	*->4-1	*[4]	
1-77	467-468	,	_	_	_	_	
1-78	469-470	v	_	_	_	_	
1-79	471-475	njej	_	_	_	_	
1-80	476-478	pa	_	_	_	_	
1-81	479-484	bosta	_	_	_	_	
1-82	485-491	sedela	_	_	_	_	
1-83	492-496	tudi	_	_	_	_	
1-84	497-506	donedavni	_	_	_	_	
1-85	507-511	prvi	_	_	*->5-1	*[5]	
1-86	512-515	mož	_	_	*->5-1	*[5]	
1-87	516-526	Istrabenza	ORG	_	*->5-1|*->2-4	*[5]|*[2]	
1-88	527-531	Igor	PER[3]	_	*->5-1	*[5]	
1-89	532-538	Bavčar	PER[3]	_	*->5-1	*[5]	
1-90	539-541	in	_	_	_	_	
1-91	542-548	njegov	_	_	*->5-2	*[5]	
1-92	549-559	svetovalec	_	_	*->6-1	*[6]	
1-93	560-564	Rudi	PER[4]	_	*->6-1	*[6]	
1-94	565-570	Grbec	PER[4]	_	*->6-1	*[6]	
1-95	571-572	.	_	_	_	_	
1-96	573-574	"	_	_	_	_	
1-97	575-578	Vem	_	_	*->16-5	*[16]	
1-98	579-580	,	_	_	_	_	
1-99	581-583	da	_	_	_	_	
1-100	584-586	si	_	_	_	_	
1-101	587-589	je	_	_	_	_	
1-102	590-596	uprava	_	_	_	_	
1-103	597-604	Petrola	ORG	_	*->15-4	*[15]	
1-104	605-616	prizadevala	_	_	_	_	
1-105	617-618	,	_	_	_	_	
1-106	619-621	da	_	_	_	_	
1-107	622-624	ne	_	_	_	_	
1-108	625-627	bi	_	_	_	_	
1-109	628-634	prišlo	_	_	_	_	
1-110	635-637	do	_	_	_	_	
1-111	638-648	imenovanja	_	_	_	_	
1-112	649-655	uprave	_	_	_	_	
1-113	656-658	še	_	_	_	_	
1-114	659-663	pred	_	_	_	_	
1-115	664-672	nastopom	_	_	_	_	
1-116	673-680	mandata	_	_	_	_	
1-117	681-686	novih	_	_	_	_	
1-118	687-700	Istrabenzovih	ORG	_	*->2-5	*[2]	
1-119	701-712	nadzornikov	_	_	_	_	
1-120	713-714	.	_	_	_	_	
1-121	715-720	Zakaj	_	_	_	_	
1-122	721-723	je	_	_	_	_	
1-123	724-736	predstavnica	_	_	*->7-1	*[7]	
1-124	737-744	Petrola	ORG	_	*->7-1|*->15-5	*[7]|*[15]	
1-125	745-746	(	_	_	_	_	
1-126	747-754	članica	_	_	*->7-2	*[7]	
1-127	755-761	uprave	_	_	*->7-2	*[7]	
1-128	762-768	Alenka	PER[5]	_	*->7-2	*[7]	
1-129	769-777	Vrhovnik	PER[5]	_	*->7-2	*[7]	
1-130	778-783	Težak	PER[5]	_	*->7-2	*[7]	
1-131	784-785	,	_	_	_	_	
1-132	786-788	op	_	_	_	_	
1-133	789-790	.	_	_	_	_	
1-134	791-792	a	_	_	_	_	
1-135	793-794	.	_	_	_	_	
1-136	795-796	)	_	_	_	_	
1-137	797-807	imenovanje	_	_	_	_	
1-138	808-815	podprla	_	_	_	_	
1-139	816-817	,	_	_	_	_	
1-140	818-820	ne	_	_	_	_	
1-141	821-824	vem	_	_	*->16-6	*[16]	
1-142	825-826	,	_	_	_	_	
1-143	827-830	bom	_	_	_	_	
1-144	831-833	pa	_	_	_	_	
1-145	834-836	še	_	_	_	_	
1-146	837-844	izvedel	_	_	*->16-7	*[16]	
1-147	845-846	,	_	_	_	_	
1-148	847-848	"	_	_	_	_	
1-149	849-851	je	_	_	_	_	
1-150	852-857	dejal	_	_	_	_	
1-151	858-866	Kuntarič	PER	_	*->16-8	*[16]	
1-152	867-868	.	_	_	_	_	
1-153	869-870	V	_	_	_	_	
1-154	871-878	Petrolu	ORG	_	*->15-6	*[15]	
1-155	879-880	,	_	_	_	_	
1-156	881-883	ki	_	_	_	_	
1-157	884-886	ga	_	_	*->15-7	*[15]	
1-158	887-891	vodi	_	_	_	_	
1-159	892-897	Marko	PER[6]	3 - Nevtralno[18]	*->8-1	*[8]	
1-160	898-909	Kryžanowski	PER[6]	3 - Nevtralno[18]	*->8-1	*[8]	
1-161	910-911	,	_	_	_	_	
1-162	912-918	včeraj	_	_	_	_	
1-163	919-923	niso	_	_	_	_	
1-164	924-930	želeli	_	_	*->15-8	*[15]	
1-165	931-937	dajati	_	_	_	_	
1-166	938-943	izjav	_	_	_	_	
1-167	944-945	.	_	_	_	_	
1-168	946-948	Po	_	_	_	_	
1-169	949-961	informacijah	_	_	_	_	
1-170	962-964	iz	_	_	_	_	
1-171	965-970	virov	_	_	_	_	
1-172	971-976	blizu	_	_	_	_	
1-173	977-983	družbe	_	_	*->15-9	*[15]	
1-174	984-986	pa	_	_	_	_	
1-175	987-989	je	_	_	_	_	
1-176	990-998	Vrhovnik	PER[7]	_	*->7-3	*[7]	
1-177	999-1000	-	PER[7]	_	*->7-3	*[7]	
1-178	1001-1009	Težakova	PER[7]	_	*->7-3	*[7]	
1-179	1010-1020	imenovanje	_	_	_	_	
1-180	1021-1027	uprave	_	_	_	_	
1-181	1028-1035	podprla	_	_	_	_	
1-182	1036-1037	,	_	_	_	_	
1-183	1038-1041	ker	_	_	_	_	
1-184	1042-1050	domnevno	_	_	_	_	
1-185	1051-1053	ni	_	_	_	_	
1-186	1054-1059	imela	_	_	*->7-4	*[7]	
1-187	1060-1065	druge	_	_	_	_	
1-188	1066-1074	možnosti	_	_	_	_	
1-189	1075-1076	.	_	_	_	_	
1-190	1077-1079	Če	_	_	_	_	
1-191	1080-1088	nadzorni	_	_	_	_	
1-192	1089-1093	svet	_	_	_	_	
1-193	1094-1106	Istrabenzove	ORG	_	*->2-6	*[2]	
1-194	1107-1113	uprave	_	_	_	_	
1-195	1114-1116	ne	_	_	_	_	
1-196	1117-1119	bi	_	_	_	_	
1-197	1120-1128	imenoval	_	_	_	_	
1-198	1129-1131	še	_	_	_	_	
1-199	1132-1134	ta	_	_	_	_	
1-200	1135-1140	teden	_	_	_	_	
1-201	1141-1142	,	_	_	_	_	
1-202	1143-1145	bi	_	_	_	_	
1-203	1146-1152	namreč	_	_	_	_	
1-204	1153-1160	koprski	_	_	*->2-7	*[2]	
1-205	1161-1168	holding	_	_	*->2-7	*[2]	
1-206	1169-1176	najmanj	_	_	_	_	
1-207	1177-1180	dva	_	_	_	_	
1-208	1181-1186	tedna	_	_	_	_	
1-209	1187-1192	ostal	_	_	_	_	
1-210	1193-1197	brez	_	_	_	_	
1-211	1198-1205	vodstva	_	_	_	_	
1-212	1206-1207	.	_	_	_	_	
1-213	1208-1216	Omenjena	_	_	_	_	
1-214	1217-1224	razlaga	_	_	_	_	
1-215	1225-1228	ima	_	_	_	_	
1-216	1229-1236	najmanj	_	_	_	_	
1-217	1237-1240	dve	_	_	_	_	
1-218	1241-1247	luknji	_	_	_	_	
1-219	1248-1249	.	_	_	_	_	
1-220	1250-1255	Prvič	_	_	_	_	
1-221	1256-1257	,	_	_	_	_	
1-222	1258-1260	če	_	_	_	_	
1-223	1261-1269	Vrhovnik	PER[8]	_	*->7-5	*[7]	
1-224	1270-1271	-	PER[8]	_	*->7-5	*[7]	
1-225	1272-1280	Težakova	PER[8]	_	*->7-5	*[7]	
1-226	1281-1283	ni	_	_	_	_	
1-227	1284-1290	želela	_	_	_	_	
1-228	1291-1300	glasovati	_	_	_	_	
1-229	1301-1306	proti	_	_	_	_	
1-230	1307-1317	imenovanju	_	_	_	_	
1-231	1318-1319	,	_	_	_	_	
1-232	1320-1323	ker	_	_	_	_	
1-233	1324-1326	bi	_	_	_	_	
1-234	1327-1330	dal	_	_	_	_	
1-235	1331-1339	nadzorni	_	_	_	_	
1-236	1340-1344	svet	_	_	_	_	
1-237	1345-1346	s	_	_	_	_	
1-238	1347-1350	tem	_	_	_	_	
1-239	1351-1357	bankam	_	_	_	_	
1-240	1358-1364	vedeti	_	_	_	_	
1-241	1365-1366	,	_	_	_	_	
1-242	1367-1369	da	_	_	_	_	
1-243	1370-1374	pred	_	_	_	_	
1-244	1375-1386	odločilnimi	_	_	_	_	
1-245	1387-1395	pogovori	_	_	_	_	
1-246	1396-1397	o	_	_	_	_	
1-247	1398-1406	sanaciji	_	_	_	_	
1-248	1407-1409	ni	_	_	_	_	
1-249	1410-1416	enoten	_	_	_	_	
1-250	1417-1418	,	_	_	_	_	
1-251	1419-1421	bi	_	_	_	_	
1-252	1422-1424	se	_	_	_	_	
1-253	1425-1430	lahko	_	_	_	_	
1-254	1431-1441	glasovanja	_	_	_	_	
1-255	1442-1446	vsaj	_	_	_	_	
1-256	1447-1455	vzdržala	_	_	*->7-6	*[7]	
1-257	1456-1457	.	_	_	_	_	
1-258	1458-1460	In	_	_	_	_	
1-259	1461-1467	drugič	_	_	_	_	
1-260	1468-1469	,	_	_	_	_	
1-261	1470-1472	to	_	_	_	_	
1-262	1473-1475	bi	_	_	_	_	
1-263	1476-1481	lahko	_	_	_	_	
1-264	1482-1487	javno	_	_	_	_	
1-265	1488-1498	utemeljila	_	_	*->7-7	*[7]	
1-266	1499-1503	tudi	_	_	_	_	
1-267	1504-1505	z	_	_	_	_	
1-268	1506-1514	dejstvom	_	_	_	_	
1-269	1515-1516	,	_	_	_	_	
1-270	1517-1519	da	_	_	_	_	
1-271	1520-1526	upravo	_	_	_	_	
1-272	1527-1537	Istrabenza	ORG	_	*->2-8	*[2]	
1-273	1538-1540	po	_	_	_	_	
1-274	1541-1548	statutu	_	_	_	_	
1-275	1549-1555	družbe	_	_	_	_	
1-276	1556-1563	zastopa	_	_	_	_	
1-277	1564-1568	tudi	_	_	_	_	
1-278	1569-1573	član	_	_	_	_	
1-279	1574-1580	uprave	_	_	_	_	
1-280	1581-1587	skupaj	_	_	_	_	
1-281	1588-1589	s	_	_	_	_	
1-282	1590-1602	predsednikom	_	_	_	_	
1-283	1603-1606	ali	_	_	_	_	
1-284	1607-1613	članom	_	_	_	_	
1-285	1614-1620	uprave	_	_	_	_	
1-286	1621-1622	.	_	_	_	_	
1-287	1623-1631	Povedano	_	_	_	_	
1-288	1632-1643	preprosteje	_	_	_	_	
1-289	1644-1645	,	_	_	_	_	
1-290	1646-1652	tekoče	_	_	_	_	
1-291	1653-1658	posle	_	_	_	_	
1-292	1659-1661	do	_	_	_	_	
1-293	1662-1672	imenovanja	_	_	_	_	
1-294	1673-1677	nove	_	_	_	_	
1-295	1678-1684	uprave	_	_	_	_	
1-296	1685-1687	bi	_	_	_	_	
1-297	1688-1693	lahko	_	_	_	_	
1-298	1694-1704	opravljala	_	_	_	_	
1-299	1705-1709	tudi	_	_	_	_	
1-300	1710-1714	zdaj	_	_	_	_	
1-301	1715-1717	že	_	_	_	_	
1-302	1718-1726	nekdanja	_	_	_	_	
1-303	1727-1732	člana	_	_	_	_	
1-304	1733-1739	uprave	_	_	_	_	
1-305	1740-1746	Bogdan	PER[9]	_	*->4-2	*[4]	
1-306	1747-1752	Topič	PER[9]	_	*->4-2	*[4]	
1-307	1753-1755	in	_	_	_	_	
1-308	1756-1762	Tamara	PER[10]	2 - Negativno[19]	*->9-1	*[9]	
1-309	1763-1769	Jerman	PER[10]	2 - Negativno[19]	*->9-1	*[9]	
1-310	1770-1771	,	_	_	_	_	
1-311	1772-1775	pri	_	_	_	_	
1-312	1776-1781	čemer	_	_	_	_	
1-313	1782-1784	bi	_	_	_	_	
1-314	1785-1791	morali	_	_	_	_	
1-315	1792-1802	nadzorniki	_	_	_	_	
1-316	1803-1805	po	_	_	_	_	
1-317	1806-1808	15	_	_	_	_	
1-318	1809-1810	.	_	_	_	_	
1-319	1811-1815	maju	_	_	_	_	
1-320	1816-1821	enega	_	_	_	_	
1-321	1822-1827	izmed	_	_	_	_	
1-322	1828-1833	njiju	_	_	_	_	
1-323	1834-1843	imenovati	_	_	_	_	
1-324	1844-1846	za	_	_	_	_	
1-325	1847-1858	predsednika	_	_	_	_	
1-326	1859-1865	uprave	_	_	_	_	
1-327	1866-1867	.	_	_	_	_	
1-328	1868-1870	Če	_	_	_	_	
1-329	1871-1873	so	_	_	_	_	
1-330	1874-1877	tej	_	_	_	_	
1-331	1878-1886	možnosti	_	_	_	_	
1-332	1887-1890	res	_	_	_	_	
1-333	1891-1898	odkrito	_	_	_	_	
1-334	1899-1911	nasprotovali	_	_	_	_	
1-335	1912-1917	zgolj	_	_	_	_	
1-336	1918-1919	"	_	_	_	_	
1-337	1920-1930	Bavčarjevi	PER	_	*->5-3	*[5]	
1-338	1931-1932	"	_	_	_	_	
1-339	1933-1938	člani	_	_	_	_	
1-340	1939-1949	nadzornega	_	_	_	_	
1-341	1950-1955	sveta	_	_	_	_	
1-342	1956-1957	z	_	_	_	_	
1-343	1958-1965	Bojanom	PER[11]	2 - Negativno[20]	*->10-1	*[10]	
1-344	1966-1973	Korsiko	PER[11]	2 - Negativno[20]	*->10-1	*[10]	
1-345	1974-1976	na	_	_	_	_	
1-346	1977-1981	čelu	_	_	_	_	
1-347	1982-1983	,	_	_	_	_	
1-348	1984-1986	bi	_	_	_	_	
1-349	1987-1995	Vrhovnik	PER[12]	2 - Negativno[21]	*->7-8	*[7]	
1-350	1996-1997	-	PER[12]	2 - Negativno[21]	*->7-8	*[7]	
1-351	1998-2006	Težakovi	PER[12]	2 - Negativno[21]	*->7-8	*[7]	
1-352	2007-2009	še	_	_	_	_	
1-353	2010-2015	vedno	_	_	_	_	
1-354	2016-2022	ostala	_	_	_	_	
1-355	2023-2030	možnost	_	_	_	_	
1-356	2031-2038	odstopa	_	_	_	_	
1-357	2039-2040	.	_	_	_	_	
1-358	2041-2047	Petrol	ORG	_	*->15-10	*[15]	
1-359	2048-2050	bi	_	_	_	_	
1-360	2051-2057	namreč	_	_	_	_	
1-361	2058-2062	tudi	_	_	_	_	
1-362	2063-2064	v	_	_	_	_	
1-363	2065-2068	tem	_	_	_	_	
1-364	2069-2076	primeru	_	_	_	_	
1-365	2077-2082	ostal	_	_	_	_	
1-366	2083-2087	brez	_	_	_	_	
1-367	2088-2089	"	_	_	_	_	
1-368	2090-2097	svojega	_	_	*->15-11	*[15]	
1-369	2098-2099	"	_	_	_	_	
1-370	2100-2110	nadzornika	_	_	_	_	
1-371	2111-2113	le	_	_	_	_	
1-372	2114-2117	dva	_	_	_	_	
1-373	2118-2123	tedna	_	_	_	_	
1-374	2124-2125	,	_	_	_	_	
1-375	2126-2129	saj	_	_	_	_	
1-376	2130-2132	bi	_	_	_	_	
1-377	2133-2135	že	_	_	_	_	
1-378	2136-2137	1	_	_	_	_	
1-379	2138-2139	.	_	_	_	_	
1-380	2140-2146	junija	_	_	_	_	
1-381	2147-2153	mandat	_	_	_	_	
1-382	2154-2163	nastopili	_	_	_	_	
1-383	2164-2168	novi	_	_	_	_	
1-384	2169-2179	nadzorniki	_	_	_	_	
1-385	2180-2181	,	_	_	_	_	
1-386	2182-2185	med	_	_	_	_	
1-387	2186-2194	katerimi	_	_	_	_	
1-388	2195-2197	so	_	_	_	_	
1-389	2198-2201	kar	_	_	_	_	
1-390	2202-2207	trije	_	_	_	_	
1-391	2208-2210	iz	_	_	_	_	
1-392	2211-2215	vrst	_	_	_	_	
