#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Pogajanja o gradnji plinovoda Južni tok čez Slovenijo so se uspešno končala , slovenski in ruski premier , Borut Pahor in Vladimir Putin , pa bi lahko sporazum podpisala pred nogometno tekmo med Rusijo in Slovenijo , ki bo 14 . novembra v Moskvi , je danes poročala TV Slovenija . Pogovori o gradnji Južnega toka v Sloveniji so potekali vse od lanske pomladi , ko se je ruska energetska družba Gazprom odločila za traso plinovoda . Zadnja odprta vprašanja , pri katerih naj bi velik napredek dosegli ob zadnjem obisku slovenskih predstavnikov v Moskvi 22 . oktobra , so se nanašala na lastništvo in davčni položaj skupnega podjetja v Sloveniji . V sporazum naj bi po neuradnih informacijah , ki so jih ob oktobrskem obisku v Moskvi navajali mediji , vnesli nekatera določila , zaradi katerih naj bi bilo besedilo dogovora sprejemljivejše tudi za Evropsko komisijo . Če bi imel Gazprom v skupnem podjetju z družbo Geoplin plinovodi polovični delež , bi namreč to pomenilo , da Slovenija krši določila tretjega energetskega paketa , ki je začel veljati v začetku septembra . Ta določa , da plinovodna infrastruktura ne sme biti v lasti podjetij , ki s plinom trgujejo , prav tako pa prepoveduje lastništvo plinovodov v državah EU podjetjem iz tretjih držav . Pahor in Putin sta sporazumu posvetila veliko pozornosti med svojim prvim medsebojnim srečanjem , ki je bilo v začetku septembra v poljskem Gdansku . Takrat sta se zavzela za pospešitev pogovorov in čim prejšnji dogovor . Plinovod Južni tok je skupen projekt Gazproma in italijanske družbe Eni , sestavljala pa naj bi ga dva kraka . Poleg kraka iz Rusije , pod Črnim morjem do Bolgarije , Srbije , Madžarske in Avstrije oz . Slovenije v Italijo , naj bi v Italijo šel tudi krak , ki bi se iz Bolgarije razcepil v Grčijo in nato pod Jadranskim morjem v južno Italijo . Južni tok naj bi bil končan do leta 2015
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-21	Pogajanja	_	_	_	_	
1-4	22-23	o	_	_	_	_	
1-5	24-31	gradnji	_	_	_	_	
1-6	32-41	plinovoda	_	_	_	_	
1-7	42-47	Južni	_	_	_	_	
1-8	48-51	tok	_	_	_	_	
1-9	52-55	čez	_	_	_	_	
1-10	56-65	Slovenijo	LOC	_	*->2-1	*[2]	
1-11	66-68	so	_	_	_	_	
1-12	69-71	se	_	_	_	_	
1-13	72-79	uspešno	_	_	_	_	
1-14	80-87	končala	_	_	_	_	
1-15	88-89	,	_	_	_	_	
1-16	90-99	slovenski	_	_	_	_	
1-17	100-102	in	_	_	_	_	
1-18	103-108	ruski	_	_	_	_	
1-19	109-116	premier	_	_	_	_	
1-20	117-118	,	_	_	_	_	
1-21	119-124	Borut	PER[1]	_	*->3-1	*[3]	
1-22	125-130	Pahor	PER[1]	_	*->3-1	*[3]	
1-23	131-133	in	_	_	_	_	
1-24	134-142	Vladimir	PER[2]	_	*->4-1	*[4]	
1-25	143-148	Putin	PER[2]	_	*->4-1	*[4]	
1-26	149-150	,	_	_	_	_	
1-27	151-153	pa	_	_	_	_	
1-28	154-156	bi	_	_	_	_	
1-29	157-162	lahko	_	_	_	_	
1-30	163-171	sporazum	_	_	_	_	
1-31	172-181	podpisala	_	_	_	_	
1-32	182-186	pred	_	_	_	_	
1-33	187-196	nogometno	_	_	_	_	
1-34	197-202	tekmo	_	_	_	_	
1-35	203-206	med	_	_	_	_	
1-36	207-213	Rusijo	LOC	_	*->5-1	*[5]	
1-37	214-216	in	_	_	_	_	
1-38	217-226	Slovenijo	LOC	_	*->2-2	*[2]	
1-39	227-228	,	_	_	_	_	
1-40	229-231	ki	_	_	_	_	
1-41	232-234	bo	_	_	_	_	
1-42	235-237	14	_	_	_	_	
1-43	238-239	.	_	_	_	_	
1-44	240-248	novembra	_	_	_	_	
1-45	249-250	v	_	_	_	_	
1-46	251-257	Moskvi	LOC	_	*->6-1	*[6]	
1-47	258-259	,	_	_	_	_	
1-48	260-262	je	_	_	_	_	
1-49	263-268	danes	_	_	_	_	
1-50	269-277	poročala	_	_	_	_	
1-51	278-280	TV	ORG[3]	3 - Nevtralno[6]	*->7-1	*[7]	
1-52	281-290	Slovenija	ORG[3]|LOC[4]	3 - Nevtralno[6]	*->7-1|*->2-3	*[7]|*[2]	
1-53	291-292	.	_	_	_	_	
1-54	293-301	Pogovori	_	_	_	_	
1-55	302-303	o	_	_	_	_	
1-56	304-311	gradnji	_	_	_	_	
1-57	312-319	Južnega	_	_	_	_	
1-58	320-324	toka	_	_	_	_	
1-59	325-326	v	_	_	_	_	
1-60	327-336	Sloveniji	LOC	_	*->2-4	*[2]	
1-61	337-339	so	_	_	_	_	
1-62	340-348	potekali	_	_	_	_	
1-63	349-352	vse	_	_	_	_	
1-64	353-355	od	_	_	_	_	
1-65	356-362	lanske	_	_	_	_	
1-66	363-370	pomladi	_	_	_	_	
1-67	371-372	,	_	_	_	_	
1-68	373-375	ko	_	_	_	_	
1-69	376-378	se	_	_	_	_	
1-70	379-381	je	_	_	_	_	
1-71	382-387	ruska	_	_	*->8-1	*[8]	
1-72	388-398	energetska	_	_	*->8-1	*[8]	
1-73	399-405	družba	_	_	*->8-1	*[8]	
1-74	406-413	Gazprom	ORG	_	*->8-1	*[8]	
1-75	414-422	odločila	_	_	_	_	
1-76	423-425	za	_	_	_	_	
1-77	426-431	traso	_	_	_	_	
1-78	432-441	plinovoda	_	_	_	_	
