#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Državna revizijska komisija je delno ugodila zahtevku za revizijo postopka javnega naročila oddaje del graditve predora Markovec in razveljavila odločitev naročnika , Družbe za avtoceste v RS ( Dars ) , o oddaji javnega naročila skupini italijanskih družb v skupnem nastopu . Ugotovili so , da italijanski ponudniki niso izkazali potrebnih referenc . Dars lahko sedaj postopek javnega naročanja za izgradnjo predora Markovec nadaljuje in javno naročilo odda naslednjemu najugodnejšemu ponudniku , ki izpolnjuje vse razpisne pogoje , lahko pa postopek zaključi brez izbire ponudnika in , glede na ugotovljena nova dejstva in okoliščine , postopek javnega naročanja ponovi . Uprava Darsa bo odločitev o tem sprejela predvidoma v prihodnjem mesecu , so sporočili iz Darsa . Državna revizijska komisija se je pri pregledu zahtevka SCT in Primorja ustavila že pri referencah italijanskega ponudnika . " Niti ena od priloženih referenc ni ustrezala . Za to izbiro postopek se uporablja še star zakon o javnih naročilih , po katerem dopolnjevanja ponudbe niso mogoča , tako da italijanski ponudnik ni izkazal minimalne ustreznosti za izvedbo tega posla , " je povedal predsednik Državne revizijske komisije Samo Červek . V družbi SCT so z odločitvijo komisije zadovoljni . " Državna revizijska komisija je s svojo odločitvijo sledila zakonodaji , kar je dokaz , da v Sloveniji gremo po poti pravne države , " so v sporočilu za javnost zapisali v družbi SCT . Červek meni , da se bo izbira izvajalca , če bo Dars nadaljeval s postopkom , zavlekla za dober mesec . Če bodo postopek izbire ponovili , bo trajalo dlje časa , vendar bi lahko , če bodo " hitro ulovili roke in ravnali pametno " , stvar izvedli vsaj do začetka jeseni . Uprava Darsa je svojo odločitev o izboru najprimernejšega izvajalca za gradnjo predora Markovec sprejela " v skrbi za gospodarnost porabe finančnih sredstev in zato izbrala cenovno najugodnejšega ponudnika " , so zapisali na Darsu in dodali , da ta odločitev uprave Darsa " iz procesno formalnih razlogov s strani Državne revizijske komisije ni bila potrjena " . Na razpisu za gradnjo predora Markovec na odseku hitre ceste Koper - Izola je Dars med tremi ponudniki izbral skupino italijanskih podjetij v skupnem nastopu ( Vidoni , Oberosler cav . Pietro in Intercantieri Vittadello ) . Poleg Italijanov sta se za gradnjo potegovala tudi konzorcij , ki ga sestavljata SCT in Primorje , ter avstrijski Strabag . SCT in Primorje sta marca vložila zahtevek za revizijo postopka izbire , Dars je zahtevek zavrnil z utemeljitvijo , da je to javno naročilo oddal skladno z načelom dobrega gospodarja
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->7-1	*[7]	
1-2	10-11	-	_	_	_	_	
1-3	12-19	Državna	ORG[1]	_	*->1-1	*[1]	
1-4	20-30	revizijska	ORG[1]	_	*->1-1	*[1]	
1-5	31-39	komisija	ORG[1]	_	*->1-1	*[1]	
1-6	40-42	je	_	_	_	_	
1-7	43-48	delno	_	_	_	_	
1-8	49-56	ugodila	_	_	_	_	
1-9	57-65	zahtevku	_	_	_	_	
1-10	66-68	za	_	_	_	_	
1-11	69-77	revizijo	_	_	_	_	
1-12	78-86	postopka	_	_	_	_	
1-13	87-94	javnega	_	_	_	_	
1-14	95-103	naročila	_	_	_	_	
1-15	104-110	oddaje	_	_	_	_	
1-16	111-114	del	_	_	_	_	
1-17	115-123	graditve	_	_	_	_	
1-18	124-131	predora	_	_	_	_	
1-19	132-140	Markovec	_	_	_	_	
1-20	141-143	in	_	_	_	_	
1-21	144-156	razveljavila	_	_	*->1-2	*[1]	
1-22	157-166	odločitev	_	_	_	_	
1-23	167-176	naročnika	_	_	_	_	
1-24	177-178	,	_	_	_	_	
1-25	179-185	Družbe	ORG[2]	_	*->10-1	*[10]	
1-26	186-188	za	ORG[2]	_	*->10-1	*[10]	
1-27	189-198	avtoceste	ORG[2]	_	*->10-1	*[10]	
1-28	199-200	v	ORG[2]	_	*->10-1	*[10]	
1-29	201-203	RS	ORG[2]	_	*->10-1	*[10]	
1-30	204-205	(	_	_	_	_	
1-31	206-210	Dars	ORG	_	*->10-2	*[10]	
1-32	211-212	)	_	_	_	_	
1-33	213-214	,	_	_	_	_	
1-34	215-216	o	_	_	_	_	
1-35	217-223	oddaji	_	_	_	_	
1-36	224-231	javnega	_	_	_	_	
1-37	232-240	naročila	_	_	_	_	
1-38	241-248	skupini	_	_	_	_	
1-39	249-261	italijanskih	_	_	_	_	
1-40	262-267	družb	_	_	_	_	
1-41	268-269	v	_	_	_	_	
1-42	270-277	skupnem	_	_	_	_	
1-43	278-285	nastopu	_	_	_	_	
1-44	286-287	.	_	_	_	_	
1-45	288-297	Ugotovili	_	_	*->1-3	*[1]	
1-46	298-300	so	_	_	_	_	
1-47	301-302	,	_	_	_	_	
1-48	303-305	da	_	_	_	_	
1-49	306-317	italijanski	_	_	_	_	
1-50	318-327	ponudniki	_	_	_	_	
1-51	328-332	niso	_	_	_	_	
1-52	333-341	izkazali	_	_	_	_	
1-53	342-351	potrebnih	_	_	_	_	
1-54	352-360	referenc	_	_	_	_	
1-55	361-362	.	_	_	_	_	
1-56	363-367	Dars	ORG	_	*->10-3	*[10]	
1-57	368-373	lahko	_	_	_	_	
1-58	374-379	sedaj	_	_	_	_	
1-59	380-388	postopek	_	_	_	_	
1-60	389-396	javnega	_	_	_	_	
