#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Velenje - Savinjsko - šaleški gospodarstveniki so predsednika SDS Janeza Janšo opozorili na številne težave , s katerimi se srečujejo . Kot je povedal Janša , gospodarstvenike pestijo zlasti dolgi plačilni roki , plačilna nedisciplina in finančni krč . Ob tem je okrcal banke , da financirajo projekte , kot je ljubljanski stadion , podjetje pa težko pridejo do posojil . Predsednik SDS Janša je na današnji novinarski konferenci ob obisku SDS v regiji dejal , da je vlada napovedala številne ukrepe , vendar se gospodarske razmere ne izboljšujejo . Tako je konzorcij bank , v katerem je tudi državna Nova Ljubljanska banka ( NLB ) , za projekt izgradnje nogometnega igrišča v Stožicah odobril 150 milijonov evrov posojil , medtem ko delodajalci , ki ustvarjajo delovna mesta in dodano vrednost , težko pridejo do posojil . Ob tem je ugotovil , da je očitno možno dobiti denar za nekatere projekte , kot je nogometno igrišče , čeprav prinaša malo delovnih mest . Če bo vlada nadaljevala s takšno prakso , bodo po Janševih napovedih v SDS razmislili o izredni seji v DZ . Sicer prvak SDS navaja , da Ljubljana potrebuje nogometno igrišče , vendar se pri tem sprašuje , če je to res prioriteta v času gospodarske recesije . Dodal je , da gospodarska kriza ni razlog , da se ne bi gradilo , prav nasprotno in pri tem izpostavil primer Poljske , ki se je krizi izognila z vlaganji v velike infrastrukturne projekte . Vodja poslanske skupine SDS Jože Tanko pa je v ospredje postavil pokrajinsko zakonodajo . Po njegovem mnenju vladajoča koalicija na tem področju ni naredila ničesar , čeprav je zagotavljala , da je to tudi njena prioriteta . Tanko je spomnil , da je SDS vložila paket pokrajinske zakonodaje oz . šest zakonov s tega področja , vendar je vlada vse njihove predloge zavrnila . Pahorjeva vlada nima težav le s pokrajinami , je prepričan Tanko , ampak tudi z razpisi za lokalne skupnosti . Eden večjih je tudi ta , da se utegne zgoditi , da vlada črta iz nacionalne strategije nekatere pomembne gospodarske projekte , kot so tretja razvojna os , tretja A os in četrta razvojna os . " Za to vlado te osi niso več drugorazredna prioriteta , temveč sploh niso več prioriteta , " pravi Tanko . Poslanec SDS Iztok Podkrižnik je opozoril , da je v Sloveniji previsok strošek dela , kar nas pelje na napačno pot . Številnim gospodarskim družbam tako primanjkuje naročil , gospodarska konkurenčnost pa se zmanjšuje . Prepričan je , da turizem v Savinjsko - šaleški regiji ne more dosegati dodane vrednosti , če ne bo vzpostavljena ustrezna infrastruktura oz . skupna blagovna znamka
1-1	0-7	Velenje	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	8-9	-	_	_	_	_	
1-3	10-19	Savinjsko	_	_	_	_	
1-4	20-21	-	_	_	_	_	
1-5	22-29	šaleški	_	_	_	_	
1-6	30-46	gospodarstveniki	_	_	_	_	
1-7	47-49	so	_	_	_	_	
1-8	50-61	predsednika	_	_	*->7-1	*[7]	
1-9	62-65	SDS	ORG	_	*->7-1|*->5-1	*[7]|*[5]	
1-10	66-72	Janeza	PER[1]	_	*->7-1	*[7]	
1-11	73-78	Janšo	PER[1]	_	*->7-1	*[7]	
1-12	79-88	opozorili	_	_	_	_	
1-13	89-91	na	_	_	_	_	
1-14	92-100	številne	_	_	_	_	
1-15	101-107	težave	_	_	_	_	
1-16	108-109	,	_	_	_	_	
1-17	110-111	s	_	_	_	_	
1-18	112-120	katerimi	_	_	_	_	
1-19	121-123	se	_	_	_	_	
1-20	124-133	srečujejo	_	_	_	_	
1-21	134-135	.	_	_	_	_	
1-22	136-139	Kot	_	_	_	_	
1-23	140-142	je	_	_	_	_	
1-24	143-150	povedal	_	_	_	_	
1-25	151-156	Janša	PER	_	*->7-2	*[7]	
1-26	157-158	,	_	_	_	_	
1-27	159-175	gospodarstvenike	_	_	_	_	
1-28	176-183	pestijo	_	_	_	_	
1-29	184-190	zlasti	_	_	_	_	
1-30	191-196	dolgi	_	_	_	_	
1-31	197-205	plačilni	_	_	_	_	
1-32	206-210	roki	_	_	_	_	
1-33	211-212	,	_	_	_	_	
1-34	213-221	plačilna	_	_	_	_	
1-35	222-234	nedisciplina	_	_	_	_	
1-36	235-237	in	_	_	_	_	
1-37	238-246	finančni	_	_	_	_	
1-38	247-250	krč	_	_	_	_	
1-39	251-252	.	_	_	_	_	
1-40	253-255	Ob	_	_	_	_	
1-41	256-259	tem	_	_	_	_	
1-42	260-262	je	_	_	_	_	
1-43	263-269	okrcal	_	_	*->7-3	*[7]	
1-44	270-275	banke	_	_	_	_	
1-45	276-277	,	_	_	_	_	
1-46	278-280	da	_	_	_	_	
1-47	281-292	financirajo	_	_	_	_	
1-48	293-301	projekte	_	_	_	_	
1-49	302-303	,	_	_	_	_	
1-50	304-307	kot	_	_	_	_	
1-51	308-310	je	_	_	_	_	
1-52	311-322	ljubljanski	_	_	_	_	
1-53	323-330	stadion	_	_	_	_	
1-54	331-332	,	_	_	_	_	
1-55	333-341	podjetje	_	_	_	_	
1-56	342-344	pa	_	_	_	_	
1-57	345-350	težko	_	_	_	_	
1-58	351-358	pridejo	_	_	_	_	
1-59	359-361	do	_	_	_	_	
1-60	362-369	posojil	_	_	_	_	
1-61	370-371	.	_	_	_	_	
1-62	372-382	Predsednik	_	_	*->7-4	*[7]	
