#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Celje - Cinkarna Celje je na celjsko okrožno sodišče vložila tožbo za plačilo odškodnine 30.000 evrov in stroškov postopka proti koordinatorju Civilnih iniciativ Celje Borisu Šuštarju . Članica uprave družbe Nikolaja Podgoršek Selič je danes povedala , da so tožbo vložili , ker je Šuštar blatil ime podjetja . Podgoršek Seličeva je dejala , da je Šuštar podal več izjav glede Cinkarne Celje , ki jih je uprava družbe potem ovrgla . Predvsem uprava Cinkarne Celje Šuštarju oz . Celjskim civilnim iniciativam očita , da so manipulirali s podatki o vsebnosti talija v sadri na deponiji . " Imeli smo dovolj dokazov , da smo ovrgli navedbe Šuštarja in smo se odločili zaščiti ime podjetja ter interese naših zaposlenih , " je še pojasnila Podgoršek Seličeva . Že na aprilski novinarski konferenci je predsednik uprave Cinkarne Celje Tomaž Benčina dejal , da so Celjske civilne iniciative pri Zavodu za zdravstveno varstvo ( ZZV ) Maribor naknadno naročile analizo strupenega talija v istem vzorcu , ki je bil poslan nedavno v kanadski laboratorij . Iz kanadskega laboratorija so po opravljeni analizi sporočili , da talija v vzorcu sadre titanovega dioksida niso zasledili , do enakih izsledkov so prišli tudi v ZZV Maribor . " Rezultat , ki Celjskim civilnim iniciativam očitno ni ustrezal , so širši javnosti preprosto zamolčale . Iz tega sklepamo , da iniciative manipulirajo s podatki in da njihov namen ni ugotavljanje verodostojnosti izjav in rezultatov Cinkarne Celje , " je takrat ocenil Benčina . Šuštar pa je danes znova poudaril , da je Cinkarna Celje tovarna , ki je s svojim delovanjem od ustanovitve grozovito uničila okolje in za stoletja onemogočila normalno , zdravo življenje prebivalstva celjske kotline . Po navedbah Šuštarja je Cinkarna Celje prikrila raziskavo krvi delavcev družbe , kjer je imelo kar 60 odstotkov poškodovane kromosome , kar vodstvo cinkarne zavrača kot neresnično navedbo . " Na podlagi vseh uradnih podatkov , strokovnih analiz , ki smo jih plačevali sami , utemeljeno in legitimno opozarjamo na nesprejemljivost delovanja tako ekološko sporne in nesprejemljive industrije sredi Celja . Tudi z vloženo tožbo , s katero poskušajo skrajno nesprejemljivo ustrahovati predstavnike civilne družbe , nas ne bodo ustavili , " je še povedal Šuštar
1-1	0-5	Celje	LOC	_	*->1-1	*[1]	
1-2	6-7	-	_	_	_	_	
1-3	8-16	Cinkarna	ORG[1]	_	*->7-1	*[7]	
1-4	17-22	Celje	ORG[1]|LOC[2]	_	*->7-1|*->1-2	*[7]|*[1]	
1-5	23-25	je	_	_	_	_	
1-6	26-28	na	_	_	_	_	
1-7	29-36	celjsko	_	_	_	_	
1-8	37-44	okrožno	_	_	_	_	
1-9	45-52	sodišče	_	_	_	_	
1-10	53-60	vložila	_	_	_	_	
1-11	61-66	tožbo	_	_	_	_	
1-12	67-69	za	_	_	_	_	
1-13	70-77	plačilo	_	_	_	_	
1-14	78-88	odškodnine	_	_	_	_	
1-15	89-95	30.000	_	_	_	_	
1-16	96-101	evrov	_	_	_	_	
1-17	102-104	in	_	_	_	_	
1-18	105-113	stroškov	_	_	_	_	
1-19	114-122	postopka	_	_	_	_	
1-20	123-128	proti	_	_	_	_	
1-21	129-142	koordinatorju	_	_	*->3-1	*[3]	
1-22	143-151	Civilnih	ORG[3]	_	*->3-1|*->2-1	*[3]|*[2]	
1-23	152-161	iniciativ	ORG[3]	_	*->3-1|*->2-1	*[3]|*[2]	
1-24	162-167	Celje	ORG[3]|LOC[4]	_	*->3-1|*->2-1|*->1-3	*[3]|*[2]|*[1]	
1-25	168-174	Borisu	PER[5]	_	*->3-1	*[3]	
1-26	175-183	Šuštarju	PER[5]	_	*->3-1	*[3]	
1-27	184-185	.	_	_	_	_	
1-28	186-193	Članica	_	_	*->4-1	*[4]	
1-29	194-200	uprave	_	_	*->4-1	*[4]	
1-30	201-207	družbe	_	_	*->4-1|*->7-2	*[4]|*[7]	
1-31	208-216	Nikolaja	PER[6]	_	*->4-1	*[4]	
1-32	217-226	Podgoršek	PER[6]	_	*->4-1	*[4]	
1-33	227-232	Selič	PER[6]	_	*->4-1	*[4]	
1-34	233-235	je	_	_	_	_	
1-35	236-241	danes	_	_	_	_	
1-36	242-250	povedala	_	_	_	_	
1-37	251-252	,	_	_	_	_	
1-38	253-255	da	_	_	_	_	
1-39	256-258	so	_	_	_	_	
1-40	259-264	tožbo	_	_	_	_	
1-41	265-272	vložili	_	_	*->7-3	*[7]	
1-42	273-274	,	_	_	_	_	
1-43	275-278	ker	_	_	_	_	
1-44	279-281	je	_	_	_	_	
1-45	282-288	Šuštar	PER	_	*->3-2	*[3]	
1-46	289-295	blatil	_	_	_	_	
1-47	296-299	ime	_	_	_	_	
1-48	300-308	podjetja	_	_	*->7-4	*[7]	
1-49	309-310	.	_	_	_	_	
1-50	311-320	Podgoršek	PER[7]	_	*->4-2	*[4]	
1-51	321-329	Seličeva	PER[7]	_	*->4-2	*[4]	
1-52	330-332	je	_	_	_	_	
1-53	333-339	dejala	_	_	_	_	
1-54	340-341	,	_	_	_	_	
1-55	342-344	da	_	_	_	_	
1-56	345-347	je	_	_	_	_	
1-57	348-354	Šuštar	PER	_	*->3-3	*[3]	
1-58	355-360	podal	_	_	_	_	
1-59	361-364	več	_	_	_	_	
1-60	365-370	izjav	_	_	_	_	
1-61	371-376	glede	_	_	_	_	
1-62	377-385	Cinkarne	ORG[8]	_	*->7-5	*[7]	
1-63	386-391	Celje	ORG[8]|LOC[9]	_	*->7-5|*->1-4	*[7]|*[1]	
1-64	392-393	,	_	_	_	_	
1-65	394-396	ki	_	_	_	_	
1-66	397-400	jih	_	_	_	_	
1-67	401-403	je	_	_	_	_	
1-68	404-410	uprava	_	_	_	_	
1-69	411-417	družbe	_	_	_	_	
1-70	418-423	potem	_	_	_	_	
1-71	424-430	ovrgla	_	_	_	_	
1-72	431-432	.	_	_	_	_	
1-73	433-441	Predvsem	_	_	_	_	
1-74	442-448	uprava	_	_	_	_	
1-75	449-457	Cinkarne	ORG[10]	_	*->7-6	*[7]	
1-76	458-463	Celje	ORG[10]|LOC[11]	_	*->7-6|*->1-5	*[7]|*[1]	
1-77	464-472	Šuštarju	PER	_	*->3-4	*[3]	
1-78	473-475	oz	_	_	_	_	
1-79	476-477	.	_	_	_	_	
1-80	478-486	Celjskim	ORG[12]	_	*->2-2	*[2]	
1-81	487-495	civilnim	ORG[12]	_	*->2-2	*[2]	
1-82	496-507	iniciativam	ORG[12]	_	*->2-2	*[2]	
1-83	508-513	očita	_	_	_	_	
1-84	514-515	,	_	_	_	_	
1-85	516-518	da	_	_	_	_	
1-86	519-521	so	_	_	_	_	
1-87	522-534	manipulirali	_	_	*->2-3	*[2]	
1-88	535-536	s	_	_	_	_	
1-89	537-544	podatki	_	_	_	_	
1-90	545-546	o	_	_	_	_	
1-91	547-556	vsebnosti	_	_	_	_	
1-92	557-563	talija	_	_	_	_	
1-93	564-565	v	_	_	_	_	
1-94	566-571	sadri	_	_	_	_	
1-95	572-574	na	_	_	_	_	
1-96	575-583	deponiji	_	_	_	_	
1-97	584-585	.	_	_	_	_	
1-98	586-587	"	_	_	_	_	
1-99	588-593	Imeli	_	_	*->7-7	*[7]	
1-100	594-597	smo	_	_	_	_	
1-101	598-604	dovolj	_	_	_	_	
1-102	605-612	dokazov	_	_	_	_	
1-103	613-614	,	_	_	_	_	
1-104	615-617	da	_	_	_	_	
1-105	618-621	smo	_	_	_	_	
1-106	622-628	ovrgli	_	_	*->7-8	*[7]	
1-107	629-636	navedbe	_	_	_	_	
1-108	637-645	Šuštarja	PER	_	*->3-5	*[3]	
1-109	646-648	in	_	_	_	_	
1-110	649-652	smo	_	_	_	_	
1-111	653-655	se	_	_	_	_	
1-112	656-664	odločili	_	_	*->7-9	*[7]	
1-113	665-672	zaščiti	_	_	_	_	
1-114	673-676	ime	_	_	_	_	
1-115	677-685	podjetja	_	_	*->7-10	*[7]	
1-116	686-689	ter	_	_	_	_	
1-117	690-698	interese	_	_	_	_	
1-118	699-704	naših	_	_	_	_	
1-119	705-715	zaposlenih	_	_	_	_	
1-120	716-717	,	_	_	_	_	
1-121	718-719	"	_	_	_	_	
1-122	720-722	je	_	_	_	_	
1-123	723-725	še	_	_	_	_	
1-124	726-735	pojasnila	_	_	_	_	
1-125	736-745	Podgoršek	PER[13]	4 - Pozitivno[29]	*->4-3	*[4]	
1-126	746-754	Seličeva	PER[13]	4 - Pozitivno[29]	*->4-3	*[4]	
1-127	755-756	.	_	_	_	_	
1-128	757-759	Že	_	_	_	_	
1-129	760-762	na	_	_	_	_	
1-130	763-771	aprilski	_	_	_	_	
1-131	772-782	novinarski	_	_	_	_	
1-132	783-793	konferenci	_	_	_	_	
1-133	794-796	je	_	_	_	_	
1-134	797-807	predsednik	_	_	*->5-1	*[5]	
1-135	808-814	uprave	_	_	*->5-1	*[5]	
1-136	815-823	Cinkarne	ORG[14]	_	*->5-1|*->7-11	*[5]|*[7]	
