#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Nova Slovenija je podprla prizadevanja ankaranske civilne iniciative za ustanovitev občine Ankaran . Koprski občinski svetniki so imeli na dnevnem redu včerajšnje seje predlog za začetek postopka za spremembo območij naselij v občini , čemur nasprotujejo v krajevni skupnosti ( KS ) Ankaran . " Sprejeli smo sklep , da smo proti spreminjanju meja naselij v koprski občini , " pravi Boštjan Hrabar , novi predsednik ankaranske KS . Zdaj bodo počakali na odločitev občinskih svetnikov . " S pobudo za ustanovitev občine Ankaran nismo uradno seznanjeni . " Mojca Beljan iz koprske občine Spor zaradi pristanišča Predlog , pod katerega je podpisan koprski župan Boris Popovič , predvideva , da se iz naselja Ankaran administrativno izloči območje koprskega pristanišča , ki naj bi kot enotna ekonomska cona spadalo pod naselje Koper . Ankarančani se bojijo predvsem , da ne bi imeli več besede glede ekološke problematike in davščin povezanih s pristaniščem , kar je za Žunal24 povedal že Oliver Morgan , eden izmed 165 Ankarančanov , ki bi v primeru spremembe meja naselij " postal " Koprčan . Morgan je na ustavnem sodišču enkrat že dosegel , da so tak občinski odlok razveljavili . Poslanska pobuda NSi Anton Kokalj , poslanec NSi , pa je včeraj presenetil z vložitvijo predloga za začetek postopka za ustanovitev občine Ankaran , ki bi obsegala meje sedanje krajevne skupnosti . V NSi se sklicujejo na prizadevanja civilne iniciative , vendar so nam tako v KS Ankaran kot tudi Edi Pucer , ki vodi Civilno iniciativo Ankaran – ta se bori proti tretjemu pomolu v koprskem pristanišču , zagotovili , da s pobudo nimajo nič . Izkazalo se je , da za njo stoji Ankarančan Gregor Strmčnik , ki pa
1-1	0-4	Nova	ORG[1]	_	*->1-1	*[1]	
1-2	5-14	Slovenija	ORG[1]|LOC[2]	3 - Nevtralno	*->1-1|*->2-1	*[1]|*[2]	
1-3	15-17	je	_	_	_	_	
1-4	18-25	podprla	_	_	_	_	
1-5	26-38	prizadevanja	_	_	_	_	
1-6	39-49	ankaranske	ORG[3]	_	*->3-1	*[3]	
1-7	50-57	civilne	ORG[3]	_	*->3-1	*[3]	
1-8	58-68	iniciative	ORG[3]	_	*->3-1	*[3]	
1-9	69-71	za	_	_	_	_	
1-10	72-83	ustanovitev	_	_	_	_	
1-11	84-90	občine	_	_	*->4-1	*[4]	
1-12	91-98	Ankaran	LOC	_	*->4-1	*[4]	
1-13	99-100	.	_	_	_	_	
1-14	101-108	Koprski	_	_	_	_	
1-15	109-117	občinski	_	_	_	_	
1-16	118-126	svetniki	_	_	_	_	
1-17	127-129	so	_	_	_	_	
1-18	130-135	imeli	_	_	_	_	
1-19	136-138	na	_	_	_	_	
1-20	139-146	dnevnem	_	_	_	_	
1-21	147-151	redu	_	_	_	_	
1-22	152-162	včerajšnje	_	_	_	_	
1-23	163-167	seje	_	_	_	_	
1-24	168-175	predlog	_	_	_	_	
1-25	176-178	za	_	_	_	_	
1-26	179-186	začetek	_	_	_	_	
1-27	187-195	postopka	_	_	_	_	
1-28	196-198	za	_	_	_	_	
1-29	199-208	spremembo	_	_	_	_	
1-30	209-216	območij	_	_	_	_	
1-31	217-224	naselij	_	_	_	_	
1-32	225-226	v	_	_	_	_	
1-33	227-233	občini	_	_	_	_	
1-34	234-235	,	_	_	_	_	
1-35	236-241	čemur	_	_	_	_	
1-36	242-254	nasprotujejo	_	_	_	_	
1-37	255-256	v	_	_	_	_	
1-38	257-265	krajevni	ORG[4]	_	*->5-1	*[5]	
1-39	266-275	skupnosti	ORG[4]	_	*->5-1	*[5]	
1-40	276-277	(	ORG[4]	_	*->5-1	*[5]	
1-41	278-280	KS	ORG[4]	_	*->5-1	*[5]	
1-42	281-282	)	ORG[4]	_	*->5-1	*[5]	
1-43	283-290	Ankaran	ORG[4]|LOC[5]	_	*->5-1|*->4-2	*[5]|*[4]	
1-44	291-292	.	_	_	_	_	
1-45	293-294	"	_	_	_	_	
1-46	295-303	Sprejeli	_	_	_	_	
1-47	304-307	smo	_	_	_	_	
1-48	308-313	sklep	_	_	_	_	
1-49	314-315	,	_	_	_	_	
1-50	316-318	da	_	_	_	_	
1-51	319-322	smo	_	_	_	_	
1-52	323-328	proti	_	_	_	_	
1-53	329-341	spreminjanju	_	_	_	_	
1-54	342-346	meja	_	_	_	_	
1-55	347-354	naselij	_	_	_	_	
1-56	355-356	v	_	_	_	_	
1-57	357-364	koprski	_	_	*->15-1	*[15]	
1-58	365-371	občini	_	_	*->15-1	*[15]	
1-59	372-373	,	_	_	_	_	
1-60	374-375	"	_	_	_	_	
1-61	376-381	pravi	_	_	_	_	
1-62	382-389	Boštjan	PER[6]	_	*->6-1	*[6]	
1-63	390-396	Hrabar	PER[6]	_	*->6-1	*[6]	
1-64	397-398	,	_	_	_	_	
1-65	399-403	novi	_	3 - Nevtralno[18]	*->6-2	*[6]	
