#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Obseg tujih naložb na Kitajskem se znižuje . Februarja so tuja podjetja za naložbe v kitajsko gospodarstvo namenila 5,8 milijarde dolarjev , kar je 15,8 odstotka manj kot v enakem obdobju lani , je po navedbah ameriške tiskovne agencije AP danes sporočilo kitajsko ministrstvo za trgovino . Globalna gospodarska in finančna kriza je upočasnila prilive tujega kapitala , kar občuti tudi Kitajska , kjer so bile tuje investicije eden od motorjev gospodarske rasti . Vseeno pa je februarsko nazadovanje manjše od januarskega , ko je obseg tujih naložb v medletni primerjavi oslabel za 32,7 odstotka . V prvih dveh mesecih letos so se tuje investicije znižale za 26,2 odstotka glede na enako obdobje lani . Občuten padec v prilivu tujih naložb Kitajska beleži po lanskem septembru , ko so se razmere v mednarodnem okolju močno zaostrile , povpraševanje po kitajskih izdelkih pa je začelo upadati . Kitajska vlada tudi meni , da bo stabilna domača valuta , juan , prispevala h globalnemu gospodarskemu okrevanju . Letos bo zato Kitajska po poročanju AP okrepila število obiskov trgovinskih delegacij v tujini . Tako bodo vladno - gospodarske delegacije najverjetneje obiskale Evropo , ZDA , Japonsko in države jugovzhodne Azije . Februarja je 200 - članska delegacija med obiskom v Evropi podpisala za 13 milijard dolarjev pogodb v Veliki Britaniji , Nemčiji , Švici in Španiji , navaja AP . Oblasti v Pekingu želijo spodbuditi kitajska podjetja k intenzivnejšim vlaganjem v tujini , obenem pa povečati naložbe v sodobne tehnologije , ki bi omogočile okolju prijaznejšo in učinkovitejšo proizvodnjo . Izhodne investicije naj bi bile eno glavnih težišč v odnosih s tujino , s čimer naj bi spodbudili tudi rast gospodarstva . Kitajske družbe so tako letos že podpisale več milijard dolarjev vredne pogodbe o dobavi nafte iz Rusije , Venezuele in Brazilije , največji kitajski proizvajalec aluminija Chinalco pa namerava vložiti 19,5 milijarde dolarjev v drugo največjo rudarsko družbo na svetu Rio Tinto . Kitajska bi letos sicer lahko izgubila več kot 80 milijard dolarjev svojih deviznih rezerv zaradi neugodnih nakupov delnic tik pred zaostritvijo razmer na mednarodnih finančnih trgih . Kot poroča današnji Financial Times , je Kitajska , ki ima sicer skoraj 2000 milijard dolarskih rezerv , razpršila svoje naložbe z investicijami v delnice večinoma ameriških podjetij , medtem ko je pred tem sredstva večinoma nalagala v varnejše obveznice
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-17	Obseg	_	_	_	_	
1-4	18-23	tujih	_	_	_	_	
1-5	24-30	naložb	_	_	_	_	
1-6	31-33	na	_	_	_	_	
1-7	34-43	Kitajskem	LOC	_	*->2-1	*[2]	
1-8	44-46	se	_	_	_	_	
1-9	47-54	znižuje	_	_	_	_	
1-10	55-56	.	_	_	_	_	
1-11	57-66	Februarja	_	_	_	_	
1-12	67-69	so	_	_	_	_	
1-13	70-74	tuja	_	_	_	_	
1-14	75-83	podjetja	_	_	_	_	
1-15	84-86	za	_	_	_	_	
1-16	87-94	naložbe	_	_	_	_	
1-17	95-96	v	_	_	_	_	
1-18	97-105	kitajsko	_	_	_	_	
1-19	106-118	gospodarstvo	_	_	_	_	
1-20	119-127	namenila	_	_	_	_	
1-21	128-131	5,8	_	_	_	_	
1-22	132-141	milijarde	_	_	_	_	
1-23	142-150	dolarjev	_	_	_	_	
1-24	151-152	,	_	_	_	_	
1-25	153-156	kar	_	_	_	_	
1-26	157-159	je	_	_	_	_	
1-27	160-164	15,8	_	_	_	_	
1-28	165-173	odstotka	_	_	_	_	
1-29	174-178	manj	_	_	_	_	
1-30	179-182	kot	_	_	_	_	
1-31	183-184	v	_	_	_	_	
1-32	185-191	enakem	_	_	_	_	
1-33	192-199	obdobju	_	_	_	_	
1-34	200-204	lani	_	_	_	_	
1-35	205-206	,	_	_	_	_	
1-36	207-209	je	_	_	_	_	
1-37	210-212	po	_	_	_	_	
1-38	213-221	navedbah	_	_	_	_	
1-39	222-230	ameriške	_	_	*->3-1	*[3]	
1-40	231-239	tiskovne	_	_	*->3-1	*[3]	
1-41	240-248	agencije	_	_	*->3-1	*[3]	
1-42	249-251	AP	ORG	_	*->3-1	*[3]	
1-43	252-257	danes	_	_	_	_	
1-44	258-267	sporočilo	_	_	_	_	
1-45	268-276	kitajsko	_	_	_	_	
1-46	277-288	ministrstvo	_	_	_	_	
1-47	289-291	za	_	_	_	_	
1-48	292-300	trgovino	_	_	_	_	
1-49	301-302	.	_	_	_	_	
1-50	303-311	Globalna	_	_	_	_	
1-51	312-323	gospodarska	_	_	_	_	
1-52	324-326	in	_	_	_	_	
1-53	327-335	finančna	_	_	_	_	
1-54	336-341	kriza	_	_	_	_	
1-55	342-344	je	_	_	_	_	
1-56	345-355	upočasnila	_	_	_	_	
1-57	356-363	prilive	_	_	_	_	
1-58	364-370	tujega	_	_	_	_	
1-59	371-379	kapitala	_	_	_	_	
1-60	380-381	,	_	_	_	_	
1-61	382-385	kar	_	_	_	_	
1-62	386-392	občuti	_	_	_	_	
