#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Občina Velenje je za pomoč delavcem Preventa in Vegrada , ki so izgubili delo , namenila 40 tisoč evrov . Delavci lahko dobijo tudi brezplačno hrano in zaprosijo za izredno finančno pomoč . Župan Srečko Meh poudarja , da bi tudi država morala v sedanjih razmerah bolj pomagati . Na Mestni občini Velenje so se aktivno vključili v pomoč svojim občanom , ki so zaradi težav v Preventu in Vegradu že nekaj mesecev brez svojih dohodkov . Občina je za najnujnejše ukrepe že namenila 40.000 evrov , aktivno se je v pomoč vključil lani ustanovljeni odbor za pomoč občanom Velenja . Kot ocenjujejo , bo pomoč potrebovalo okoli 600 delavcev . Velenjski župan Srečko Meh je danes med drugim povedal , da so že pred časom omogočili brezplačne obroke v mestni javni kuhinji , takšno možnost pa trenutno koristi 180 Vegradovih delavcev . Odbor za pomoč , ki je sestavljen iz različnih humanitarnih , socialnih , zdravstvenih in drugih ustanov , je poskrbel za različne humanitarne akcije , med slednjimi bo tudi prireditev z dražbo likovnih del 10 . septembra . Humanitarna prireditev se bo imenovala Dobro delo . Nastopilo bo več glasbenih skupin , Društvo šaleških likovnikov pa bo prispevalo likovna dela za dražbo . Izkupiček prireditve in dražbe bo namenjen socialno ogroženim posameznikom in družinam . Prispevke zanje je moč nakazati tudi na podračun Mestne občine Velenje za dobrodelne namene , in sicer na 01333 - 6000000925 . Župan Velenja Meh meni , da je za delavce najboljša rešitev v Vegradu takojšen stečaj . Stečaj zato , da bodo delavci lahko zaščiteni in bodo dobili tisto , kar jim pripada , še dodaja . Kot je še poudaril Meh , lahko delavci na mestno občino naslovijo tudi vlogo za enkratno izredno denarno pomoč , ki jo bodo dodeljevali v skladu s pravilnikom . Ob tem je posebej poudaril , naj se delavci brez dohodkov najprej javijo na Centru za socialno delo Velenje , kjer v tem trenutku že rešujejo okoli 300 vlog za izredno pomoč . Šele ko bodo izkoristili to možnost , pa se lahko obrnejo tudi na njih , je še dodal velenjski župan . Z leve predsednik Rdečega križa Velenje Jože Kožar , podžupan MO Velenje Bojan Kontič , župan MO Velenje Srečko Meh in sodelavka Urada za negospodarske javne službe MO Velenje Nevenka Lempl . Meh Kje je tu menedžment ? Ob tem pa se je Meh vprašal , kje je tu menedžment in kje je morala tistih , ki so vodili podjetja in jih pripeljali v sedanji položaj . Prav tako se je vprašal , ali svojo vlogo dovolj dobro opravljajo sindikati . Ta ni odigral svoje vloge . Če se bori zgolj za plače in dolžino delovne dobe , ne pa tudi v kakšnem položaju so dejansko delavci , potem to zagotovo ni pravilno ravnanje , je dejal Meh . Foto POP TV Delavcem obeh podjetij so takoj ponudili tudi brezplačno pravno pomoč , hkrati pa se z direktorji nekaterih večjih podjetij v regiji dogovarjajo , da bi finančno pomagali prebroditi najhujše težave . Župan Meh še opozarja , da stečaj Vegrada posebej velikega vpliva na socialne razmere v Šaleški dolini ne bo imel , če bodo vsi skupaj pravočasno ukrepali . Poslanec SD Bojan Kontič je ob tem opomnil , da se je znova v praksi pokazalo , kako nekdo v času uspehov ne potrebuje države in lokalne skupnosti , ko pa pride do težav , kakršnim smo danes priča v Vegradu , potem je klic na pomoč hitro tu . Država mora zagotoviti predvsem sprejem zakonodaje , ki bi preprečila posamezne nepravilne odklone , ki se zdaj dogajajo v naši družbi . A z zakoni se vsega ne da preprečiti , če ni posluha za pravno državo , socialo in solidarnost , je dejal Kontič . Predsednik Rdečega križa Velenje Jože Kožar je izrazil veselje zaradi lanske ustanovitve že omenjenega odbora za pomoč , saj so na ta način tisti , ki želijo in lahko pomagajo , postali bolj močni . Kot je dejal , so sami sicer že pred tremi tedni po seznamu , ki so ga prejeli od Vegradovega sindikata , 230 delavcem razdelili prehranske pakete in pralni prašek . Paketov imajo še dovolj in jih delijo vsako sredo , skupaj z občino pa so poskrbeli tudi za šolske potrebščine 118 otrok
1-1	0-6	Občina	ORG[1]	_	*->7-1	*[7]	
1-2	7-14	Velenje	ORG[1]|LOC[2]	_	*->7-1|*->9-1	*[7]|*[9]	
1-3	15-17	je	_	_	_	_	
1-4	18-20	za	_	_	_	_	
1-5	21-26	pomoč	_	_	_	_	
1-6	27-35	delavcem	_	_	_	_	
1-7	36-44	Preventa	ORG	_	*->1-1	*[1]	
1-8	45-47	in	_	_	_	_	
1-9	48-55	Vegrada	ORG	_	*->16-1	*[16]	
1-10	56-57	,	_	_	_	_	
1-11	58-60	ki	_	_	_	_	
1-12	61-63	so	_	_	_	_	
1-13	64-72	izgubili	_	_	_	_	
1-14	73-77	delo	_	_	_	_	
1-15	78-79	,	_	_	_	_	
1-16	80-88	namenila	_	_	_	_	
1-17	89-91	40	_	_	_	_	
1-18	92-97	tisoč	_	_	_	_	
1-19	98-103	evrov	_	_	_	_	
1-20	104-105	.	_	_	_	_	
1-21	106-113	Delavci	_	_	_	_	
1-22	114-119	lahko	_	_	_	_	
1-23	120-126	dobijo	_	_	_	_	
1-24	127-131	tudi	_	_	_	_	
1-25	132-142	brezplačno	_	_	_	_	
1-26	143-148	hrano	_	_	_	_	
1-27	149-151	in	_	_	_	_	
1-28	152-161	zaprosijo	_	_	_	_	
1-29	162-164	za	_	_	_	_	
1-30	165-172	izredno	_	_	_	_	
1-31	173-181	finančno	_	_	_	_	
1-32	182-187	pomoč	_	_	_	_	
1-33	188-189	.	_	_	_	_	
1-34	190-195	Župan	_	_	*->11-1	*[11]	
1-35	196-202	Srečko	PER[3]	_	*->11-1	*[11]	
1-36	203-206	Meh	PER[3]	_	*->11-1	*[11]	
1-37	207-215	poudarja	_	_	_	_	
1-38	216-217	,	_	_	_	_	
1-39	218-220	da	_	_	_	_	
1-40	221-223	bi	_	_	_	_	
1-41	224-228	tudi	_	_	_	_	
1-42	229-235	država	_	_	_	_	
1-43	236-242	morala	_	_	_	_	
1-44	243-244	v	_	_	_	_	
1-45	245-253	sedanjih	_	_	_	_	
1-46	254-262	razmerah	_	_	_	_	
1-47	263-267	bolj	_	_	_	_	
1-48	268-276	pomagati	_	_	_	_	
1-49	277-278	.	_	_	_	_	
1-50	279-281	Na	_	_	_	_	
1-51	282-288	Mestni	ORG[4]	_	*->7-2	*[7]	
1-52	289-295	občini	ORG[4]	_	*->7-2	*[7]	
1-53	296-303	Velenje	ORG[4]|LOC[5]	_	*->7-2|*->9-2	*[7]|*[9]	
1-54	304-306	so	_	_	_	_	
1-55	307-309	se	_	_	_	_	
1-56	310-317	aktivno	_	_	_	_	
1-57	318-327	vključili	_	_	_	_	
1-58	328-329	v	_	_	_	_	
1-59	330-335	pomoč	_	_	_	_	
1-60	336-342	svojim	_	_	_	_	
1-61	343-350	občanom	_	_	_	_	
1-62	351-352	,	_	_	_	_	
1-63	353-355	ki	_	_	_	_	
1-64	356-358	so	_	_	_	_	
1-65	359-365	zaradi	_	_	_	_	
1-66	366-371	težav	_	_	_	_	
1-67	372-373	v	_	_	_	_	
1-68	374-382	Preventu	ORG	2 - Negativno	*->1-2	*[1]	
1-69	383-385	in	_	_	_	_	
1-70	386-393	Vegradu	ORG	_	*->16-2	*[16]	
1-71	394-396	že	_	_	_	_	
1-72	397-402	nekaj	_	_	_	_	
1-73	403-410	mesecev	_	_	_	_	
1-74	411-415	brez	_	_	_	_	
1-75	416-422	svojih	_	_	_	_	
1-76	423-431	dohodkov	_	_	_	_	
1-77	432-433	.	_	_	_	_	
1-78	434-440	Občina	_	_	*->7-3	*[7]	
1-79	441-443	je	_	_	_	_	
1-80	444-446	za	_	_	_	_	
1-81	447-458	najnujnejše	_	_	_	_	
1-82	459-465	ukrepe	_	_	_	_	
1-83	466-468	že	_	_	_	_	
1-84	469-477	namenila	_	_	_	_	
1-85	478-484	40.000	_	_	_	_	
1-86	485-490	evrov	_	_	_	_	
1-87	491-492	,	_	_	_	_	
1-88	493-500	aktivno	_	_	_	_	
1-89	501-503	se	_	_	_	_	
1-90	504-506	je	_	_	_	_	
1-91	507-508	v	_	_	_	_	
1-92	509-514	pomoč	_	_	_	_	
1-93	515-523	vključil	_	_	_	_	
