#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Če bosta Kapitalska družba ( Kad ) in Slovenska odškodninska družba ( Sod ) ostali lastnici vseh svojih naložb , skoraj stotih , oziroma jima jih ne bo treba v nekaj letih prodati , pa bo nadzor nad tistimi najpomembnejšimi prevzela nova agencija , ki bo upravljala državne naložbe . Po tem , ko je ministrstvo za finance pod vodstvom Franca Križaniča iz zakona o njunem preoblikovanju črtalo seznam strateških naložb , še ni povsem jasno , katere naložbe se bodo pridružile NLB , Luki Koper in Zavarovalnici Triglav , a je mogoče iz pojasnil državne sekretarke na ministrstvu Helene Kamnar sklepati , da se lahko njihovo število povzpne tudi na deset . Kad in Sod po uveljavitvi zakona namreč ne bosta smela več razpolagati z nobeno kapitalsko naložbo , ki velja za strateško oziroma njena skupna knjigovodska vrednost presega 40 milijonov evrov , je včeraj po tem , ko ga je sprejela vlada , povedala Kamnarjeva . Strateške naložbe so opredeljene kot tiste , kjer imata družbi pristojnost imenovanja nadzornikov in sodelovanja pri imenovanju uprav . " Običajno so to deleži nad 25 odstotkov , da pa bi se izognili izigravanju , je predviden tudi nominalni prag , " je pojasnila . Vseeno pa bo to določeno šele z dokumenti , ki urejajo upravljanje kapitalskih naložb , oziroma bo ta seznam pripravila agencija . Čeprav je v zakonu o preoblikovanju skladov še nejasno , kako izračunati knjigovodsko vrednost , pa bodo med naložbami , s katerimi bo upravljala agencija , skoraj zagotovo delnice Krke , Telekoma Slovenije , NLB , Petrola , Gorenja , NKBM , Zavarovalnice Triglav in Luke Koper . Da bi za strateške označili vse naložbe , kjer Kad in Sod presegata 25 odstotkov , je bolj malo verjetno , saj bi potemtakem agencija prevzela v upravljanje Savo , Pozavarovalnico Savo , Cinkarno Celje , Slovenijales , Žito , PDP ter vsaj še igralniške družbe ( Hit , Loterija Slovenije , Casino Bled , Casino Ljubljana , Casino Portorož ) . Premier Borut Pahor je včeraj ponovil svoje stališče , da mora vlada zelo premišljeno odločiti , katera finančna institucija oziroma gospodarska družba mora ostati v lasti države . tomaz.modic @
1-1	0-9	Ljubljana	LOC	_	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-14	Če	_	_	_	_	
1-4	15-20	bosta	_	_	_	_	
1-5	21-31	Kapitalska	ORG[1]	_	*->2-1	*[2]	
1-6	32-38	družba	ORG[1]	_	*->2-1	*[2]	
1-7	39-40	(	_	_	_	_	
1-8	41-44	Kad	ORG	_	*->2-2	*[2]	
1-9	45-46	)	_	_	_	_	
1-10	47-49	in	_	_	_	_	
1-11	50-59	Slovenska	ORG[2]	_	*->3-1	*[3]	
1-12	60-72	odškodninska	ORG[2]	_	*->3-1	*[3]	
1-13	73-79	družba	ORG[2]	_	*->3-1	*[3]	
1-14	80-81	(	_	_	_	_	
1-15	82-85	Sod	ORG	_	*->3-2	*[3]	
1-16	86-87	)	_	_	_	_	
1-17	88-94	ostali	_	_	_	_	
1-18	95-103	lastnici	_	_	_	_	
1-19	104-108	vseh	_	_	_	_	
1-20	109-115	svojih	_	_	_	_	
1-21	116-122	naložb	_	_	_	_	
1-22	123-124	,	_	_	_	_	
1-23	125-131	skoraj	_	_	_	_	
1-24	132-138	stotih	_	_	_	_	
1-25	139-140	,	_	_	_	_	
1-26	141-148	oziroma	_	_	_	_	
1-27	149-153	jima	_	_	_	_	
1-28	154-157	jih	_	_	_	_	
1-29	158-160	ne	_	_	_	_	
1-30	161-163	bo	_	_	_	_	
1-31	164-169	treba	_	_	_	_	
1-32	170-171	v	_	_	_	_	
1-33	172-177	nekaj	_	_	_	_	
1-34	178-183	letih	_	_	_	_	
1-35	184-191	prodati	_	_	_	_	
1-36	192-193	,	_	_	_	_	
1-37	194-196	pa	_	_	_	_	
1-38	197-199	bo	_	_	_	_	
1-39	200-206	nadzor	_	_	_	_	
1-40	207-210	nad	_	_	_	_	
1-41	211-218	tistimi	_	_	_	_	
1-42	219-235	najpomembnejšimi	_	_	_	_	
1-43	236-244	prevzela	_	_	_	_	
1-44	245-249	nova	_	_	_	_	
1-45	250-258	agencija	_	_	_	_	
1-46	259-260	,	_	_	_	_	
1-47	261-263	ki	_	_	_	_	
1-48	264-266	bo	_	_	_	_	
1-49	267-277	upravljala	_	_	_	_	
1-50	278-285	državne	_	_	_	_	
1-51	286-293	naložbe	_	_	_	_	
1-52	294-295	.	_	_	_	_	
1-53	296-298	Po	_	_	_	_	
