#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Predsednik vlade Borut Pahor je za danes popoldne sklical sestanek s predstavniki gradbenega sektorja . Na njem bodo predstavili aktualno problematiko in si izmenjali mnenja o možnih ukrepih na tem področju , so sporočili iz kabineta predsednika vlade . Na sestanek so povabljeni nekdanji minister za gospodarstvo Matej Lahovnik , minister za okolje in prostor Roko Žarnić , minister za finance Franc Križanič , minister za razvoj in evropske zadeve Mitja Gaspar in minister za promet Patrick Vlačič , so še pojasnili v kabinetu predsednika vlade . S strani bančnikov so na sestanek med drugim vabljeni predsednik uprave NLB Božo Jašovič , prvi mož NKBM Matjaž Kovačič in predsednik uprave SID banke Sibil Svilan . S strani gradbincev so na sestanek povabljeni prvi mož SCT Ivan Zidar , predsednica uprave Vegrada Hilda Tovšak , direktor družbe Primorje Holding Dušan Černigoj . Udeležili pa naj bi se ga tudi predsednik zbornice za gradbeništvo in industrijo gradbenega materiala pri Gospodarski zbornici Slovenije Branko Selak , podpredsednik sekcije gradbincev pri Obrtno - podjetniški zbornici Slovenije Franc Bukovec , predsednik Združenja izvajalcev zaključnih del v gradbeništvu Mirko Požar in drugi . Nekdanji minister za gospodarstvo Matej Lahovnik je prejšnji teden napovedal , da bodo na sestanku spregovorili tudi o vlogi bank in položaju zaposlenih v gradbeništvu ter poskušali razjasniti , kaj je domača naloga vsakega posameznega akterja . Premier Pahor je v začetku meseca poudaril , da želi na srečanju preveriti , ali morda vendarle obstajajo možne pomoči gradbenemu sektorju , ne da bi s tem ogrozili tržno regulacijo tega sektorja . Kot je izpostavil , je gradbeništvo v letih 2007 in 2008 pregrevalo gospodarsko rast , zdaj pa zamrzuje gospodarsko okrevanje
1-1	0-9	Ljubljana	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	10-11	-	_	_	_	_	
1-3	12-22	Predsednik	_	_	*->2-1	*[2]	
1-4	23-28	vlade	_	_	*->2-1	*[2]	
1-5	29-34	Borut	PER[1]	_	*->2-1	*[2]	
1-6	35-40	Pahor	PER[1]	_	*->2-1	*[2]	
1-7	41-43	je	_	_	_	_	
1-8	44-46	za	_	_	_	_	
1-9	47-52	danes	_	_	_	_	
1-10	53-61	popoldne	_	_	_	_	
1-11	62-69	sklical	_	_	_	_	
1-12	70-78	sestanek	_	_	_	_	
1-13	79-80	s	_	_	_	_	
1-14	81-93	predstavniki	_	_	_	_	
1-15	94-104	gradbenega	_	_	_	_	
1-16	105-113	sektorja	_	_	_	_	
1-17	114-115	.	_	_	_	_	
1-18	116-118	Na	_	_	_	_	
1-19	119-123	njem	_	_	_	_	
1-20	124-128	bodo	_	_	_	_	
1-21	129-140	predstavili	_	_	_	_	
1-22	141-149	aktualno	_	_	_	_	
1-23	150-162	problematiko	_	_	_	_	
1-24	163-165	in	_	_	_	_	
1-25	166-168	si	_	_	_	_	
1-26	169-178	izmenjali	_	_	_	_	
1-27	179-185	mnenja	_	_	_	_	
1-28	186-187	o	_	_	_	_	
1-29	188-194	možnih	_	_	_	_	
1-30	195-202	ukrepih	_	_	_	_	
1-31	203-205	na	_	_	_	_	
1-32	206-209	tem	_	_	_	_	
1-33	210-218	področju	_	_	_	_	
1-34	219-220	,	_	_	_	_	
1-35	221-223	so	_	_	_	_	
1-36	224-233	sporočili	_	_	_	_	
1-37	234-236	iz	_	_	_	_	
1-38	237-245	kabineta	_	_	_	_	
1-39	246-257	predsednika	_	_	*->2-2	*[2]	
1-40	258-263	vlade	_	_	*->2-2	*[2]	
1-41	264-265	.	_	_	_	_	
1-42	266-268	Na	_	_	_	_	
1-43	269-277	sestanek	_	_	_	_	
1-44	278-280	so	_	_	_	_	
1-45	281-291	povabljeni	_	_	_	_	
1-46	292-300	nekdanji	_	_	*->3-1	*[3]	
