#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Zagreb - Slovenci so najštevilčnejši med tujimi državljani , ki so kupili nepremičnine na Hrvaškem med letoma 2010 in 2012 , je objavila hrvaška davčna uprava . Od 13.883 nepremičnin prodanih tujim državljanom v treh letih , so Slovenci postali lastniki 5673 nepremičnin . Sledijo Nemci s 1757 nepremičninami in Italijani s 1574 kupljenimi nepremičninami . Davčna uprava sicer poudarja , da se število tujcev , ki so kupili nepremičnine na Hrvaškem zmanjšuje . Tako so leta 2010 tuji državljani kupili 5445 nepremičnin na Hraškem , leta 2011 nekoliko manj - 5087 , lani pa le še 3351 nepremičnin . Podoben trend je tudi med slovenskimi kupci , ki so se leta 2010 odločili za nakup 2245 nepremičnin , leto potem so kot svojo lastnino vpisali 2141 nepremičnin na Hrvaškem , lani pa 1287 . Kljub občutnem znižanju nakupov so se Slovenci obdržali na prvem mestu , ker so tudi tuji državljani iz drugih držav lani kupili manj nepremičnin kot v dveh letih pred tem . Poleg najbolj pogostih hrvaških turističnih gostov iz Slovenije , Nemčije , Italije , Avstrije in Madžarske , ki so tudi med vodilnimi kupci nepremičnin na Hrvaškem , so se visoko uvrstili Švedi , ki sicer ne izstopajo s svojim številom med turisti na Hrvaškem . Oni so v treh letih kupili 488 nepremičnin , ali več kot državljani Velike Britanije , Slovaške , Češke in Francije , ki jih je sicer pogosto videti na Hrvaškem . Državljani BiH so lani kupili zgolj pet nepremičnin na Hrvaškem , srbski državljani pa le štiri . Sicer pa so lani zabeležili tudi dva kupca iz Gane , kot tudi posamezne kupce z Nove Zelandije , iz baltskih držav ter iz Grčije , Bolgarije in Romunije . Hrvaški časnik Poslovni dnevnik kot zanimivost poudarja , da med kupci nepremičnin na Hrvaškem niso omenjeni državljani Rusije . Kot pojasnjuje , Rusi praviloma kupujejo nepremičnine preko podjetij , ki jih odpirajo na Hrvaškem . Hrvaška in Rusija namreč nimata dvostranskega sporazuma o recipročnosti pri nakupu nepremičnin , zato ruski državljani potrebujejo posebno dovoljenje , da bi kupili nepremičnino na Hrvaškem
1-1	0-6	Zagreb	LOC	3 - Nevtralno	*->1-1	*[1]	
1-2	7-8	-	_	_	_	_	
1-3	9-17	Slovenci	_	_	_	_	
1-4	18-20	so	_	_	_	_	
1-5	21-36	najštevilčnejši	_	_	_	_	
1-6	37-40	med	_	_	_	_	
1-7	41-47	tujimi	_	_	_	_	
1-8	48-58	državljani	_	_	_	_	
1-9	59-60	,	_	_	_	_	
1-10	61-63	ki	_	_	_	_	
1-11	64-66	so	_	_	_	_	
1-12	67-73	kupili	_	_	_	_	
1-13	74-86	nepremičnine	_	_	_	_	
1-14	87-89	na	_	_	_	_	
1-15	90-98	Hrvaškem	LOC	_	*->2-1	*[2]	
1-16	99-102	med	_	_	_	_	
1-17	103-109	letoma	_	_	_	_	
1-18	110-114	2010	_	_	_	_	
1-19	115-117	in	_	_	_	_	
1-20	118-122	2012	_	_	_	_	
1-21	123-124	,	_	_	_	_	
1-22	125-127	je	_	_	_	_	
1-23	128-136	objavila	_	_	_	_	
1-24	137-144	hrvaška	_	_	_	_	
1-25	145-151	davčna	_	_	_	_	
1-26	152-158	uprava	_	_	_	_	
1-27	159-160	.	_	_	_	_	
1-28	161-163	Od	_	_	_	_	
1-29	164-170	13.883	_	_	_	_	
1-30	171-182	nepremičnin	_	_	_	_	
1-31	183-191	prodanih	_	_	_	_	
1-32	192-197	tujim	_	_	_	_	
1-33	198-209	državljanom	_	_	_	_	
1-34	210-211	v	_	_	_	_	
1-35	212-216	treh	_	_	_	_	
1-36	217-222	letih	_	_	_	_	
1-37	223-224	,	_	_	_	_	
1-38	225-227	so	_	_	_	_	
1-39	228-236	Slovenci	_	_	_	_	
1-40	237-244	postali	_	_	_	_	
1-41	245-253	lastniki	_	_	_	_	
1-42	254-258	5673	_	_	_	_	
1-43	259-270	nepremičnin	_	_	_	_	
1-44	271-272	.	_	_	_	_	
1-45	273-280	Sledijo	_	_	_	_	
1-46	281-286	Nemci	_	_	_	_	
1-47	287-288	s	_	_	_	_	
1-48	289-293	1757	_	_	_	_	
1-49	294-308	nepremičninami	_	_	_	_	
1-50	309-311	in	_	_	_	_	
1-51	312-321	Italijani	_	_	_	_	
1-52	322-323	s	_	_	_	_	
1-53	324-328	1574	_	_	_	_	
1-54	329-339	kupljenimi	_	_	_	_	
1-55	340-354	nepremičninami	_	_	_	_	
1-56	355-356	.	_	_	_	_	
1-57	357-363	Davčna	_	_	_	_	
