#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=IMF opozarja , da bi prenagljeni varčevalni ukrepi lahko škodili okrevanju gospodarstva . K varčevanju sta namreč znova pozvala Merklova in Sarkozy . Ker nista povedala nič novega , so se negativno odzvale tudi borze . Nemška kanclerka Angela Merkel in francoski predsednik Nicolas Sarkozy sta na torkovem srečanju glede gospodarskih razmer v evroobmočju marsikoga razočarala . Pozvala sta k resničnemu skupnemu gospodarskemu vladanju v evroobmočju , s katerim bi se zoperstavili dolžniški krizi v območju evra . To pomeni tudi bolj usklajene gospodarske in fiskalne politike , nadaljnja integracija pa bi bila po besedah Merklove proces korak za korakom . Sarkozy in Merklova sta razočarala , znova nista ponudila nič konkretnega za rešitev krize . Že med njuno novinarsko konferenco so se na njune pogovore negativno odzvali finančni trgi . Tako je na borzi v New Yorku že med novinarsko konferenco indeks Dow Jones padel za 1,3 odstotka . Po poročanju Reutersa naj bi bili ob začetku današnjega trgovanja na evropskih borzah priče do 0,8 - odstotnemu padcu vrednosti evra . Gre za to , da so investitorji od srečanja Merkel - Sarkozy pričakovali veliko več kot to , kar sta predstavila . Merklova znova ni pokazala nobenega navdušenja nad vpeljavo t . i . evroobveznic , torej skupnih garancij vseh 17 vlad v evroobmočju za dolgove kot rešitvijo za krizo . K tem se sicer najbolj nagibata italijanski finančni minister Giulio Tremonti in milijonar George Soros , ker naj bi s tem zagotovili poceni financiranje vlad v težavah in jih hkrati stimulirali , da spravijo svoje finance v red . Merklova pa takšno možnost vidi le kot sklepni del dolgotrajnega procesa vzpostavljanja fiskalne unije . Namesto tega je predlagala , da bi bile zahteve do članic evroobmočja , da morajo biti njihovi proračuni uravnoteženi , zapisane že v ustavah vseh držav članic . Spet bomo vzpostavili izgubljeno zaupanje , je dejala . Zato gremo v fazo nove kakovosti sodelovanja znotraj evroobmočja , je povedala . Voditelja Nemčije in Francije sta se zavzela tudi za uskladitev davčnih stopenj za korporacije znotraj evroobmočja , da bi tako povečali dobiček iz naslova davkov , čemur bi po poročanju BBC ostro nasprotovala najmanj Irska , kjer je ta davčna stopnja nizka . Mnogi ekonomisti tudi ostro kritizirajo nemško vztrajanje pri varčevalnih ukrepih v vseh državah evroobmočja , ker bi to po njihovem tudi precej spodkopalo gospodarsko okrevanje v teh državah . Nemčija in tudi Francija skupaj z Evropsko centralno banko močno pritiskata na tako imenovana obrobna gospodarstva , naj z varčevalnimi ukrepi uravnotežijo svoje proračune . Lagardova svari , da bi varčevalni ukrepi še dodatno škodovali gospodarstvu . Zategovanje pasov sicer ne uide tudi večjim gospodarstvom . Po varčevalnih ukrepih je že morala poseči Italija , pospešitev ukrepov pa je napovedala tudi Španija . Pred prenagljenim poseganjem po varčevalnih ukrepih pa je med drugimi posvarila tudi šefica Mednarodnega denarnega sklada IMF Christine Lagarde . Pravi , da lahko tako namreč države zapadejo še v globljo recesijo . Priznava , da je treba zniževati stopnje zadolženosti , vendar pa bi presunkovito zaviranje lahko škodilo okrevanju in poslabšalo možnosti za večanje stopnje zaposlovanja . Ob tem bi lahko tudi spodkopalo zaupanje mednarodnih vlagateljev
1-1	0-3	IMF	ORG	_	*->1-1	*[1]	
1-2	4-12	opozarja	_	_	_	_	
1-3	13-14	,	_	_	_	_	
1-4	15-17	da	_	_	_	_	
1-5	18-20	bi	_	_	_	_	
1-6	21-32	prenagljeni	_	_	_	_	
1-7	33-43	varčevalni	_	_	_	_	
1-8	44-50	ukrepi	_	_	_	_	
1-9	51-56	lahko	_	_	_	_	
1-10	57-64	škodili	_	_	_	_	
1-11	65-74	okrevanju	_	_	_	_	
1-12	75-87	gospodarstva	_	_	_	_	
1-13	88-89	.	_	_	_	_	
1-14	90-91	K	_	_	_	_	
1-15	92-102	varčevanju	_	_	_	_	
1-16	103-106	sta	_	_	_	_	
1-17	107-113	namreč	_	_	_	_	
1-18	114-119	znova	_	_	_	_	
1-19	120-127	pozvala	_	_	_	_	
1-20	128-136	Merklova	PER	_	*->8-1	*[8]	
1-21	137-139	in	_	_	_	_	
1-22	140-147	Sarkozy	PER	_	*->5-1	*[5]	
1-23	148-149	.	_	_	_	_	
1-24	150-153	Ker	_	_	_	_	
1-25	154-159	nista	_	_	_	_	
1-26	160-168	povedala	_	_	_	_	
1-27	169-172	nič	_	_	_	_	
1-28	173-179	novega	_	_	_	_	
1-29	180-181	,	_	_	_	_	
1-30	182-184	so	_	_	_	_	
1-31	185-187	se	_	_	_	_	
1-32	188-197	negativno	_	_	_	_	
1-33	198-205	odzvale	_	_	_	_	
1-34	206-210	tudi	_	_	_	_	
1-35	211-216	borze	_	_	_	_	
1-36	217-218	.	_	_	_	_	
1-37	219-225	Nemška	_	_	*->8-2	*[8]	
1-38	226-235	kanclerka	_	_	*->8-2	*[8]	
1-39	236-242	Angela	PER[1]	_	*->8-2	*[8]	
1-40	243-249	Merkel	PER[1]	_	*->8-2	*[8]	
1-41	250-252	in	_	_	_	_	
1-42	253-262	francoski	_	_	*->5-2	*[5]	
1-43	263-273	predsednik	_	_	*->5-2	*[5]	
1-44	274-281	Nicolas	PER[2]	_	*->5-2	*[5]	
1-45	282-289	Sarkozy	PER[2]	_	*->5-2	*[5]	
1-46	290-293	sta	_	_	_	_	
1-47	294-296	na	_	_	_	_	
1-48	297-305	torkovem	_	_	_	_	
1-49	306-314	srečanju	_	_	_	_	
1-50	315-320	glede	_	_	_	_	
1-51	321-333	gospodarskih	_	_	_	_	
1-52	334-340	razmer	_	_	_	_	
1-53	341-342	v	_	_	_	_	
1-54	343-354	evroobmočju	_	_	_	_	
1-55	355-364	marsikoga	_	_	_	_	
1-56	365-375	razočarala	_	_	_	_	
1-57	376-377	.	_	_	_	_	
1-58	378-385	Pozvala	_	_	_	_	
1-59	386-389	sta	_	_	_	_	
1-60	390-391	k	_	_	_	_	
1-61	392-402	resničnemu	_	_	_	_	
1-62	403-411	skupnemu	_	_	_	_	
1-63	412-425	gospodarskemu	_	_	_	_	
1-64	426-434	vladanju	_	_	_	_	
1-65	435-436	v	_	_	_	_	
1-66	437-448	evroobmočju	_	_	_	_	
1-67	449-450	,	_	_	_	_	
1-68	451-452	s	_	_	_	_	
1-69	453-460	katerim	_	_	_	_	
1-70	461-463	bi	_	_	_	_	
1-71	464-466	se	_	_	_	_	
1-72	467-479	zoperstavili	_	_	_	_	
1-73	480-489	dolžniški	_	_	_	_	
1-74	490-495	krizi	_	_	_	_	
1-75	496-497	v	_	_	_	_	
1-76	498-505	območju	_	_	_	_	
1-77	506-510	evra	_	_	_	_	
