#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Luka Koper je v prvem polletju opravila za 9,037 milijona ton ladijskega pretovora , kar pomeni osemodstotno rast v letni primerjavi . Najkrepkeje se je povečal pretovor sipkega in razsutega tovora , in sicer kar za 18 odstotkov . Nekoliko skromnejša je bila rast poslovnih prihodkov , ki so bili pri 69 milijonih evrov za le tri odstotke nad lanskoletnimi . Paradajzov pohod po Prekmurju še ni končan Največji slovenski pridelovalec paradižnika s pomenljivim imenom Paradajz hitro širi svoj vpliv v Prekmurju . Potem ko je prevzel 50 - odstotni delež Panonskih elektrarn , je z dokapitalizacijo prišel do enakega deleža murskosoboškega Sončnega vrta , ki ima ambicije postati največji pridelovalec vrtnin v Sloveniji . Kljub smelim načrtom pa projekt gradnje rastlinjakov pri Beltincih stoji že leto in pol . Spori z nekdanjo večinsko lastnico Agrogorico , sedaj preimenovano v AG , ki jo je Sončni vrt neupravičeno razlastil , so bili medtem že rešeni . Factor banka prevzela upravljanje KD Banke Potem ko je Factor banka pred dobrim tednom tudi uradno postala 100 - odstotna lastnica KD Banke , je na torkovi skupščini zamenjala tudi upravni odbor banke . Nov upravni odbor bodo naslednjih pet let sestavljali predsednik uprave Factor banke Ciril Dragonja , član uprave Factor banke Dušan Valenčič , Polonca Čeč in Jerneja Orelj . Energoplan z visoko izgubo Gradbinec Energoplan , ki je nasedel v Stožicah in je zaradi tega od maja v prisilni poravnavi , je v juniju ustvaril 286.000 evrov čiste izgube , ki je nastala predvsem iz naslova financiranja . Studio Moderna pod hipoteko Najbogatejši Slovenec Sandi Češko je 85 - milijonsko posojilo , najeto pri Unicredit banki Slovenija , zavaroval s 100 - odstotnim deležem slovenske Studio Moderna , ki jo lastniško obvladuje . SID banka Iskratelu 15 milijonov evrov Iskratelu je SID Banka včeraj odobrila 15 milijonov vredno dolgoročno posojilo . S tem bodo v Iskratelu financirali projekt KPNG - Komunikacijska platforma nove generacije . " S tem financiranjem spodbujamo razvoj , raziskave in internacionalizacijo družbe Iskratel , " je pojasnil predsednik uprave SID banke Sibil Svilan . HSE z novima nadzornikoma V nadzorni svet HSE sta bila pred dobrim tednom imenovana Marjanca Molan in Stanislav Prevalnik , ki predstavljata zaposlene . Mesto med nadzorniki sta jima prepustila Mojca Turnšek in Rene Jeromel , ki je postal nov nadzornik v Dravskih elektrarnah Maribor . Krašovčeva zanikala krivdo Nekdanja Merkurjeva izvršna direktorica za finance Janja Krašovec je na včerajšnji obravnavi na ljubljanskem okrožnem sodišču dejala , da ni kriva očitanega dejanja pomoči pri oškodovanju Merkurja . Poudarila je , da je vedno delala le skladno s poslovno politiko Merkurja , prodaja trgovskega centra Primskovo pa zanjo ob podpisu pogodbe ni bila sporna
1-1	0-4	Luka	ORG[1]	4 - Pozitivno[32]	*->1-1	*[1]	
1-2	5-10	Koper	ORG[1]|LOC[2]	4 - Pozitivno[32]|3 - Nevtralno[33]	*->1-1|*->2-1	*[1]|*[2]	
1-3	11-13	je	_	_	_	_	
1-4	14-15	v	_	_	_	_	
1-5	16-21	prvem	_	_	_	_	
1-6	22-30	polletju	_	_	_	_	
1-7	31-39	opravila	_	_	_	_	
1-8	40-42	za	_	_	_	_	
1-9	43-48	9,037	_	_	_	_	
1-10	49-57	milijona	_	_	_	_	
1-11	58-61	ton	_	_	_	_	
1-12	62-72	ladijskega	_	_	_	_	
1-13	73-82	pretovora	_	_	_	_	
1-14	83-84	,	_	_	_	_	
1-15	85-88	kar	_	_	_	_	
1-16	89-95	pomeni	_	_	_	_	
1-17	96-108	osemodstotno	_	_	_	_	
1-18	109-113	rast	_	_	_	_	
1-19	114-115	v	_	_	_	_	
1-20	116-121	letni	_	_	_	_	
1-21	122-132	primerjavi	_	_	_	_	
1-22	133-134	.	_	_	_	_	
1-23	135-146	Najkrepkeje	_	_	_	_	
1-24	147-149	se	_	_	_	_	
1-25	150-152	je	_	_	_	_	
1-26	153-160	povečal	_	_	_	_	
1-27	161-169	pretovor	_	_	_	_	
1-28	170-177	sipkega	_	_	_	_	
1-29	178-180	in	_	_	_	_	
1-30	181-190	razsutega	_	_	_	_	
1-31	191-197	tovora	_	_	_	_	
1-32	198-199	,	_	_	_	_	
1-33	200-202	in	_	_	_	_	
1-34	203-208	sicer	_	_	_	_	
1-35	209-212	kar	_	_	_	_	
1-36	213-215	za	_	_	_	_	
1-37	216-218	18	_	_	_	_	
1-38	219-228	odstotkov	_	_	_	_	
1-39	229-230	.	_	_	_	_	
1-40	231-239	Nekoliko	_	_	_	_	
1-41	240-250	skromnejša	_	_	_	_	
1-42	251-253	je	_	_	_	_	
1-43	254-258	bila	_	_	_	_	
1-44	259-263	rast	_	_	_	_	
1-45	264-273	poslovnih	_	_	_	_	
1-46	274-283	prihodkov	_	_	_	_	
1-47	284-285	,	_	_	_	_	
1-48	286-288	ki	_	_	_	_	
1-49	289-291	so	_	_	_	_	
1-50	292-296	bili	_	_	_	_	
1-51	297-300	pri	_	_	_	_	
1-52	301-303	69	_	_	_	_	
1-53	304-313	milijonih	_	_	_	_	
1-54	314-319	evrov	_	_	_	_	
1-55	320-322	za	_	_	_	_	
1-56	323-325	le	_	_	_	_	
1-57	326-329	tri	_	_	_	_	
1-58	330-338	odstotke	_	_	_	_	
1-59	339-342	nad	_	_	_	_	
1-60	343-356	lanskoletnimi	_	_	_	_	
1-61	357-358	.	_	_	_	_	
1-62	359-369	Paradajzov	ORG	_	*->3-1	*[3]	
1-63	370-375	pohod	_	_	_	_	
1-64	376-378	po	_	_	_	_	
1-65	379-388	Prekmurju	LOC	_	*->4-1	*[4]	
1-66	389-391	še	_	_	_	_	
1-67	392-394	ni	_	_	_	_	
1-68	395-401	končan	_	_	_	_	
1-69	402-410	Največji	_	_	*->3-2	*[3]	
