#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Pivovarna Laško je , potem ko ji je Urad za varstvo konkurence začasno prepovedal razpolaganje z delnicami Mercatorja , proti temu organu vložila tožbo . Kad pa predlaga dokapitalizacijo družbe . Predsednik uprave Skupine Pivovarne Laško Dušan Zorko Družba Skupina Pivovarna Laško je vložila tožbo zoper Urad za varstvo konkurence UVK , ker je ta v torek tik pred sejo nadzornega sveta izdal odločbo o omejitvi razpolaganja z delnicami Mercatorja . Skupina je namreč 23,34 - odstotna lastnica največjega slovenskega trgovskega podjetja . 30 . aprila se izteče rok za odločanje o prodaji Mercatorjevih delnic hrvaškemu Agrokorju . Pivovarna Laško , ki mora Mercatorjeve delnice prodati , je nameravala to storiti . To je že četrti poskus prodaje Mercatorja , prodajali so ga že pred mojim vstopom v Laško , pa ga je vedno nekdo ustavil . Sprejemam stališče , da je Mercator neki strateški interes , jaz pa odgovarjam za sanacijo Skupine Pivovarna Laško in za njeno upravljanje , je za časopis Delo povedal predsednik uprave Skupine Pivovarne Laško Dušan Zorko . Banke , ki so lastnice okoli 53 - odstotnega deleža Pivovarne Laško , so zahtevale , da družba proda svoj osnovni kapital , ki ni potreben za pijačarski posel , to pa pomeni , da mora prodati delnice Mercatorja , Dela in Večera . Do zdaj niso prodali še nobene delnice teh podjetij , pri tem pa se Zorko sprašuje , kako naj kaj prodajo , če pa jim preprečujejo samostojno odločanje o njihovem premoženju . Smo tik pred tem , da umremo , če nam ne uspe prodati nepotrebnega premoženja in reprogramirati kreditov , še dodaja Zorko . 30 . aprila jim namreč zapade kredit v višini 9 milijonov evrov , do konca junija pa bi morali reprogramirati večino od 450 milijonov evrov posojil . Z urada za varstvo konkurence pa so sporočili , da so v torek izdali odločbo Centralno klirinško depotni družbi KDD , s katero so ji naložili , da prepove izvedbo lastništva delnic Mercatorja do izdaje odločbe o skladnosti koncentracije s pravili konkurence . Ta odločba družbi KDD se nanaša na postopek , ki ga je urad uvedel po uradni dolžnosti s sklepom z dne 30 . marca , ker je bila izkazana verjetnost , da je prišlo do koncentracije , ki je podrejena določbam zakona o preprečevanju omejevanja konkurence , in je podjetja , ki bi morala koncentracijo priglasiti uradu , niso priglasila . Nadzorniki Laškega naj bi v petek znova razpravljal o prodaji svojega deleža v Mercatorju hrvaškemu Agrokorju . Nadzorniki naj bi zaradi odločbe varuha konkurence odločali o morebitni prodaji deleža z odložnim pogojem , razpravljali pa naj bi tudi o pridružitvi konzorciju bank za skupno prodajo delnic Mercatorja . Kad želi dokapitalizacijo pivovarne Sicer pa Kapitalska družba Kad zahteva sklic skupščine družbe Pivovarne Laško , na katerem bi odločali glede predloga o dopolnitvi statuta družbe z določilom o odobrenem kapitalu . To določilo bi upravo pooblaščalo , da v obdobju petih let po vpisu dopolnitve statuta v sodni register poveča osnovni kapital družbe do 50 odstotkov osnovnega kapitala družbe , ki obstaja v času sprejema dopolnitev statuta , kar predstavlja največ 18,25 milijona evrov , z izdajo novih delnic za denarne vložke . Pri tem je Kad v zahtevi zapisal , da , v kolikor bo uprava družbe ocenila , da so izpolnjeni pogoji za odločanje delničarjev na skupščini o rednem povečanju osnovnega kapitala , skupščini s predlaganimi sklepi o rednem povečanju osnovnega kapitala ne bo nasprotoval , ampak bo štel , da je s takšnim sklicem skupščine ugodeno njegovi zahtevi . VZMD poziva upravo Pivovarne Laško , da sprejme edino smiselno in poslovno neškodljivo odločitev ter podpiše sporazum o skupni prodaji večinskega paketa delnic . Vsakršna drugačna odločitev bi po mnenju strokovnih sodelavcev VZMD lahko dodatno ogrozila perspektivo ter celo obstoj Pivovarne Laško . Hkrati v Kadu kot 7,06 - odstotnem lastniku Pivovarne Laško dodajajo , da so pod ekonomsko upravičenimi pogoji pripravljeni sodelovati v sorazmernem deležu pri dokapitalizaciji družbe . Pri tem pozivajo upravo družbe , da skupščina zaseda čim prej , vendar ne pozneje kot v dveh mesecih od prejema zahteve , sicer bodo uveljavili svoje korporacijske pravice v skladu z zakonodajo . V Kadu svojo zahtevo pojasnjujejo s tem , da je finančni položaj skupine Pivovarna Laško zelo resen . Kapital skupine je konec leta 2010 znašal 131,9 milijona evrov in je bil za 30,7 milijona evrov manjši kot konec leta 2009 . Poleg tega visok finančni dolg obremenjuje tekoče poslovanje ter ogroža obstoj in razvoj skupine . Foto Damjan Žibert Ostali bi prezadolženi Konec leta 2010 je skupina izkazovala primanjkljaj obratnega kapitala v višini 44,7 milijona evrov , finančne obveznosti pa so znašale 397,5 milijona evrov . V Kadu menijo , da bi kljub morebitni uspešni izvedbi odprodaje finančnih naložb in poslovno nepotrebnega premoženja obvladujoča družba še vedno ostala prezadolžena . Ob tem navajajo , da razmerje med finančnim dolgom in lastniškim kapitalom skupine znaša 3,0 , finančni odhodki z naslova obresti na dolg matične družbe pa so v letu 2010 znašali 13 milijonov evrov in za 1,8 milijona evrov presegli ustvarjen dobiček iz poslovanja . Tako visoke obresti ogrožajo nemoteno poslovanje in razvoj družbe . S povečanjem trajnih virov bi družba omogočila ohranjanje in povečevanje vrednosti premoženja svojim lastnikom , je zapisal predsednik uprave Kada Borut Jamnik in dodal , da bodo dodatni viri imeli ugoden učinek na vrednost delnice oziroma lastniškega premoženja
1-1	0-9	Pivovarna	ORG[1]	_	*->1-1	*[1]	
1-2	10-15	Laško	ORG[1]|LOC[2]	_	*->1-1|*->11-1	*[1]|*[11]	
1-3	16-18	je	_	_	_	_	
1-4	19-20	,	_	_	_	_	
1-5	21-26	potem	_	_	_	_	
1-6	27-29	ko	_	_	_	_	
1-7	30-32	ji	_	_	*->1-2	*[1]	
1-8	33-35	je	_	_	_	_	
1-9	36-40	Urad	ORG[3]	_	*->2-1	*[2]	
1-10	41-43	za	ORG[3]	_	*->2-1	*[2]	
1-11	44-51	varstvo	ORG[3]	_	*->2-1	*[2]	
1-12	52-62	konkurence	ORG[3]	_	*->2-1	*[2]	
1-13	63-70	začasno	_	_	_	_	
1-14	71-81	prepovedal	_	_	_	_	
1-15	82-94	razpolaganje	_	_	_	_	
1-16	95-96	z	_	_	_	_	
1-17	97-106	delnicami	_	_	_	_	
1-18	107-117	Mercatorja	ORG	_	*->6-1	*[6]	
1-19	118-119	,	_	_	_	_	
1-20	120-125	proti	_	_	_	_	
1-21	126-130	temu	_	_	_	_	
1-22	131-137	organu	_	_	*->2-2	*[2]	
1-23	138-145	vložila	_	_	_	_	
1-24	146-151	tožbo	_	_	_	_	
1-25	152-153	.	_	_	_	_	
1-26	154-157	Kad	ORG	_	*->10-1	*[10]	
1-27	158-160	pa	_	_	_	_	
1-28	161-169	predlaga	_	_	_	_	
1-29	170-186	dokapitalizacijo	_	_	_	_	
1-30	187-193	družbe	_	_	*->1-3	*[1]	
1-31	194-195	.	_	_	_	_	
1-32	196-206	Predsednik	_	_	*->3-1	*[3]	
1-33	207-213	uprave	_	_	*->3-1	*[3]	
1-34	214-221	Skupine	_	_	*->3-1|*->1-4	*[3]|*[1]	
1-35	222-231	Pivovarne	ORG[4]	_	*->3-1|*->1-4	*[3]|*[1]	
1-36	232-237	Laško	ORG[4]|LOC[5]	_	*->3-1|*->1-4|*->11-2	*[3]|*[1]|*[11]	
1-37	238-243	Dušan	PER[6]	_	*->3-1	*[3]	
1-38	244-249	Zorko	PER[6]	_	*->3-1	*[3]	
1-39	250-256	Družba	_	_	*->1-5	*[1]	
1-40	257-264	Skupina	_	_	*->1-5	*[1]	
1-41	265-274	Pivovarna	ORG[7]	_	*->1-5	*[1]	
1-42	275-280	Laško	ORG[7]|LOC[8]	_	*->1-5|*->11-3	*[1]|*[11]	
1-43	281-283	je	_	_	_	_	
1-44	284-291	vložila	_	_	_	_	
1-45	292-297	tožbo	_	_	_	_	
1-46	298-303	zoper	_	_	_	_	
1-47	304-308	Urad	ORG[9]	_	*->2-3	*[2]	
1-48	309-311	za	ORG[9]	_	*->2-3	*[2]	
1-49	312-319	varstvo	ORG[9]	_	*->2-3	*[2]	
1-50	320-330	konkurence	ORG[9]	_	*->2-3	*[2]	
1-51	331-334	UVK	ORG[9]	_	*->2-3	*[2]	
1-52	335-336	,	_	_	_	_	
1-53	337-340	ker	_	_	_	_	
1-54	341-343	je	_	_	_	_	
1-55	344-346	ta	_	_	*->2-4	*[2]	
1-56	347-348	v	_	_	_	_	
1-57	349-354	torek	_	_	_	_	
1-58	355-358	tik	_	_	_	_	
1-59	359-363	pred	_	_	_	_	
1-60	364-368	sejo	_	_	_	_	
1-61	369-379	nadzornega	_	_	_	_	
1-62	380-385	sveta	_	_	_	_	
1-63	386-391	izdal	_	_	*->2-5	*[2]	
1-64	392-399	odločbo	_	_	_	_	
1-65	400-401	o	_	_	_	_	
1-66	402-410	omejitvi	_	_	_	_	
1-67	411-423	razpolaganja	_	_	_	_	
1-68	424-425	z	_	_	_	_	
1-69	426-435	delnicami	_	_	_	_	
1-70	436-446	Mercatorja	ORG	_	*->6-2	*[6]	
1-71	447-448	.	_	_	_	_	
1-72	449-456	Skupina	_	_	*->1-6	*[1]	
1-73	457-459	je	_	_	_	_	
1-74	460-466	namreč	_	_	_	_	
1-75	467-472	23,34	_	_	*->1-7	*[1]	
1-76	473-474	-	_	_	*->1-7	*[1]	
1-77	475-483	odstotna	_	_	*->1-7	*[1]	
1-78	484-492	lastnica	_	_	*->1-7	*[1]	
1-79	493-503	največjega	_	_	*->1-7|*->6-3	*[1]|*[6]	
1-80	504-515	slovenskega	_	_	*->1-7|*->6-3	*[1]|*[6]	
1-81	516-526	trgovskega	_	_	*->1-7|*->6-3	*[1]|*[6]	
1-82	527-535	podjetja	_	_	*->1-7|*->6-3	*[1]|*[6]	
1-83	536-537	.	_	_	_	_	
1-84	538-540	30	_	_	_	_	
1-85	541-542	.	_	_	_	_	
1-86	543-549	aprila	_	_	_	_	
1-87	550-552	se	_	_	_	_	
1-88	553-559	izteče	_	_	_	_	
1-89	560-563	rok	_	_	_	_	
1-90	564-566	za	_	_	_	_	
1-91	567-576	odločanje	_	_	_	_	
1-92	577-578	o	_	_	_	_	
1-93	579-586	prodaji	_	_	_	_	
1-94	587-600	Mercatorjevih	_	_	*->6-4	*[6]	
1-95	601-607	delnic	_	_	_	_	
1-96	608-617	hrvaškemu	_	_	_	_	
1-97	618-627	Agrokorju	ORG	_	*->4-1	*[4]	
1-98	628-629	.	_	_	_	_	
1-99	630-639	Pivovarna	ORG[10]	_	*->1-8	*[1]	
1-100	640-645	Laško	ORG[10]|LOC[11]	_	*->1-8|*->11-4	*[1]|*[11]	
1-101	646-647	,	_	_	_	_	
1-102	648-650	ki	_	_	_	_	
1-103	651-655	mora	_	_	*->1-9	*[1]	
1-104	656-668	Mercatorjeve	_	_	*->6-5	*[6]	
1-105	669-676	delnice	_	_	_	_	
